row_label_raw,row_label_full,Loại tiền,Mức tănglãi suất31/12/2016,Ảnh hưởng đếnkết quả hoạt độngkinh doanh sau thuế2016(Triệu VND),numeric__Mức tănglãi suất31/12/2016,numeric__Ảnh hưởng đếnkết quả hoạt độngkinh doanh sau thuế2016(Triệu VND)
VND,VND,VND,"2,0%",315.855,0.02,315855.0
USD,USD,USD,"1,0%",(4.904),0.01,-4904.0
