row_label_raw,row_label_full,Số dư đầu năm > Dự phòng trích lập/(hoàn nhập) trong năm(Thuyết minh 31),Năm kết thúc ngày 31/12/2017 > Tại Việt NamTriệu VND > 1.079.203 > 205.638,Năm kết thúc ngày 31/12/2017 > Tại các chi nhánh nước ngoàiTriệu VND > 21.173 > 6.020,Năm kết thúc ngày 31/12/2017 > Tổng cộngTriệu VND > 1.100.376 > 211.658,Năm kết thúc ngày 31/12/2016 > Tại Việt NamTriệu VND > 854.146 > 224.495,Năm kết thúc ngày 31/12/2016 > Tại các chi nhánh nước ngoàiTriệu VND > 21.568 > (395),Năm kết thúc ngày 31/12/2016 > Tổng cộngTriệu VND > 875.714 > 224.100,numeric__Năm kết thúc ngày 31/12/2017 > Tại Việt NamTriệu VND > 1.079.203 > 205.638,numeric__Năm kết thúc ngày 31/12/2017 > Tại các chi nhánh nước ngoàiTriệu VND > 21.173 > 6.020,numeric__Năm kết thúc ngày 31/12/2017 > Tổng cộngTriệu VND > 1.100.376 > 211.658,numeric__Năm kết thúc ngày 31/12/2016 > Tại Việt NamTriệu VND > 854.146 > 224.495,numeric__Năm kết thúc ngày 31/12/2016 > Tại các chi nhánh nước ngoàiTriệu VND > 21.568 > (395),numeric__Năm kết thúc ngày 31/12/2016 > Tổng cộngTriệu VND > 875.714 > 224.100
Tăng do sáp nhập Công ty Tài chính Cổ phầnSông Đà (“SDFC”),Tăng do sáp nhập Công ty Tài chính Cổ phầnSông Đà (“SDFC”),Tăng do sáp nhập Công ty Tài chính Cổ phầnSông Đà (“SDFC”),-,-,-,562,-,562,,,,562.0,,562.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,1.284.841,27.193,1.312.034,1.079.203,21.173,1.100.376,1284841.0,27193.0,1312034.0,1079203.0,21173.0,1100376.0
