row_label_raw,row_label_full,col_0,Vốn điều lệTriệu VND,Thặng dưvốn cổ phầnTriệu VND,Quỹ dự phòngtài chínhTriệu VND,Quỹ dự trữbổ sungvốn điều lệTriệu VND,Quỹ khácTriệu VND,Lợi nhuậnchưaphân phốiTriệu VND,Tổng cộngTriệu VND,numeric__Vốn điều lệTriệu VND,numeric__Thặng dưvốn cổ phầnTriệu VND,numeric__Quỹ dự phòngtài chínhTriệu VND,numeric__Quỹ dự trữbổ sungvốn điều lệTriệu VND,numeric__Quỹ khácTriệu VND,numeric__Lợi nhuậnchưaphân phốiTriệu VND,numeric__Tổng cộngTriệu VND
Số dư tại ngày 1 tháng 1 năm 2016,Số dư tại ngày 1 tháng 1 năm 2016,Số dư tại ngày 1 tháng 1 năm 2016,16.000.000,718.524,1.316.063,665.432,215.569,3.371.406,22.286.994,16000000.0,718524.0,1316063.0,665432.0,215569.0,3371406.0,22286994.0
Tăng vốn từ phát hành cổ phiếu,Tăng vốn từ phát hành cổ phiếu,Tăng vốn từ phát hành cổ phiếu,311.818,109.673,-,-,-,-,421.491,311818.0,109673.0,,,,,421491.0
Tăng vốn do trả cổ tức bằng cổ phiếu (iii),Tăng vốn do trả cổ tức bằng cổ phiếu (iii),Tăng vốn do trả cổ tức bằng cổ phiếu (iii),815.591,-,-,-,-,(815.591),-,815591.0,,,,,-815591.0,
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,2.974.504,2.974.504,,,,,,2974504.0,2974504.0
Trích bổ sung các quỹ cho năm 2015,Trích bổ sung các quỹ cho năm 2015,Trích bổ sung các quỹ cho năm 2015,-,-,246.859,123.430,185.597,(555.886),-,,,246859.0,123430.0,185597.0,-555886.0,
Tạm trích quỹ cho năm 2016,Tạm trích quỹ cho năm 2016,Tạm trích quỹ cho năm 2016,-,-,-,-,43.536,(43.536),-,,,,,43536.0,-43536.0,
"Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi",-,-,-,-,-,(148.007),(148.007),,,,,,-148007.0,-148007.0
Sử dụng quỹ trong năm,Sử dụng quỹ trong năm,Sử dụng quỹ trong năm,-,-,-,-,(164.153),-,(164.153),,,,,-164153.0,,-164153.0
Trích quỹ dự trữ bắt buộc của các chi nhánh nước ngoài,Trích quỹ dự trữ bắt buộc của các chi nhánh nước ngoài,Trích quỹ dự trữ bắt buộc của các chi nhánh nước ngoài,-,-,-,-,755,(755),-,,,,,755.0,-755.0,
Thu hồi tài sản góp vốn tại tại Công ty Cổ phầnĐịa ốc MB,Thu hồi tài sản góp vốn tại tại Công ty Cổ phầnĐịa ốc MB,Thu hồi tài sản góp vốn tại tại Công ty Cổ phầnĐịa ốc MB,-,-,-,-,-,(272.835),(272.835),,,,,,-272835.0,-272835.0
Số dư tại ngày 31 tháng 12 năm 2016,Số dư tại ngày 31 tháng 12 năm 2016,Số dư tại ngày 31 tháng 12 năm 2016,17.127.409,828.197,1.562.922,788.862,281.304,4.509.300,25.097.994,17127409.0,828197.0,1562922.0,788862.0,281304.0,4509300.0,25097994.0
