row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2017(Triệu VND),Quá hạn đến3 tháng,Quá hạn trên 3 tháng,Đến 1 tháng,Từ trên 1 đến3 tháng,Từ trên 3 đến12 tháng,Từ trên 1 năm đến5 năm,Trên 5 năm,Tổng cộng,numeric__Quá hạn đến3 tháng,numeric__Quá hạn trên 3 tháng,numeric__Đến 1 tháng,numeric__Từ trên 1 đến3 tháng,numeric__Từ trên 3 đến12 tháng,numeric__Từ trên 1 năm đến5 năm,numeric__Trên 5 năm,numeric__Tổng cộng
Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,,,,,,,,
Tiền mặt và vàng,Tài sản > Tiền mặt và vàng,Tiền mặt và vàng,-,-,1.832.862,-,-,-,-,1.832.862,,,1832862.0,,,,,1832862.0
Tiền gửi tại NHNN,Tài sản > Tiền gửi tại NHNN,Tiền gửi tại NHNN,-,-,6.682.178,-,-,-,-,6.682.178,,,6682178.0,,,,,6682178.0
Tiền gửi và cho vay các TCTD khác –gộp,Tài sản > Tiền gửi và cho vay các TCTD khác –gộp,Tiền gửi và cho vay các TCTD khác –gộp,-,196.000,33.250.871,11.077.516,6.127.808,2.017.472,-,52.669.667,,196000.0,33250871.0,11077516.0,6127808.0,2017472.0,,52669667.0
Chứng khoán kinh doanh – gộp,Tài sản > Chứng khoán kinh doanh – gộp,Chứng khoán kinh doanh – gộp,-,-,-,-,2.000.398,-,-,2.000.398,,,,,2000398.0,,,2000398.0
Các công cụ tài chính phải sinhvà các tài sản tài chính khác,Tài sản > Các công cụ tài chính phải sinhvà các tài sản tài chính khác,Các công cụ tài chính phải sinhvà các tài sản tài chính khác,-,-,121.592,-,-,-,-,121.592,,,121592.0,,,,,121592.0
Cho vay khách hàng – gộp,Tài sản > Cho vay khách hàng – gộp,Cho vay khách hàng – gộp,3.062.103,2.183.997,13.254.409,32.645.773,54.569.794,44.375.392,30.165.603,180.257.071,3062103.0,2183997.0,13254409.0,32645773.0,54569794.0,44375392.0,30165603.0,180257071.0
Chứng khoán đầu tư – gộp,Tài sản > Chứng khoán đầu tư – gộp,Chứng khoán đầu tư – gộp,-,200.000,118.997,299.901,1.343.633,35.231.739,12.440.657,49.634.927,,200000.0,118997.0,299901.0,1343633.0,35231739.0,12440657.0,49634927.0
"Góp vốn, đầu tư dài hạn – gộp","Tài sản > Góp vốn, đầu tư dài hạn – gộp","Góp vốn, đầu tư dài hạn – gộp",-,-,-,-,-,4.322.116,-,4.322.116,,,,,,4322116.0,,4322116.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,-,-,-,-,-,2.276.831,-,2.276.831,,,,,,2276831.0,,2276831.0
Tài sản có khác – gộp,Tài sản > Tài sản có khác – gộp,Tài sản có khác – gộp,-,357.249,2.668.718,-,7.012.324,-,-,10.038.291,,357249.0,2668718.0,,7012324.0,,,10038291.0
,,,3.062.103,2.937.246,57.929.627,44.023.190,71.053.957,88.223.550,42.606.260,309.835.933,3062103.0,2937246.0,57929627.0,44023190.0,71053957.0,88223550.0,42606260.0,309835933.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,
Các khoản nợ Chính phủ và NHNNVN,Nợ phải trả > Các khoản nợ Chính phủ và NHNNVN,Các khoản nợ Chính phủ và NHNNVN,-,-,1.847.879,-,-,-,-,1.847.879,,,1847879.0,,,,,1847879.0
Tiền gửi và vay các TCTD khác,Nợ phải trả > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,-,-,37.595.517,6.030.107,1.948.388,172.284,16.020,45.762.316,,,37595517.0,6030107.0,1948388.0,172284.0,16020.0,45762316.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,66.558.996,17.226.579,51.373.961,85.112.442,4.977,220.276.955,,,66558996.0,17226579.0,51373961.0,85112442.0,4977.0,220276955.0
"Vốn tài trợ, ủy thác đầu tư, cho vayTCTD chịu rủi ro","Nợ phải trả > Vốn tài trợ, ủy thác đầu tư, cho vayTCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vayTCTD chịu rủi ro",-,-,68,-,3.715,264.337,28.880,297.000,,,68.0,,3715.0,264337.0,28880.0,297000.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,-,-,-,5.245.955,-,5.245.955,,,,,,5245955.0,,5245955.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,-,-,2.718.056,-,2.397.310,-,-,5.115.366,,,2718056.0,,2397310.0,,,5115366.0
,,,-,-,108.720.516,23.256.686,55.723.374,90.795.018,49.877,278.545.471,,,108720516.0,23256686.0,55723374.0,90795018.0,49877.0,278545471.0
Mức chênh thanh khoản ròng,Nợ phải trả > Mức chênh thanh khoản ròng,Mức chênh thanh khoản ròng,3.062.103,2.937.246,(50.790.889),20.766.504,15.330.583,(2.571.468),42.556.383,31.290.462,3062103.0,2937246.0,-50790889.0,20766504.0,15330583.0,-2571468.0,42556383.0,31290462.0
