row_label_raw,row_label_full,col_0,Nhà cửa và vật kiến trúc Triệu VND,Máy móc thiết bị Triệu VND,Phương tiện vận tải Triệu VND,Các tài sản cố định hữu hình khác Triệu VND,Tổng cộng Triệu VND,numeric__Nhà cửa và vật kiến trúc Triệu VND,numeric__Máy móc thiết bị Triệu VND,numeric__Phương tiện vận tải Triệu VND,numeric__Các tài sản cố định hữu hình khác Triệu VND,numeric__Tổng cộng Triệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư tại ngày 1 tháng 1 năm 2017,Nguyên giá > Số dư tại ngày 1 tháng 1 năm 2017,Số dư tại ngày 1 tháng 1 năm 2017,1.102.228,779.334,519.625,135.947,2.537.134,1102228.0,779334.0,519625.0,135947.0,2537134.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,139.423,122.559,60.162,1.679,323.823,139423.0,122559.0,60162.0,1679.0,323823.0
Giảm trong năm,Nguyên giá > Giảm trong năm,Giảm trong năm,(72),(2.153),(107.630),(1.685),(111.540),-72.0,-2153.0,-107630.0,-1685.0,-111540.0
Số dư tại ngày 31 tháng 12 năm 2017,Nguyên giá > Số dư tại ngày 31 tháng 12 năm 2017,Số dư tại ngày 31 tháng 12 năm 2017,1.241.579,899.740,472.157,135.941,2.749.417,1241579.0,899740.0,472157.0,135941.0,2749417.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,
Số dư tại ngày 1 tháng 1 năm 2017,Giá trị hao mòn lũy kế > Số dư tại ngày 1 tháng 1 năm 2017,Số dư tại ngày 1 tháng 1 năm 2017,89.806,652.275,387.574,106.778,1.236.433,89806.0,652275.0,387574.0,106778.0,1236433.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,49.863,97.479,56.612,19.751,223.705,49863.0,97479.0,56612.0,19751.0,223705.0
Giảm trong năm,Giá trị hao mòn lũy kế > Giảm trong năm,Giảm trong năm,(11),(1.853),(83.646),(1.585),(87.095),-11.0,-1853.0,-83646.0,-1585.0,-87095.0
Số dư tại ngày 31 tháng 12 năm 2017,Giá trị hao mòn lũy kế > Số dư tại ngày 31 tháng 12 năm 2017,Số dư tại ngày 31 tháng 12 năm 2017,139.659,747.901,360.540,124.943,1.373.043,139659.0,747901.0,360540.0,124943.0,1373043.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Số dư tại ngày 1 tháng 1 năm 2017,Giá trị còn lại > Số dư tại ngày 1 tháng 1 năm 2017,Số dư tại ngày 1 tháng 1 năm 2017,1.012.422,127.059,132.051,29.169,1.300.701,1012422.0,127059.0,132051.0,29169.0,1300701.0
Số dư tại ngày 31 tháng 12 năm 2017,Giá trị còn lại > Số dư tại ngày 31 tháng 12 năm 2017,Số dư tại ngày 31 tháng 12 năm 2017,1.101.920,151.839,111.617,10.998,1.376.374,1101920.0,151839.0,111617.0,10998.0,1376374.0
