row_label_raw,row_label_full,col_0,col_1,Thuyết minh,31/12/2017 Triệu VND,31/12/2016 Triệu VND,numeric__col_1,numeric__Thuyết minh,numeric__31/12/2017 Triệu VND,numeric__31/12/2016 Triệu VND
B,B,B,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,,,,
B,B,B,NỘ PHẢI TRẢ,,,,,,,
I,B > I,I,Các khoản nợ Chính phủ và Ngân hàng Nhà nước,17,1.847.879,-,,17.0,1847879.0,
II,B > II,II,Tiền gửi và vay các TCTD khác,18,45.762.316,24.140.704,,18.0,45762316.0,24140704.0
1,B > 1,1,Tiền gửi của các TCTD khác,,36.702.963,12.839.357,,,36702963.0,12839357.0
2,B > 2,2,Vay các TCTD khác,,9.059.353,11.301.347,,,9059353.0,11301347.0
III,B > III,III,Tiền gửi của khách hàng,19,220.276.955,195.147.771,,19.0,220276955.0,195147771.0
V,B > V,V,"Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",20,297.000,258.170,,20.0,297000.0,258170.0
VI,B > VI,VI,Phát hành giấy tờ có giá,21,5.245.955,2.036.953,,21.0,5245955.0,2036953.0
VII,B > VII,VII,Các khoản nợ khác,22,5.115.366,3.509.475,,22.0,5115366.0,3509475.0
1,B > 1,1,"Các khoản lãi, phí phải trả",,2.715.684,2.233.895,,,2715684.0,2233895.0
3,B > 3,3,Các khoản phải trả và công nợ khác,,2.399.682,1.275.580,,,2399682.0,1275580.0
,,,TỔNG NỘ PHẢI TRẢ,,278.545.471,225.093.073,,,278545471.0,225093073.0
,,,VỐN CHỦ SỞ HỮU,,,,,,,
VIII,B > VIII,VIII,Vốn chủ sở hữu,23,28.191.371,25.097.994,,23.0,28191371.0,25097994.0
1,B > 1,1,Vốn của TCTD,,18.983.251,17.955.606,,,18983251.0,17955606.0
a,B > a,a,Vốn điều lệ,,18.155.054,17.127.409,,,18155054.0,17127409.0
c,B > c,c,Thặng dư vốn cổ phần,,828.197,828.197,,,828197.0,828197.0
2,B > 2,2,Quỹ của TCTD,,3.138.653,2.633.088,,,3138653.0,2633088.0
5,B > 5,5,Lợi nhuận chưa phân phối,,6.069.467,4.509.300,,,6069467.0,4509300.0
,,,TỔNG VỐN CHỦ SỞ HỮU,,28.191.371,25.097.994,,,28191371.0,25097994.0
,,,TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,306.736.842,250.191.067,,,306736842.0,250191067.0
