row_label_raw,row_label_full,Tên công ty,Giấy phép hoạt động,Lĩnh vực hoạt động,Tỷ lệ sở hữu trực tiếp của Ngân hàng,Tỷ lệ sở hữu trực tiếp của Ngân hàng_1,numeric__Giấy phép hoạt động,numeric__Lĩnh vực hoạt động,numeric__Tỷ lệ sở hữu trực tiếp của Ngân hàng,numeric__Tỷ lệ sở hữu trực tiếp của Ngân hàng_1
Tên công ty,Tên công ty,Tên công ty,Giấy phép hoạt động,Lĩnh vực hoạt động,31/12/2017,31/12/2016,,,,
Công ty TNHH Báo hiểm nhân thọ MB Ageas,Tên công ty > Công ty TNHH Báo hiểm nhân thọ MB Ageas,Công ty TNHH Báo hiểm nhân thọ MB Ageas,74/GP/KDBH ngày 21 tháng 07 năm 2016 do Bộ Tài Chính cấp,"Bảo hiểm nhân thọ, bảo hiểm sức khỏe và đầu tư tài chính","61,00%","61,00%",,,0.61,0.61
