row_label_raw,row_label_full,Ngày 31 tháng 12 năm 2017,Cho vay khách hàng – gộpTriệu VND,Tiền gửi của khách hàngTriệu VND,Nợ tiềm tàng và các cam kết tín dụngTriệu VND,Công cụ tài chínhphái sinhTriệu VND,Đầu tư chứng khoán– gộpTriệu VND,numeric__Cho vay khách hàng – gộpTriệu VND,numeric__Tiền gửi của khách hàngTriệu VND,numeric__Nợ tiềm tàng và các cam kết tín dụngTriệu VND,numeric__Công cụ tài chínhphái sinhTriệu VND,numeric__Đầu tư chứng khoán– gộpTriệu VND
Trong nước,Trong nước,Trong nước,176.513.452,219.054.346,83.178.529,47.581.814,49.634.927,176513452.0,219054346.0,83178529.0,47581814.0,49634927.0
Nước ngoài,Nước ngoài,Nước ngoài,3.743.619,1.222.609,-,-,-,3743619.0,1222609.0,,,
,,,180.257.071,220.276.955,83.178.529,47.581.814,49.634.927,180257071.0,220276955.0,83178529.0,47581814.0,49634927.0
Ngày 31 tháng 12 năm 2016,Ngày 31 tháng 12 năm 2016,Ngày 31 tháng 12 năm 2016,Cho vay khách hàng – gộpTriệu VND,Tiền gửi của khách hàngTriệu VND,Nợ tiềm tàng và các cam kết tín dụngTriệu VND,Công cụ tài chínhphái sinhTriệu VND,Đầu tư chứng khoán– gộpTriệu VND,,,,,
Trong nước,Ngày 31 tháng 12 năm 2016 > Trong nước,Trong nước,146.073.412,194.362.430,74.161.541,17.310.858,53.926.482,146073412.0,194362430.0,74161541.0,17310858.0,53926482.0
Nước ngoài,Ngày 31 tháng 12 năm 2016 > Nước ngoài,Nước ngoài,2.809.446,785.341,-,-,-,2809446.0,785341.0,,,
,,,148.882.858,195.147.771,74.161.541,17.310.858,53.926.482,148882858.0,195147771.0,74161541.0,17310858.0,53926482.0
