row_label_raw,row_label_full,CHỈ TIÊU,Miền Bắc > Triệu VND,Miền Nam > Triệu VND,Miền Trung > Triệu VND,Nước ngoài > Triệu VND,Tổng cộng > Triệu VND,numeric__Miền Bắc > Triệu VND,numeric__Miền Nam > Triệu VND,numeric__Miền Trung > Triệu VND,numeric__Nước ngoài > Triệu VND,numeric__Tổng cộng > Triệu VND
Tài sản,Tài sản,Tài sản,,,,,,,,,,
Tiền mặt,Tài sản > Tiền mặt,Tiền mặt,979.779,376.774,149.400,57.556,1.563.509,979779.0,376774.0,149400.0,57556.0,1563509.0
Tiền gửi tại Ngân hàng,Tài sản > Tiền gửi tại Ngân hàng,Tiền gửi tại Ngân hàng,26.266.437,18.007,4.463,1.148.029,27.436.936,26266437.0,18007.0,4463.0,1148029.0,27436936.0
Trung ương,Trung ương,Trung ương,,,,,,,,,,
Tiền gửi và cho vay các TCTD khác,Trung ương > Tiền gửi và cho vay các TCTD khác,Tiền gửi và cho vay các TCTD khác,115.955.312,2.398,1.514,1.389.599,117.348.823,115955312.0,2398.0,1514.0,1389599.0,117348823.0
Cho vay khách hàng,Trung ương > Cho vay khách hàng,Cho vay khách hàng,394.514.209,84.590.912,19.069.546,12.978.483,511.153.150,394514209.0,84590912.0,19069546.0,12978483.0,511153150.0
Đầu tư tài chính,Trung ương > Đầu tư tài chính,Đầu tư tài chính,37.687.722,-,-,-,37.687.722,37687722.0,,,,37687722.0
Tài sản cố định,Trung ương > Tài sản cố định,Tài sản cố định,5.210.816,78.443,34.141,4.625,5.328.025,5210816.0,78443.0,34141.0,4625.0,5328025.0
Tài sản khác,Trung ương > Tài sản khác,Tài sản khác,10.004.841,18.556.610,17.014.940,1.383.513,46.959.904,10004841.0,18556610.0,17014940.0,1383513.0,46959904.0
TỔNG TÀI SẢN,Trung ương > TỔNG TÀI SẢN,TỔNG TÀI SẢN,590.619.116,103.623.144,36.274.004,16.961.805,747.478.069,590619116.0,103623144.0,36274004.0,16961805.0,747478069.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,,
"Tiền gửi và vay của chính phủ, NHNN và các TCTD khác","Nợ phải trả > Tiền gửi và vay của chính phủ, NHNN và các TCTD khác","Tiền gửi và vay của chính phủ, NHNN và các TCTD khác",125.956.339,422,91,9.377.002,135.333.854,125956339.0,422.0,91.0,9377002.0,135333854.0
Tiền gửi khách hàng,Nợ phải trả > Tiền gửi khách hàng,Tiền gửi khách hàng,356.715.429,101.101.798,38.241.120,3.838.224,499.896.571,356715429.0,101101798.0,38241120.0,3838224.0,499896571.0
Huy động khác,Nợ phải trả > Huy động khác,Huy động khác,32.880.518,4.165.540,3.693.714,-,40.739.772,32880518.0,4165540.0,3693714.0,,40739772.0
Nợ phải trả khác,Nợ phải trả > Nợ phải trả khác,Nợ phải trả khác,8.768.326,1.909.508,772.829,1.989.865,13.440.528,8768326.0,1909508.0,772829.0,1989865.0,13440528.0
TỔNG Nợ PHẢI TRẢ,Nợ phải trả > TỔNG Nợ PHẢI TRẢ,TỔNG Nợ PHẢI TRẢ,524.320.612,107.177.268,42.707.754,15.205.091,689.410.725,524320612.0,107177268.0,42707754.0,15205091.0,689410725.0
