row_label_raw,row_label_full,col_0,Quyền sử dụng đất,Phần mềm máy tính,TSCĐ vô hình khác,Tổng,numeric__Quyền sử dụng đất,numeric__Phần mềm máy tính,numeric__TSCĐ vô hình khác,numeric__Tổng
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,4.360.370,442.555,23.004,4.825.929,4360370.0,442555.0,23004.0,4825929.0
Mua sắm trong năm,Nguyên giá > Mua sắm trong năm,Mua sắm trong năm,-,38.083,-,38.083,,38083.0,,38083.0
Chênh lệch tỷ giá,Nguyên giá > Chênh lệch tỷ giá,Chênh lệch tỷ giá,,(34),(42),(76),,-34.0,-42.0,-76.0
Giảm khác,Nguyên giá > Giảm khác,Giảm khác,-,-,(45),(45),,,-45.0,-45.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,4.360.370,480.604,22.917,4.863.891,4360370.0,480604.0,22917.0,4863891.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,6.754,305.734,19.003,331.491,6754.0,305734.0,19003.0,331491.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,158,30.218,1.002,31.378,158.0,30218.0,1002.0,31378.0
Chênh lệch tỷ giá,Giá trị hao mòn lũy kế > Chênh lệch tỷ giá,Chênh lệch tỷ giá,-,(34),(42),(76),,-34.0,-42.0,-76.0
Giảm khác,Giá trị hao mòn lũy kế > Giảm khác,Giảm khác,-,-,(45),(45),,,-45.0,-45.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,6.912,335.918,19.918,362.748,6912.0,335918.0,19918.0,362748.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Tại ngày đầu năm,Giá trị còn lại > Tại ngày đầu năm,Tại ngày đầu năm,4.353.616,136.821,4.001,4.494.438,4353616.0,136821.0,4001.0,4494438.0
Tại ngày cuối năm,Giá trị còn lại > Tại ngày cuối năm,Tại ngày cuối năm,4.353.458,144.686,2.999,4.501.143,4353458.0,144686.0,2999.0,4501143.0
