row_label_raw,row_label_full,col_0,Dự phòng chung,Dự phòng cụ thể,Dự phòng nợ phải thu khó đòi,Tổng cộng,numeric__Dự phòng chung,numeric__Dự phòng cụ thể,numeric__Dự phòng nợ phải thu khó đòi,numeric__Tổng cộng
,,,Triệu VND,,Triệu VND,Triệu VND,,,,
,,,,Triệu VND,,,,,,
Số đầu năm,Số đầu năm,Số đầu năm,47.312,3.000,36.090,86.402,47312.0,3000.0,36090.0,86402.0
Trích lập dự phòng trong năm,Trích lập dự phòng trong năm,Trích lập dự phòng trong năm,30.432,5.250,2.217,37.899,30432.0,5250.0,2217.0,37899.0
Sử dụng dự phòng trong năm,Sử dụng dự phòng trong năm,Sử dụng dự phòng trong năm,-,-,(89),(89),,,-89.0,-89.0
Số cuối năm,Số cuối năm,Số cuối năm,77.744,8.250,38.218,124.212,77744.0,8250.0,38218.0,124212.0
