row_label_raw,row_label_full,STT,CHỈ TIÊU,Thuyết minh,Số cuối năm,Số đầu năm,numeric__CHỈ TIÊU,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm
A.,A.,A.,TÀI SẢN,,,,,,,
I.,A. > I.,I.,Tiền mặt,5,1.563.509,1.370.849,,5.0,1563509.0,1370849.0
II.,A. > II.,II.,Tiền gửi tại Ngân hàng Trung ương,6,27.436.936,54.763.646,,6.0,27436936.0,54763646.0
III.,A. > III.,III.,Tiền gửi và cho vay các TCTD khác,7,117.348.823,63.548.928,,7.0,117348823.0,63548928.0
1.,A. > 1.,1.,Tiền gửi tại các TCTD khác,,92.635.563,54.825.905,,,92635563.0,54825905.0
2.,A. > 2.,2.,Cho vay các TCTD khác,,24.713.260,8.841.433,,,24713260.0,8841433.0
3.,A. > 3.,3.,Dự phòng rủi ro cho vay các TCTD khác,8,-,(118.410),,8.0,,-118410.0
IV.,A. > IV.,IV.,Chứng khoán kinh doanh,9,4.910.456,7.792.742,,9.0,4910456.0,7792742.0
1.,A. > 1.,1.,Chứng khoán kinh doanh,,4.949.608,7.853.152,,,4949608.0,7853152.0
2.,A. > 2.,2.,Dự phòng rủi ro chứng khoán kinh doanh,,(39.152),(60.410),,,-39152.0,-60410.0
V.,A. > V.,V.,Cho vay khách hàng,,511.153.150,429.362.729,,,511153150.0,429362729.0
1.,A. > 1.,1.,Cho vay khách hàng,11,519.949.991,438.464.147,,11.0,519949991.0,438464147.0
2.,A. > 2.,2.,Dự phòng rủi ro cho vay khách hàng,12,(8.796.841),(9.101.418),,12.0,-8796841.0,-9101418.0
VI.,A. > VI.,VI.,Chứng khoán đầu tư,13,32.335.975,32.063.660,,13.0,32335975.0,32063660.0
1.,A. > 1.,1.,Chứng khoán đầu tư sẵn sàng để bán,13.1,14.956.915,14.373.759,,131.0,14956915.0,14373759.0
2.,A. > 2.,2.,Chứng khoán đầu tư giữ đến ngày đáo hạn,13.2,17.812.962,17.833.636,,132.0,17812962.0,17833636.0
3.,A. > 3.,3.,Dự phòng rủi ro chứng khoán đầu tư,13.4,(433.902),(143.735),,134.0,-433902.0,-143735.0
VII.,A. > VII.,VII.,"Góp vốn, đầu tư dài hạn",14,441.291,414.448,,14.0,441291.0,414448.0
1.,A. > 1.,1.,Đầu tư vào công ty liên kết,14.1,370.014,343.172,,141.0,370014.0,343172.0
2.,A. > 2.,2.,Đầu tư dài hạn khác,14.2,158.272,158.272,,142.0,158272.0,158272.0
3.,A. > 3.,3.,Dự phòng giảm giá đầu tư dài hạn,14.3,(86.995),(86.996),,143.0,-86995.0,-86996.0
VIII.,A. > VIII.,VIII.,Tài sản cố định,,5.328.025,5.229.416,,,5328025.0,5229416.0
1.,A. > 1.,1.,Tài sản cố định hữu hình,15,826.882,734.978,,15.0,826882.0,734978.0
a.,A. > a.,a.,Nguyên giá TSCĐ,,1.580.969,1.528.503,,,1580969.0,1528503.0
b.,A. > b.,b.,Hao mòn TSCĐ,,(754.087),(793.525),,,-754087.0,-793525.0
2.,A. > 2.,2.,Tài sản cố định vô hình,16,4.501.143,4.494.438,,16.0,4501143.0,4494438.0
a.,A. > a.,a.,Nguyên giá TSCĐ,,4.863.891,4.825.929,,,4863891.0,4825929.0
b.,A. > b.,b.,Hao mòn TSCĐ,,(362.748),(331.491),,,-362748.0,-331491.0
IX.,A. > IX.,IX.,Tài sản Có khác,17,46.959.904,35.954.267,,17.0,46959904.0,35954267.0
1.,A. > 1.,1.,Các khoản phải thu,,33.481.806,18.860.662,,,33481806.0,18860662.0
2.,A. > 2.,2.,"Các khoản lãi, phí phải thu",,12.221.898,13.949.182,,,12221898.0,13949182.0
3.,A. > 3.,3.,Tài sản Có khác,17.3,1.380.412,3.230.825,,173.0,1380412.0,3230825.0
4.,A. > 4.,4.,Dự phòng rủi ro cho các tài sản Có nội bằng khác,17.4,(124.212),(86.402),,174.0,-124212.0,-86402.0
TỔNG TÀI SẢN CÓ,A. > TỔNG TÀI SẢN CÓ,TỔNG TÀI SẢN CÓ,TỔNG TÀI SẢN CÓ,TỔNG TÀI SẢN CÓ,747.478.069,630.500.685,,,747478069.0,630500685.0
