row_label_raw,row_label_full,STT,CHỈ TIÊU,Thuyết minh,Số cuối năm,Số đầu năm,numeric__CHỈ TIÊU,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm
B.,B.,B.,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮ'U,,,,,,,
I.,B. > I.,I.,Các khoản nợ Chính phủ và NHNN,18,1.242.864,1.333.658,,18.0,1242864.0,1333658.0
1.,B. > 1.,1.,"Tiền gửi và vay Chính phủ, NHNN",,1.242.864,1.333.658,,,1242864.0,1333658.0
II.,B. > II.,II.,Tiền gửi và vay các TCTD khác,19,134.090.990,70.766.294,,19.0,134090990.0,70766294.0
1.,B. > 1.,1.,Tiền gửi của các TCTD khác,,123.726.071,65.286.090,,,123726071.0,65286090.0
2.,B. > 2.,2.,Vay các TCTD khác,,10.364.919,5.480.204,,,10364919.0,5480204.0
III.,B. > III.,III.,Tiền gửi của khách hàng,20,499.896.571,447.503.426,,20.0,499896571.0,447503426.0
IV.,B. > IV.,IV.,Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,10,61.927,97.152,,10.0,61927.0,97152.0
V.,B. > V.,V.,"Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",21,1.429.650,1.611.235,,21.0,1429650.0,1611235.0
VI.,B. > VI.,VI.,Phát hành giấy tờ có giá,22,39.248.195,42.821.727,,22.0,39248195.0,42821727.0
VII.,B. > VII.,VII.,Các khoản nợ khác,23,13.440.528,16.268.913,,23.0,13440528.0,16268913.0
1.,B. > 1.,1.,"Các khoản lãi, phí phải trả",,10.591.116,14.025.631,,,10591116.0,14025631.0
2.,B. > 2.,2.,Thuế TNDN hoãn lại phải trả,,22.049,36.030,,,22049.0,36030.0
3,B. > 3,3,Các khoản phải trả và công nợ khác,,2.827.363,2.207.252,,,2827363.0,2207252.0
,,,TỔNG NỘ PHẢI TRẢ,,689.410.725,580.402.405,,,689410725.0,580402405.0
VIII.,B. > VIII.,VIII.,Vốn và các quỹ,25,58.067.344,50.098.280,,25.0,58067344.0,50098280.0
1.,B. > 1.,1.,Vốn của TCTD,,38.073.428,37.638.324,,,38073428.0,37638324.0
a.,B. > a.,a.,Vốn điều lệ,,36.629.085,36.193.981,,,36629085.0,36193981.0
b.,B. > b.,b.,Thặng dư vốn cổ phần,,1.449.603,1.449.603,,,1449603.0,1449603.0
c.,B. > c.,c.,Cổ phiếu quỹ,,(5.260),(5.260),,,-5260.0,-5260.0
2.,B. > 2.,2.,Quỹ của TCTD,,7.191.833,5.138.098,,,7191833.0,5138098.0
3.,B. > 3.,3.,Chênh lệch tỷ giá hối đoái,,(530.940),(689.038),,,-530940.0,-689038.0
4.,B. > 4.,4.,Lợi nhuận sau thuế chưa phân phối,,13.333.023,8.010.896,,,13333023.0,8010896.0
TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮ'U,B. > TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮ'U,TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮ'U,TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮ'U,,747.478.069,630.500.685,,,747478069.0,630500685.0
