row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc","Máy móc,thiết bị",Phương tiệnvận tải,Thiết bị dụng cụquản lý,Tài sản cố địnhhửu hình khác,Tổng,"numeric__Nhà cửa,vật kiến trúc","numeric__Máy móc,thiết bị",numeric__Phương tiệnvận tải,numeric__Thiết bị dụng cụquản lý,numeric__Tài sản cố địnhhửu hình khác,numeric__Tổng
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,,,
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,667.181,240.766,203.722,414.738,2.096,1.528.503,667181.0,240766.0,203722.0,414738.0,2096.0,1528503.0
Mua sắm trong năm,Nguyên giá > Mua sắm trong năm,Mua sắm trong năm,41.922,37.166,30.445,62.941,175,172.649,41922.0,37166.0,30445.0,62941.0,175.0,172649.0
Chênh lệch tỷ giá,Nguyên giá > Chênh lệch tỷ giá,Chênh lệch tỷ giá,1.273,181,42,273,(6),1.763,1273.0,181.0,42.0,273.0,-6.0,1763.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(4.377),(64.376),(19.980),(33.150),-,(121.883),-4377.0,-64376.0,-19980.0,-33150.0,,-121883.0
Tăng/(Giảm) khác,Nguyên giá > Tăng/(Giảm) khác,Tăng/(Giảm) khác,614,416,834,(377),(1.550),(63),614.0,416.0,834.0,-377.0,-1550.0,-63.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,706.613,214.153,215.063,444.425,715,1.580.969,706613.0,214153.0,215063.0,444425.0,715.0,1580969.0
Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,,,,,,
Số dư đầu năm,Giá trị khấu hao lũy kế > Số dư đầu năm,Số dư đầu năm,207.917,208.214,141.041,235.777,576,793.525,207917.0,208214.0,141041.0,235777.0,576.0,793525.0
Khấu hao trong năm,Giá trị khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,21.768,4.475,12.960,40.433,248,79.884,21768.0,4475.0,12960.0,40433.0,248.0,79884.0
Chênh lệch tỷ giá,Giá trị khấu hao lũy kế > Chênh lệch tỷ giá,Chênh lệch tỷ giá,1.095,163,22,251,(6),1.525,1095.0,163.0,22.0,251.0,-6.0,1525.0
"Thanh lý, nhượng bán","Giá trị khấu hao lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(3.963),(64.329),(19.612),(32.930),-,(120.834),-3963.0,-64329.0,-19612.0,-32930.0,,-120834.0
Tăng/(Giảm) khác,Giá trị khấu hao lũy kế > Tăng/(Giảm) khác,Tăng/(Giảm) khác,186,28,233,(83),(377),(13),186.0,28.0,233.0,-83.0,-377.0,-13.0
Số dư cuối năm,Giá trị khấu hao lũy kế > Số dư cuối năm,Số dư cuối năm,227.003,148.551,134.644,243.448,441,754.087,227003.0,148551.0,134644.0,243448.0,441.0,754087.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Tại ngày đầu năm,Giá trị còn lại > Tại ngày đầu năm,Tại ngày đầu năm,459.264,32.552,62.681,178.961,1.520,734.978,459264.0,32552.0,62681.0,178961.0,1520.0,734978.0
Tại ngày cuối năm,Giá trị còn lại > Tại ngày cuối năm,Tại ngày cuối năm,479.610,65.602,80.419,200.977,274,826.882,479610.0,65602.0,80419.0,200977.0,274.0,826882.0
