row_label_raw,row_label_full,STT,Tên công ty,Được thành lập theo,Lĩnh vực hoạt động chính,Tỷ lệ sở hữu của Ngân hàng,numeric__Tên công ty,numeric__Được thành lập theo,numeric__Lĩnh vực hoạt động chính,numeric__Tỷ lệ sở hữu của Ngân hàng
1,1,1,"Công ty TNHH MTV Quản lý Nợ và Khai thác Tài sản Ngân hàng TMCP Sài Gòn – Hà Nội (""SHB AMC"")","Giấy chứng nhận Đăng ký Doanh nghiệp số 0103811666 do Sở kế hoạch và đầu tư thành phố Hà Nội cấp lần đầu ngày 04 tháng 5 năm 2009, đăng ký thay đổi lần thứ 5 ngày 25 tháng 6 năm 2019",Quản lý nợ và khai thác tài sản,"100,00%",,,,1.0
2,2,2,"Ngân hàng TNHH MTV Sài Gòn – Hà Nội Lào (""SHB Lào"")","Giấy chứng nhận đăng ký doanh nghiệp số 554/2018/CV-SHB.LAO Ngân hàng Trung ương CHDCND Lào cấp ngày 08 tháng 7 năm 2015, đăng ký thay đổi lần thứ 3 ngày 22 tháng 5 năm 2024",Tài chính/ Ngân hàng,"100,00%",,,,1.0
3,3,3,"Ngân hàng TNHH MTV Sài Gòn – Hà Nội Campuchia (""SHB Campuchia"")",Giấy phép hoạt động số B.35 ngày 31 tháng 10 năm 2016 của Ngân hàng Quốc gia Campuchia và Giấy chứng nhận số MOC-6193635 của Bộ Thương mại Campuchia ngày 13 tháng 3 năm 2017,Tài chính/ Ngân hàng,"100,00%",,,,1.0
