row_label_raw,row_label_full,STT,CHỈ TIÊU,Thuyết minh,Năm nay,Năm trước,numeric__CHỈ TIÊU,numeric__Thuyết minh,numeric__Năm nay,numeric__Năm trước
1.,1.,1.,Thu nhập lãi và các khoản thu nhập tương tự,26,50.487.346,57.589.391,,26.0,50487346.0,57589391.0
2.,2.,2.,Chỉ phí lãi và các chi phí tương tự,27,(29.255.227),(38.304.038),,27.0,-29255227.0,-38304038.0
I.,I.,I.,Thu nhập lãi thuần,,21.232.119,19.285.353,,,21232119.0,19285353.0
3.,3.,3.,Thu nhập từ hoạt động dịch vụ,,1.569.532,912.654,,,1569532.0,912654.0
4.,4.,4.,Chỉ phí hoạt động dịch vụ,,(286.112),(367.727),,,-286112.0,-367727.0
II.,II.,II.,Lãi thuần từ hoạt động dịch vụ,28,1.283.420,544.927,,28.0,1283420.0,544927.0
III.,III.,III.,Lãi thuần từ hoạt động kinh doanh ngoại hối,29,86.288,282.207,,29.0,86288.0,282207.0
IV.,IV.,IV.,Lãi thuần từ mua bán chứng khoán kinh doanh,30.1,3.329,11.122,,301.0,3329.0,11122.0
V.,V.,V.,(Lỗ)/Lãi thuần từ mua bán chứng khoán đầu tư,30.2,(218.061),27.981,,302.0,-218061.0,27981.0
5.,5.,5.,Thu nhập từ hoạt động khác,,1.341.801,501.021,,,1341801.0,501021.0
6.,6.,6.,Chỉ phí hoạt động khác,,(186.133),(67.385),,,-186133.0,-67385.0
VI.,VI.,VI.,Lãi thuần từ hoạt động khác,31,1.155.668,433.636,,31.0,1155668.0,433636.0
VII.,VII.,VII.,"Thu nhập từ góp vốn, mua cổ phần",32,29.502,743.171,,32.0,29502.0,743171.0
VIII.,VIII.,VIII.,Chỉ phí hoạt động,33,(5.760.231),(5.051.539),,33.0,-5760231.0,-5051539.0
IX.,IX.,IX.,Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,,17.812.034,16.276.858,,,17812034.0,16276858.0
X.,X.,X.,Chỉ phí dự phòng rủi ro tín dụng,34,(6.242.792),(7.037.837),,34.0,-6242792.0,-7037837.0
XI.,XI.,XI.,Tổng lợi nhuận trước thuế,,11.569.242,9.239.021,,,11569242.0,9239021.0
7.,7.,7.,Chỉ phí thuế TNDN hiện hành,35,(2.261.274),(1.908.466),,35.0,-2261274.0,-1908466.0
8,8,8,Thu nhập/(Chi phí) thuế TNDN hoãn lại,,13.981,(5.797),,,13981.0,-5797.0
XII.,XII.,XII.,Chỉ phí thuế TNDN,,(2.247.293),(1.914.263),,,-2247293.0,-1914263.0
XIII.,XIII.,XIII.,Lợi nhuận sau thuế TNDN,,9.321.949,7.324.758,,,9321949.0,7324758.0
XIV.,XIV.,XIV.,Lợi nhuận thuần của chủ sở hữu,,9.321.949,7.324.758,,,9321949.0,7324758.0
XV.,XV.,XV.,Lãi cơ bản trên cổ phiếu (VND),36,2.306,1.821,,36.0,2306.0,1821.0
