row_label_raw,row_label_full,STT,CHÌ TIÊU,Năm nay,Năm trước,numeric__CHÌ TIÊU,numeric__Năm nay,numeric__Năm trước
LU'U CHUYÊN TIÊN THUẦN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN THUẦN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN THUẦN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN THUẦN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN THUẦN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN THUẦN TỪ HOẠT ĐỘNG ĐẦU TƯ,,,
01.,LU'U CHUYÊN TIÊN THUẦN TỪ HOẠT ĐỘNG ĐẦU TƯ > 01.,01.,Mua sắm tài sản cố định,(210.732),(240.841),,-210732.0,-240841.0
02.,LU'U CHUYÊN TIÊN THUẦN TỪ HOẠT ĐỘNG ĐẦU TƯ > 02.,02.,"Tiền thu từ thanh lý, nhượng bán tài sản cố định",2.474,1.780,,2474.0,1780.0
03.,LU'U CHUYÊN TIÊN THUẦN TỪ HOẠT ĐỘNG ĐẦU TƯ > 03.,03.,"Tiền chỉ từ thanh lý, nhượng bán tài sản cố định",(1.232),(1.895),,-1232.0,-1895.0
04.,LU'U CHUYÊN TIÊN THUẦN TỪ HOẠT ĐỘNG ĐẦU TƯ > 04.,04.,"Tiền thu đầu tư, góp vốn vào các đơn vị khác",-,825.440,,,825440.0
05.,LU'U CHUYÊN TIÊN THUẦN TỪ HOẠT ĐỘNG ĐẦU TƯ > 05.,05.,"Tiền thu cố tức và lợi nhuận được chia từ các khoản đầu tư, góp vốn dài hạn",29.502,4.958,,29502.0,4958.0
II.,LU'U CHUYÊN TIÊN THUẦN TỪ HOẠT ĐỘNG ĐẦU TƯ > II.,II.,Lưu chuyển tiền thuần từ hoạt động đầu tư,(179.988),589.442,,-179988.0,589442.0
LU'U CHUYÊN TIÊN THUẦN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIÊN THUẦN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIÊN THUẦN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIÊN THUẦN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIÊN THUẦN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIÊN THUẦN TỪ HOẠT ĐỘNG TÀI CHÍNH,,,
01.,LU'U CHUYÊN TIÊN THUẦN TỪ HOẠT ĐỘNG TÀI CHÍNH > 01.,01.,Tăng vốn cố phần từ phát hành cố phiếu,435.104,-,,435104.0,
02.,LU'U CHUYÊN TIÊN THUẦN TỪ HOẠT ĐỘNG TÀI CHÍNH > 02.,02.,"Cổ tức trả cho cố đông, lợi nhuận đã chia",(1.746.493),(165),,-1746493.0,-165.0
III.,LU'U CHUYÊN TIÊN THUẦN TỪ HOẠT ĐỘNG TÀI CHÍNH > III.,III.,Lưu chuyển tiền thuần từ hoạt động tài chính,(1.311.389),(165),,-1311389.0,-165.0
IV.,LU'U CHUYÊN TIÊN THUẦN TỪ HOẠT ĐỘNG TÀI CHÍNH > IV.,IV.,Lưu chuyển tiền thuần trong năm,10.457.748,41.359.694,,10457748.0,41359694.0
V.,LU'U CHUYÊN TIÊN THUẦN TỪ HOẠT ĐỘNG TÀI CHÍNH > V.,V.,Tiền và các khoản tương đương tiền đầu năm,110.859.786,69.500.092,,110859786.0,69500092.0
VI.,LU'U CHUYÊN TIÊN THUẦN TỪ HOẠT ĐỘNG TÀI CHÍNH > VI.,VI.,Tiền và các khoản tương đương tiền cuối năm (Thuyết minh số 37),121.317.534,110.859.786,,121317534.0,110859786.0
