row_label_raw,row_label_full,col_0,Số đầu năm,Số cuối năm,numeric__Số đầu năm,numeric__Số cuối năm
,,,Triệu VND,Triệu VND,,
Các khoản lãi và phí phải trả,Các khoản lãi và phí phải trả,Các khoản lãi và phí phải trả,10.591.116,14.025.631,10591116.0,14025631.0
Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,22.049,36.030,22049.0,36030.0
Các khoản phải trả và công nợ khác,Các khoản phải trả và công nợ khác,Các khoản phải trả và công nợ khác,2.827.363,2.207.252,2827363.0,2207252.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Các khoản phải trả nội bộ,Trong đó: > Các khoản phải trả nội bộ,Các khoản phải trả nội bộ,282.839,106.511,282839.0,106511.0
Các khoản phải trả bên ngoài,Trong đó: > Các khoản phải trả bên ngoài,Các khoản phải trả bên ngoài,2.348.479,1.956.066,2348479.0,1956066.0
- Thuế và các khoản phải trả cho Ngân sách nhà nước(Thuyết minh số 24),Trong đó: > - Thuế và các khoản phải trả cho Ngân sách nhà nước(Thuyết minh số 24),- Thuế và các khoản phải trả cho Ngân sách nhà nước(Thuyết minh số 24),1.715.669,1.257.723,1715669.0,1257723.0
- Phải trả về trung gian thanh toán và nợ phải trả khác,Trong đó: > - Phải trả về trung gian thanh toán và nợ phải trả khác,- Phải trả về trung gian thanh toán và nợ phải trả khác,541.961,580.834,541961.0,580834.0
- Các khoản phải trả khác,Trong đó: > - Các khoản phải trả khác,- Các khoản phải trả khác,90.849,117.509,90849.0,117509.0
"Quỹ khen thưởng, phúc lợi","Trong đó: > Quỹ khen thưởng, phúc lợi","Quỹ khen thưởng, phúc lợi",196.045,144.675,196045.0,144675.0
,,,13.440.528,16.268.913,13440528.0,16268913.0
