row_label_raw,row_label_full,STT,CHÌ TIÊU,Thuyết minh,Số cuối năm,Số đầu năm,numeric__CHÌ TIÊU,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm
1.,1.,1.,Bảo lãnh vay vốn,41,30.089,55.050,,41.0,30089.0,55050.0
2.,2.,2.,Cam kết giao dịch hồi đoái,41,13.754.686,15.454.640,,41.0,13754686.0,15454640.0
2.,2.,2.,Cam kết mua ngoại tệ,,848.566,805.070,,,848566.0,805070.0
2.,2.,2.,Cam kết bán ngoại tệ,,613.719,814.380,,,613719.0,814380.0
2.,2.,2.,Cam kết giao dịch hoán đối,,12.292.401,13.835.190,,,12292401.0,13835190.0
3.,3.,3.,Cam kết trong nghiệp vụ L/C,41,26.254.923,5.085.207,,41.0,26254923.0,5085207.0
4.,4.,4.,Bảo lãnh khác,41,17.927.463,18.477.630,,41.0,17927463.0,18477630.0
5.,5.,5.,Lãi cho vay và phí phải thu chưa thu được,42,8.753.519,10.116.063,,42.0,8753519.0,10116063.0
6.,6.,6.,Nợ khó đòi đã xử lý,43,40.045.556,33.542.661,,43.0,40045556.0,33542661.0
7.,7.,7.,Tài sản và chứng từ khác,44,2.433.457,2.530.168,,44.0,2433457.0,2530168.0
