row_label_raw,row_label_full,col_0,Không chịu lãi,Quá hạn,Quá hạn_1,Trong hạn,Trong hạn_1,Trong hạn_2,Trong hạn_3,Trong hạn_4,Trong hạn_5,Tổng,numeric__Không chịu lãi,numeric__Quá hạn,numeric__Quá hạn_1,numeric__Trong hạn,numeric__Trong hạn_1,numeric__Trong hạn_2,numeric__Trong hạn_3,numeric__Trong hạn_4,numeric__Trong hạn_5,numeric__Tổng
,,,Không chịu lãi,Trên 3 tháng,Đến 3 tháng,Đến 01 tháng,Từ 01-03 tháng,Từ 03-06 tháng,Từ 06 -12 tháng,Từ 01-05 năm,Trên 05 năm,Tổng,,,,,,,,,,
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,,,,,,,
Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,,,,,,,,,,
"Tiền mặt, vàng bạc, đá quý","Tài sản > Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",1.563.509,-,-,-,-,-,-,-,-,1.563.509,1563509.0,,,,,,,,,1563509.0
Tiền gửi tại Trung ương,Tài sản > Tiền gửi tại Trung ương,Tiền gửi tại Trung ương,27.436.936,-,-,-,-,-,-,-,-,27.436.936,27436936.0,,,,,,,,,27436936.0
Tiền gửi và cho vay các TCTD khác (*),Tài sản > Tiền gửi và cho vay các TCTD khác (*),Tiền gửi và cho vay các TCTD khác (*),-,-,-,95.952.680,20.971.973,229.320,115.482,79.368,-,117.348.823,,,,95952680.0,20971973.0,229320.0,115482.0,79368.0,,117348823.0
Chứng khoán kinh doanh (*),Tài sản > Chứng khoán kinh doanh (*),Chứng khoán kinh doanh (*),3.880,-,-,-,314.072,2.427.066,-,2.204.590,-,4.949.608,3880.0,,,,314072.0,2427066.0,,2204590.0,,4949608.0
Cho vay khách hàng (*),Tài sản > Cho vay khách hàng (*),Cho vay khách hàng (*),-,15.065.075,5.380.247,128.860.381,295.400.459,26.001.522,21.982.582,20.176.927,7.082.798,519.949.991,,15065075.0,5380247.0,128860381.0,295400459.0,26001522.0,21982582.0,20176927.0,7082798.0,519949991.0
Chứng khoán đầu tư(*),Tài sản > Chứng khoán đầu tư(*),Chứng khoán đầu tư(*),28.658,526.536,,1.849.227,255.545,7.304.705,1.505.159,3.642.485,17.657.562,32.769.877,28658.0,526536.0,,1849227.0,255545.0,7304705.0,1505159.0,3642485.0,17657562.0,32769877.0
"Góp vốn, đầu tư dài hạn (*)","Tài sản > Góp vốn, đầu tư dài hạn (*)","Góp vốn, đầu tư dài hạn (*)",528.286,-,-,-,-,-,-,-,-,528.286,528286.0,,,,,,,,,528286.0
