row_label_raw,row_label_full,col_0,Thuyết minh,31/12/2021Triệu VND,31/12/2020Triệu VND,numeric__Thuyết minh,numeric__31/12/2021Triệu VND,numeric__31/12/2020Triệu VND
NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,
NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,,,
Tiền gửi và vay các TCTD khác,NỘ PHẢI TRẢ > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,18,64.456.470,42.487.522,18.0,64456470.0,42487522.0
Tiền gửi của các TCTD khác,NỘ PHẢI TRẢ > Tiền gửi của các TCTD khác,Tiền gửi của các TCTD khác,,38.019.670,26.886.323,,38019670.0,26886323.0
Vay các TCTD khác,NỘ PHẢI TRẢ > Vay các TCTD khác,Vay các TCTD khác,,26.436.800,15.601.199,,26436800.0,15601199.0
Tiền gửi của khách hàng,NỘ PHẢI TRẢ > Tiền gửi của khách hàng,Tiền gửi của khách hàng,19,173.702.652,150.515.386,19.0,173702652.0,150515386.0
Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,NỘ PHẢI TRẢ > Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,7,63.933,-,7.0,63933.0,
"Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","NỘ PHẢI TRẢ > Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",20,8.648,10.088,20.0,8648.0,10088.0
Phát hành giấy tờ có giá,NỘ PHẢI TRẢ > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,21,42.298.182,28.558.863,21.0,42298182.0,28558863.0
Các khoản nợ khác,NỘ PHẢI TRẢ > Các khoản nợ khác,Các khoản nợ khác,22,4.811.194,5.249.320,22.0,4811194.0,5249320.0
"Các khoản lãi, phí phải trả","NỘ PHẢI TRẢ > Các khoản lãi, phí phải trả","Các khoản lãi, phí phải trả",,2.552.910,2.825.784,,2552910.0,2825784.0
Các khoản phải trả và công nợ khác,NỘ PHẢI TRẢ > Các khoản phải trả và công nợ khác,Các khoản phải trả và công nợ khác,,2.258.284,2.423.536,,2258284.0,2423536.0
TỔNG NỘ PHẢI TRẢ,NỘ PHẢI TRẢ > TỔNG NỘ PHẢI TRẢ,TỔNG NỘ PHẢI TRẢ,,285.341.079,226.821.179,,285341079.0,226821179.0
VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU,,,
Vốn và các quỹ,VỐN CHỦ SỞ HỮU > Vốn và các quỹ,Vốn và các quỹ,23,24.251.383,17.945.439,23.0,24251383.0,17945439.0
Vốn của TCTD,VỐN CHỦ SỞ HỮU > Vốn của TCTD,Vốn của TCTD,,15.532.910,11.095.229,,15532910.0,11095229.0
Vốn điều lệ,VỐN CHỦ SỞ HỮU > Vốn điều lệ,Vốn điều lệ,,15.531.430,11.093.879,,15531430.0,11093879.0
Thặng dư vốn cổ phần,VỐN CHỦ SỞ HỮU > Thặng dư vốn cổ phần,Thặng dư vốn cổ phần,,1.480,1.350,,1480.0,1350.0
Các quỹ của TCTD,VỐN CHỦ SỞ HỮU > Các quỹ của TCTD,Các quỹ của TCTD,,1.766.975,1.234.600,,1766975.0,1234600.0
Lợi nhuận chưa phân phối,VỐN CHỦ SỞ HỮU > Lợi nhuận chưa phân phối,Lợi nhuận chưa phân phối,,6.951.498,5.615.610,,6951498.0,5615610.0
TỔNG VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU > TỔNG VỐN CHỦ SỞ HỮU,TỔNG VỐN CHỦ SỞ HỮU,,24.251.383,17.945.439,,24251383.0,17945439.0
TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU > TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,309.592.462,244.766.618,,309592462.0,244766618.0
