row_label_raw,row_label_full,CÁC CHỈ TIÊU NGOÀI BẢNG CÂN ĐỐI KẾ TOÁN,31/12/2020Triệu VND(Trình bày lại) > CÁC CHỈ TIÊU NGOÀI BẢNG CÂN ĐỐI KẾ TOÁN,31/12/2020Triệu VND(Theo báo cáotrước đây) > CÁC CHỈ TIÊU NGOÀI BẢNG CÂN ĐỐI KẾ TOÁN,numeric__31/12/2020Triệu VND(Trình bày lại) > CÁC CHỈ TIÊU NGOÀI BẢNG CÂN ĐỐI KẾ TOÁN,numeric__31/12/2020Triệu VND(Theo báo cáotrước đây) > CÁC CHỈ TIÊU NGOÀI BẢNG CÂN ĐỐI KẾ TOÁN
Nghĩa vụ nợ tiềm ấn và các cam kết khác,Nghĩa vụ nợ tiềm ấn và các cam kết khác,Nghĩa vụ nợ tiềm ấn và các cam kết khác,Nghĩa vụ nợ tiềm ấn và các cam kết khác,Nghĩa vụ nợ tiềm ấn và các cam kết khác,,
Cam kết trong nghiệp vụ thư tín dụng,Nghĩa vụ nợ tiềm ấn và các cam kết khác > Cam kết trong nghiệp vụ thư tín dụng,Cam kết trong nghiệp vụ thư tín dụng,2.612.315,2.670.553,2612315.0,2670553.0
Bảo lãnh khác,Nghĩa vụ nợ tiềm ấn và các cam kết khác > Bảo lãnh khác,Bảo lãnh khác,5.374.798,5.463.802,5374798.0,5463802.0
