row_label_raw,row_label_full,col_0,Vốn điều lệ Triệu VND,Thặng dư vốn cổ phần Triệu VND,Quỹ đầu tư phát triển Triệu VND,Quỹ dự phòng tài chính Triệu VND,Quỹ dự trữ bổ sung vốn điều lệ Triệu VND,Lợi nhuận chưa phân phối Triệu VND,Tổng cộng Triệu VND,numeric__Vốn điều lệ Triệu VND,numeric__Thặng dư vốn cổ phần Triệu VND,numeric__Quỹ đầu tư phát triển Triệu VND,numeric__Quỹ dự phòng tài chính Triệu VND,numeric__Quỹ dự trữ bổ sung vốn điều lệ Triệu VND,numeric__Lợi nhuận chưa phân phối Triệu VND,numeric__Tổng cộng Triệu VND
Số dư tại ngày 1/1/2021,Số dư tại ngày 1/1/2021,Số dư tại ngày 1/1/2021,11.093.879,1.350,-,1.071.313,163.287,5.615.610,17.945.439,11093879.0,1350.0,,1071313.0,163287.0,5615610.0,17945439.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,6.398.569,6.398.569,,,,,,6398569.0,6398569.0
Trích lập các quỹ thuộc vốn chủ sở hữu,Trích lập các quỹ thuộc vốn chủ sở hữu,Trích lập các quỹ thuộc vốn chủ sở hữu,-,-,-,463.775,231.887,(695.662),-,,,,463775.0,231887.0,-695662.0,
"Trích lập quỹ khen thưởng, phúc lợi","Trích lập quỹ khen thưởng, phúc lợi","Trích lập quỹ khen thưởng, phúc lợi",-,-,-,-,-,(92.755),(92.755),,,,,,-92755.0,-92755.0
Tăng vốn trong năm bằng hình thức cổ phiếu thưởng (*),Tăng vốn trong năm bằng hình thức cổ phiếu thưởng (*),Tăng vốn trong năm bằng hình thức cổ phiếu thưởng (*),4.437.551,-,-,-,(163.287),(4.274.264),-,4437551.0,,,,-163287.0,-4274264.0,
Bán cổ phiếu lẻ,Bán cổ phiếu lẻ,Bán cổ phiếu lẻ,-,130,-,-,-,-,130,,130.0,,,,,130.0
Số dư tại ngày 31/12/2021,Số dư tại ngày 31/12/2021,Số dư tại ngày 31/12/2021,15.531.430,1.480,-,1.535.088,231.887,6.951.498,24.251.383,15531430.0,1480.0,,1535088.0,231887.0,6951498.0,24251383.0
Số dư tại ngày 1/1/2020,Số dư tại ngày 1/1/2020,Số dư tại ngày 1/1/2020,9.244.914,1.332,1.700.000,744.738,130.958,1.583.724,13.405.666,9244914.0,1332.0,1700000.0,744738.0,130958.0,1583724.0,13405666.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,4.637.745,4.637.745,,,,,,4637745.0,4637745.0
Trích lập các quỹ thuộc vốn chủ sở hữu,Trích lập các quỹ thuộc vốn chủ sở hữu,Trích lập các quỹ thuộc vốn chủ sở hữu,-,-,-,326.575,163.287,(489.862),-,,,,326575.0,163287.0,-489862.0,
"Trích lập quỹ khen thưởng, phúc lợi","Trích lập quỹ khen thưởng, phúc lợi","Trích lập quỹ khen thưởng, phúc lợi",-,-,-,-,-,(97.972),(97.972),,,,,,-97972.0,-97972.0
Tăng vốn trong năm bằng hình thức cổ phiếu thưởng (*),Tăng vốn trong năm bằng hình thức cổ phiếu thưởng (*),Tăng vốn trong năm bằng hình thức cổ phiếu thưởng (*),1.848.965,18,(1.700.000),-,(130.958),(18.025),-,1848965.0,18.0,-1700000.0,,-130958.0,-18025.0,
Số dư tại ngày 31/12/2020,Số dư tại ngày 31/12/2020,Số dư tại ngày 31/12/2020,11.093.879,1.350,-,1.071.313,163.287,5.615.610,17.945.439,11093879.0,1350.0,,1071313.0,163287.0,5615610.0,17945439.0
