row_label_raw,row_label_full,col_0,Nhà cửa và vật kiến trúc Triệu VND,Máy móc thiết bị Triệu VND,Phương tiện vận tải Triệu VND,Thiết bị văn phòng Triệu VND,Tài sản cố định hữu hình khác Triệu VND,Tổng cộng Triệu VND,numeric__Nhà cửa và vật kiến trúc Triệu VND,numeric__Máy móc thiết bị Triệu VND,numeric__Phương tiện vận tải Triệu VND,numeric__Thiết bị văn phòng Triệu VND,numeric__Tài sản cố định hữu hình khác Triệu VND,numeric__Tổng cộng Triệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,100.438,361.666,49.614,45.124,96.627,653.469,100438.0,361666.0,49614.0,45124.0,96627.0,653469.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,5.954,68.098,-,14.292,4.354,92.698,5954.0,68098.0,,14292.0,4354.0,92698.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(9.318),-,-,-,(9.318),,-9318.0,,,,-9318.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,106.392,420.446,49.614,59.416,100.981,736.849,106392.0,420446.0,49614.0,59416.0,100981.0,736849.0
Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,,,,,,
Số dư đầu năm,Hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,44.440,238.473,44.777,23.613,77.170,428.473,44440.0,238473.0,44777.0,23613.0,77170.0,428473.0
Khấu hao trong năm,Hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,6.427,34.492,1.143,8.352,7.379,57.793,6427.0,34492.0,1143.0,8352.0,7379.0,57793.0
"Thanh lý, nhượng bán","Hao mòn lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(9.308),-,-,-,(9.308),,-9308.0,,,,-9308.0
Số dư cuối năm,Hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,50.867,263.657,45.920,31.965,84.549,476.958,50867.0,263657.0,45920.0,31965.0,84549.0,476958.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,55.998,123.193,4.837,21.511,19.457,224.996,55998.0,123193.0,4837.0,21511.0,19457.0,224996.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,55.525,156.789,3.694,27.451,16.432,259.891,55525.0,156789.0,3694.0,27451.0,16432.0,259891.0
