row_label_raw,row_label_full,Năm kết thúc ngày 31 tháng 12 năm 2021,Năm kết thúc ngày 31 tháng 12 năm 2021_1,Miền Bắc Triệu VND,Miền Trung Triệu VND,Miền Nam Triệu VND,Tổng Triệu VND,numeric__Năm kết thúc ngày 31 tháng 12 năm 2021_1,numeric__Miền Bắc Triệu VND,numeric__Miền Trung Triệu VND,numeric__Miền Nam Triệu VND,numeric__Tổng Triệu VND
I,I,I,Doanh thu,,,,,,,,,
I,I > I,I,Thu nhập lãi và các khoản thu nhập tương tự,3.617.096,1.911.327,15.445.820,20.974.243,,3617096.0,1911327.0,15445820.0,20974243.0
I,I > I,I,Thu nhập từ hoạt động dịch vụ,1.032.184,258.369,2.139.442,3.429.995,,1032184.0,258369.0,2139442.0,3429995.0
I,I > I,I,Thu nhập từ hoạt động khác,123.336,9.082,718.296,850.714,,123336.0,9082.0,718296.0,850714.0
I,I > I,I,,4.772.616,2.178.778,18.303.558,25.254.952,,4772616.0,2178778.0,18303558.0,25254952.0
II,II,II,Chi phí,,,,,,,,,
II,II > II,II,Chi phí lãi và các khoản chi phí tương tự,(494.976),(1.063.419),(7.604.919),(9.163.314),,-494976.0,-1063419.0,-7604919.0,-9163314.0
II,II > II,II,Chi phí khấu hao TSCĐ,(5.219),(2.843),(109.341),(117.403),,-5219.0,-2843.0,-109341.0,-117403.0
II,II > II,II,Chi phí liên quan trực tiếp đến hoạt động kinh doanh,(1.322.405),(325.067),(4.732.860),(6.380.332),,-1322405.0,-325067.0,-4732860.0,-6380332.0
II,II > II,II,,(1.822.600),(1.391.329),(12.447.120),(15.661.049),,-1822600.0,-1391329.0,-12447120.0,-15661049.0
II,II > II,II,Kết quả kinh doanh trước chi phí dự phòng rủi ro tín dụng,2.950.016,787.449,5.856.438,9.593.903,,2950016.0,787449.0,5856438.0,9593903.0
II,II > II,II,Chi phí dự phòng rủi ro tín dụng,(417.793),(51.067),(1.129.188),(1.598.048),,-417793.0,-51067.0,-1129188.0,-1598048.0
II,II > II,II,Kết quả kinh doanh bộ phận (trước thuế),2.532.223,736.382,4.727.250,7.995.855,,2532223.0,736382.0,4727250.0,7995855.0
Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,,,,,
III,III,III,Tài sản,,,,,,,,,
III,III > III,III,Tiền mặt,771.748,153.607,596.206,1.521.561,,771748.0,153607.0,596206.0,1521561.0
III,III > III,III,Tài sản cố định,-,-,603.836,603.836,,,,603836.0,603836.0
III,III > III,III,Tài sản khác,44.439.781,20.359.893,242.667.391,307.467.065,,44439781.0,20359893.0,242667391.0,307467065.0
III,III > III,III,Tổng tài sản,45.211.529,20.513.500,243.867.433,309.592.462,,45211529.0,20513500.0,243867433.0,309592462.0
IV,IV,IV,Nợ phải trả,,,,,,,,,
IV,IV > IV,IV,Nợ phải trả khách hàng bên ngoài,94.387.033,10.894.367,178.615.004,283.896.404,,94387033.0,10894367.0,178615004.0,283896404.0
IV,IV > IV,IV,Nợ phải trả nội bộ,2.792,311.954,282.349,597.095,,2792.0,311954.0,282349.0,597095.0
IV,IV > IV,IV,Nợ phải trả khác,684,145,846.751,847.580,,684.0,145.0,846751.0,847580.0
IV,IV > IV,IV,Tổng nợ phải trả,94.390.509,11.206.466,179.744.104,285.341.079,,94390509.0,11206466.0,179744104.0,285341079.0
