row_label_raw,row_label_full,Năm kết thúc ngày 31 tháng 12 năm 2020,Năm kết thúc ngày 31 tháng 12 năm 2020_1,Miền Bắc Triệu VND,Miền Trung Triệu VND,Miền Nam Triệu VND,Tổng Triệu VND,numeric__Năm kết thúc ngày 31 tháng 12 năm 2020_1,numeric__Miền Bắc Triệu VND,numeric__Miền Trung Triệu VND,numeric__Miền Nam Triệu VND,numeric__Tổng Triệu VND
I,I,I,Doanh thu,,,,,,,,,
I,I > I,I,Thu nhập lãi và các khoản thu nhập tương tự,3.289.140,1.721.132,12.426.391,17.436.663,,3289140.0,1721132.0,12426391.0,17436663.0
I,I > I,I,Thu nhập từ hoạt động dịch vụ,793.956,204.404,1.885.632,2.883.992,,793956.0,204404.0,1885632.0,2883992.0
I,I > I,I,Thu nhập từ hoạt động khác,75.996,8.529,689.154,773.679,,75996.0,8529.0,689154.0,773679.0
I,I > I,I,,4.159.092,1.934.065,15.001.177,21.094.334,,4159092.0,1934065.0,15001177.0,21094334.0
II,II,II,Chi phí,,,,,,,,,
II,II > II,II,Chi phí lãi và các khoản chi phí tương tự,(1.109.818),(1.046.565),(6.791.181),(8.947.564),,-1109818.0,-1046565.0,-6791181.0,-8947564.0
II,II > II,II,Chi phí khấu hao TSCĐ,(3.616),(2.510),(84.037),(90.163),,-3616.0,-2510.0,-84037.0,-90163.0
II,II > II,II,Chi phí liên quan trực tiếp đến hoạt động kinh doanh,(1.046.166),(283.511),(3.983.340),(5.313.017),,-1046166.0,-283511.0,-3983340.0,-5313017.0
II,II > II,II,,(2.159.600),(1.332.586),(10.858.558),(14.350.744),,-2159600.0,-1332586.0,-10858558.0,-14350744.0
II,II > II,II,Kết quả kinh doanh trước chi phí dự phòng rủi ro tín dụng,1.999.492,601.479,4.142.619,6.743.590,,1999492.0,601479.0,4142619.0,6743590.0
II,II > II,II,Chi phí dự phòng rủi ro tín dụng,(245.898),(43.421),(658.316),(947.635),,-245898.0,-43421.0,-658316.0,-947635.0
II,II > II,II,Kết quả kinh doanh bộ phận (trước thuế),1.753.594,558.058,3.484.303,5.795.955,,1753594.0,558058.0,3484303.0,5795955.0
Tại ngày 31 tháng 12 năm 2020,Tại ngày 31 tháng 12 năm 2020,Tại ngày 31 tháng 12 năm 2020,Tại ngày 31 tháng 12 năm 2020,Tại ngày 31 tháng 12 năm 2020,Tại ngày 31 tháng 12 năm 2020,Tại ngày 31 tháng 12 năm 2020,Tại ngày 31 tháng 12 năm 2020,,,,,
III,III,III,Tài sản,,,,,,,,,
III,III > III,III,Tiền mặt,657.915,150.651,613.408,1.421.974,,657915.0,150651.0,613408.0,1421974.0
III,III > III,III,Tài sản cố định,-,-,395.333,395.333,,,,395333.0,395333.0
III,III > III,III,Tài sản khác,35.219.808,18.585.052,189.144.451,242.949.311,,35219808.0,18585052.0,189144451.0,242949311.0
III,III > III,III,Tổng tài sản,35.877.723,18.735.703,190.153.192,244.766.618,,35877723.0,18735703.0,190153192.0,244766618.0
IV,IV,IV,Nợ phải trả,,,,,,,,,
IV,IV > IV,IV,Nợ phải trả khách hàng bên ngoài,83.619.863,10.182.722,131.586.275,225.388.860,,83619863.0,10182722.0,131586275.0,225388860.0
IV,IV > IV,IV,Nợ phải trả nội bộ,1.620,1.550,677.069,680.239,,1620.0,1550.0,677069.0,680239.0
IV,IV > IV,IV,Nợ phải trả khác,1.655,202,750.223,752.080,,1655.0,202.0,750223.0,752080.0
IV,IV > IV,IV,Tổng nợ phải trả,83.623.138,10.184.474,133.013.567,226.821.179,,83623138.0,10184474.0,133013567.0,226821179.0
