row_label_raw,row_label_full,Chỉ tiêu,Hoạt động kinh doanh tại Việt Nam > VND,Hoạt động kinh doanh tại Singapore > VND,Loại trừ nội bộ > VND,Tổng > VND,numeric__Hoạt động kinh doanh tại Việt Nam > VND,numeric__Hoạt động kinh doanh tại Singapore > VND,numeric__Loại trừ nội bộ > VND,numeric__Tổng > VND
Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,136.615.579.924.932,18.645.239.306.241,(20.131.763.902.778),135.129.055.328.395,136615579924932.0,18645239306241.0,-20131763902778.0,135129055328395.0
Chi phí sản xuất kinh doanh,Chi phí sản xuất kinh doanh,Chi phí sản xuất kinh doanh,(123.601.797.358.408),(18.639.625.289.001),20.236.882.381.795,(122.004.540.265.614),-123601797358408.0,-18639625289001.0,20236882381795.0,-122004540265614.0
- Giá vốn hàng bán và dịch vụ cung cấp,- Giá vốn hàng bán và dịch vụ cung cấp,- Giá vốn hàng bán và dịch vụ cung cấp,(119.560.106.001.795),(18.638.353.931.305),20.119.957.964.370,(118.078.501.968.730),-119560106001795.0,-18638353931305.0,20119957964370.0,-118078501968730.0
- Chi phí bán hàng,- Chi phí bán hàng,- Chi phí bán hàng,(2.723.900.407.619),(1.271.357.696),123.167.811.882,(2.602.003.953.433),-2723900407619.0,-1271357696.0,123167811882.0,-2602003953433.0
- Chi phí quản lý doanh nghiệp,- Chi phí quản lý doanh nghiệp,- Chi phí quản lý doanh nghiệp,(1.317.790.948.994),,(6.243.394.457),(1.324.034.343.451),-1317790948994.0,,-6243394457.0,-1324034343451.0
Kết quả kinh doanh theo bộ phận,Kết quả kinh doanh theo bộ phận,Kết quả kinh doanh theo bộ phận,13.013.782.566.524,5.614.017.240,105.118.479.017,13.124.515.062.781,13013782566524.0,5614017240.0,105118479017.0,13124515062781.0
Phần lãi trong công ty liên kết,Phần lãi trong công ty liên kết,Phần lãi trong công ty liên kết,,,,41.579.205.053,,,,41579205053.0
Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,,,,1.580.477.045.284,,,,1580477045284.0
Chi phí tài chính,Chi phí tài chính,Chi phí tài chính,,,,(383.579.287.970),,,,-383579287970.0
Lợi nhuận khác,Lợi nhuận khác,Lợi nhuận khác,,,,(3.556.841.289),,,,-3556841289.0
Lợi nhuận trước thuế thu nhập doanh nghiệp,Lợi nhuận trước thuế thu nhập doanh nghiệp,Lợi nhuận trước thuế thu nhập doanh nghiệp,,,,14.359.435.183.859,,,,14359435183859.0
Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,,,,(2.796.326.449.807),,,,-2796326449807.0
Chi phí thuế thu nhập doanh nghiệp hoãn lại,Chi phí thuế thu nhập doanh nghiệp hoãn lại,Chi phí thuế thu nhập doanh nghiệp hoãn lại,,,,8.522.491.956,,,,8522491956.0
Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,,,,11.571.631.226.008,,,,11571631226008.0
