row_label_raw,row_label_full,col_0,Số cuối năm > Giá trị VND,Số cuối năm > Số có khả năng trả nợ VND,Số đầu năm > Giá trị VND,Số đầu năm > Số có khả năng trả nợ VND,numeric__Số cuối năm > Giá trị VND,numeric__Số cuối năm > Số có khả năng trả nợ VND,numeric__Số đầu năm > Giá trị VND,numeric__Số đầu năm > Số có khả năng trả nợ VND
a. Phải trả người bán ngắn hạn không phải là bên liên quan chủ yếu,a. Phải trả người bán ngắn hạn không phải là bên liên quan chủ yếu,a. Phải trả người bán ngắn hạn không phải là bên liên quan chủ yếu,6.471.770.528.200,6.471.770.528.200,3.298.165.159.277,3.298.165.159.277,6471770528200.0,6471770528200.0,3298165159277.0,3298165159277.0
Wanhua Chemical (Singapore) Pte. Ltd.,Wanhua Chemical (Singapore) Pte. Ltd.,Wanhua Chemical (Singapore) Pte. Ltd.,1.258.364.671.992,1.258.364.671.992,-,-,1258364671992.0,1258364671992.0,,
"Gunvor International B.V., Amsterdam, Geneva Branch","Gunvor International B.V., Amsterdam, Geneva Branch","Gunvor International B.V., Amsterdam, Geneva Branch",1.007.643.273.659,1.007.643.273.659,-,-,1007643273659.0,1007643273659.0,,
PetroChina International (Singapore) Pte. Ltd.,PetroChina International (Singapore) Pte. Ltd.,PetroChina International (Singapore) Pte. Ltd.,988.716.368.013,988.716.368.013,-,-,988716368013.0,988716368013.0,,
Petrolimex Singapore Pte. Ltd.,Petrolimex Singapore Pte. Ltd.,Petrolimex Singapore Pte. Ltd.,524.589.871.000,524.589.871.000,-,-,524589871000.0,524589871000.0,,
SwissChemGas Ltd.,SwissChemGas Ltd.,SwissChemGas Ltd.,-,-,1.678.370.132.442,1.678.370.132.442,,,1678370132442.0,1678370132442.0
Các đối tượng khác,Các đối tượng khác,Các đối tượng khác,2.692.456.343.536,2.692.456.343.536,1.619.795.026.835,1.619.795.026.835,2692456343536.0,2692456343536.0,1619795026835.0,1619795026835.0
b. Phải trả người bán là các bên liên quan chủ yếu(chỉ tiết tại Thuyết minh số 36),b. Phải trả người bán là các bên liên quan chủ yếu(chỉ tiết tại Thuyết minh số 36),b. Phải trả người bán là các bên liên quan chủ yếu(chỉ tiết tại Thuyết minh số 36),5.453.352.419.216,5.453.352.419.216,2.738.845.042.897,2.738.845.042.897,5453352419216.0,5453352419216.0,2738845042897.0,2738845042897.0
,,,11.925.122.947.416,11.925.122.947.416,6.037.010.202.174,6.037.010.202.174,11925122947416.0,11925122947416.0,6037010202174.0,6037010202174.0
17. THUẾ VÀ CÁC KHOẢN PHẢI THU/PHẢI NỘP NHÀ NƯỚC,17. THUẾ VÀ CÁC KHOẢN PHẢI THU/PHẢI NỘP NHÀ NƯỚC,17. THUẾ VÀ CÁC KHOẢN PHẢI THU/PHẢI NỘP NHÀ NƯỚC,17. THUẾ VÀ CÁC KHOẢN PHẢI THU/PHẢI NỘP NHÀ NƯỚC,17. THUẾ VÀ CÁC KHOẢN PHẢI THU/PHẢI NỘP NHÀ NƯỚC,17. THUẾ VÀ CÁC KHOẢN PHẢI THU/PHẢI NỘP NHÀ NƯỚC,17. THUẾ VÀ CÁC KHOẢN PHẢI THU/PHẢI NỘP NHÀ NƯỚC,,,,
,,,Số đầu năm VND,Số phải nộp trong năm VND,Số đã thực nộp trong năm VND,Số cuối năm VND,,,,
Thuế giá trị gia tăng hàng nội địa,17. THUẾ VÀ CÁC KHOẢN PHẢI THU/PHẢI NỘP NHÀ NƯỚC > Thuế giá trị gia tăng hàng nội địa,Thuế giá trị gia tăng hàng nội địa,140.204.850.106,1.816.823.212.270,1.933.917.993.518,23.110.068.858,140204850106.0,1816823212270.0,1933917993518.0,23110068858.0
Thuế giá trị gia tăng hàng nhập khẩu,17. THUẾ VÀ CÁC KHOẢN PHẢI THU/PHẢI NỘP NHÀ NƯỚC > Thuế giá trị gia tăng hàng nhập khẩu,Thuế giá trị gia tăng hàng nhập khẩu,(420.060),2.137.268.263.637,2.140.513.320.415,(3.245.476.838),-420060.0,2137268263637.0,2140513320415.0,-3245476838.0
"Thuế xuất, nhập khẩu","17. THUẾ VÀ CÁC KHOẢN PHẢI THU/PHẢI NỘP NHÀ NƯỚC > Thuế xuất, nhập khẩu","Thuế xuất, nhập khẩu",(18.947.720.153),447.361.461.740,527.762.252.878,(99.348.511.291),-18947720153.0,447361461740.0,527762252878.0,-99348511291.0
Thuế thu nhập doanh nghiệp,17. THUẾ VÀ CÁC KHOẢN PHẢI THU/PHẢI NỘP NHÀ NƯỚC > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,490.025.227.198,2.840.166.078.714,2.402.735.413.734,927.455.892.178,490025227198.0,2840166078714.0,2402735413734.0,927455892178.0
Thuế thu nhập cá nhân,17. THUẾ VÀ CÁC KHOẢN PHẢI THU/PHẢI NỘP NHÀ NƯỚC > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,34.160.696.949,182.871.274.762,168.432.766.581,48.599.205.130,34160696949.0,182871274762.0,168432766581.0,48599205130.0
"Thuế nhà đất, tiền thuê đất","17. THUẾ VÀ CÁC KHOẢN PHẢI THU/PHẢI NỘP NHÀ NƯỚC > Thuế nhà đất, tiền thuê đất","Thuế nhà đất, tiền thuê đất",(11.177.858),54.128.974.777,54.136.875.009,(19.078.090),-11177858.0,54128974777.0,54136875009.0,-19078090.0
Các loại thuế khác,17. THUẾ VÀ CÁC KHOẢN PHẢI THU/PHẢI NỘP NHÀ NƯỚC > Các loại thuế khác,Các loại thuế khác,85.123.288,50.378.048.534,50.375.464.836,87.706.986,85123288.0,50378048534.0,50375464836.0,87706986.0
,,,645.516.579.470,7.528.997.314.434,7.277.874.086.971,896.639.806.933,645516579470.0,7528997314434.0,7277874086971.0,896639806933.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,,
Thuế và các khoản phải thu Nhà nước,Trong đó: > Thuế và các khoản phải thu Nhà nước,Thuế và các khoản phải thu Nhà nước,37.320.827.925,,,109.857.347.997,37320827925.0,,,109857347997.0
Thuế và các khoản phải nộp Nhà nước,Trong đó: > Thuế và các khoản phải nộp Nhà nước,Thuế và các khoản phải nộp Nhà nước,682.837.407.395,,,1.006.497.154.930,682837407395.0,,,1006497154930.0
