row_label_raw,row_label_full,col_0,Giá gốcVND,Dự phòngVND,Số cuối nămGiá trị có thể thu hồi (*)VND,Giá gốcVND_1,Dự phòngVND_1,Số đầu nămGiá trị có thể thu hồi (*)VND,numeric__Giá gốcVND,numeric__Dự phòngVND,numeric__Số cuối nămGiá trị có thể thu hồi (*)VND,numeric__Giá gốcVND_1,numeric__Dự phòngVND_1,numeric__Số đầu nămGiá trị có thể thu hồi (*)VND
a) Phải thu ngắn hạn của khách hàng (tiếp theo),a) Phải thu ngắn hạn của khách hàng (tiếp theo),a) Phải thu ngắn hạn của khách hàng (tiếp theo),a) Phải thu ngắn hạn của khách hàng (tiếp theo),a) Phải thu ngắn hạn của khách hàng (tiếp theo),a) Phải thu ngắn hạn của khách hàng (tiếp theo),a) Phải thu ngắn hạn của khách hàng (tiếp theo),a) Phải thu ngắn hạn của khách hàng (tiếp theo),a) Phải thu ngắn hạn của khách hàng (tiếp theo),,,,,,
Công ty Điện lực TNHH BOT Phú Mỹ 3,a) Phải thu ngắn hạn của khách hàng (tiếp theo) > Công ty Điện lực TNHH BOT Phú Mỹ 3,Công ty Điện lực TNHH BOT Phú Mỹ 3,-,-,-,888.333.195.622,380.763.481.424,507.569.714.198,,,,888333195622.0,380763481424.0,507569714198.0
Từ 2 năm đến dưới 3 năm,a) Phải thu ngắn hạn của khách hàng (tiếp theo) > Từ 2 năm đến dưới 3 năm,Từ 2 năm đến dưới 3 năm,-,-,-,44.733.556.510,31.313.489.557,13.420.066.953,,,,44733556510.0,31313489557.0,13420066953.0
Từ 1 năm đến dưới 2 năm,a) Phải thu ngắn hạn của khách hàng (tiếp theo) > Từ 1 năm đến dưới 2 năm,Từ 1 năm đến dưới 2 năm,-,-,-,481.850.500.665,240.925.250.333,240.925.250.332,,,,481850500665.0,240925250333.0,240925250332.0
Từ 6 tháng đến dưới 1 năm,a) Phải thu ngắn hạn của khách hàng (tiếp theo) > Từ 6 tháng đến dưới 1 năm,Từ 6 tháng đến dưới 1 năm,-,-,-,361.749.138.447,108.524.741.534,253.224.396.913,,,,361749138447.0,108524741534.0,253224396913.0
Các đối tượng khác,a) Phải thu ngắn hạn của khách hàng (tiếp theo) > Các đối tượng khác,Các đối tượng khác,218.953.465.637,202.405.024.698,16.548.440.939,194.099.403.641,184.860.004.478,9.239.399.163,218953465637.0,202405024698.0,16548440939.0,194099403641.0,184860004478.0,9239399163.0
Trên 3 năm,a) Phải thu ngắn hạn của khách hàng (tiếp theo) > Trên 3 năm,Trên 3 năm,190.121.793.655,190.121.793.655,-,172.958.424.609,172.958.424.609,-,190121793655.0,190121793655.0,,172958424609.0,172958424609.0,
Từ 2 năm đến dưới 3 năm,a) Phải thu ngắn hạn của khách hàng (tiếp theo) > Từ 2 năm đến dưới 3 năm,Từ 2 năm đến dưới 3 năm,4.911.974.562,3.360.306.918,1.551.667.644,16.247.313.823,11.736.065.602,4.511.248.221,4911974562.0,3360306918.0,1551667644.0,16247313823.0,11736065602.0,4511248221.0
Từ 1 năm đến dưới 2 năm,a) Phải thu ngắn hạn của khách hàng (tiếp theo) > Từ 1 năm đến dưới 2 năm,Từ 1 năm đến dưới 2 năm,17.845.848.249,8.922.924.125,8.922.924.124,4.537.541.518,58.677.160,4.478.864.358,17845848249.0,8922924125.0,8922924124.0,4537541518.0,58677160.0,4478864358.0
Từ 6 tháng đến dưới 1 năm,a) Phải thu ngắn hạn của khách hàng (tiếp theo) > Từ 6 tháng đến dưới 1 năm,Từ 6 tháng đến dưới 1 năm,-,-,-,356.123.691,106.837.107,249.286.584,,,,356123691.0,106837107.0,249286584.0
b) Trả trước cho người bán ngắn hạn,a) Phải thu ngắn hạn của khách hàng (tiếp theo) > b) Trả trước cho người bán ngắn hạn,b) Trả trước cho người bán ngắn hạn,-,-,-,166.434.013.615,80.501.867.926,85.932.145.689,,,,166434013615.0,80501867926.0,85932145689.0
Tổng Công ty Thăm dò Khai thác Dầu khí,a) Phải thu ngắn hạn của khách hàng (tiếp theo) > Tổng Công ty Thăm dò Khai thác Dầu khí,Tổng Công ty Thăm dò Khai thác Dầu khí,-,-,-,166.434.013.615,80.501.867.926,85.932.145.689,,,,166434013615.0,80501867926.0,85932145689.0
Trên 3 năm,Trên 3 năm,Trên 3 năm,-,-,-,-,-,-,,,,,,
