row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu,Thặng dư vốn cổ phần,Vốn khác của chủ sở hữu,Chênh lệch tỷ giá hối doài,Quỹ đầu tư phát triển,Lợi nhuận sau thuế chưa phân phối lũy kế cuối năm trước,Lợi nhuận sau thuế chưa phân phối năm nay,Lợi ích của cổ đông không kiểm soát,Cộng,numeric__Vốn góp của chủ sở hữu,numeric__Thặng dư vốn cổ phần,numeric__Vốn khác của chủ sở hữu,numeric__Chênh lệch tỷ giá hối doài,numeric__Quỹ đầu tư phát triển,numeric__Lợi nhuận sau thuế chưa phân phối lũy kế cuối năm trước,numeric__Lợi nhuận sau thuế chưa phân phối năm nay,numeric__Lợi ích của cổ đông không kiểm soát,numeric__Cộng
Chia cổ tức,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024 > Chia cổ tức,Chia cổ tức,-,-,-,-,-,(13.780.439.082.000),-,(92.037.120.356),(13.872.476.202.356),,,,,,-13780439082000.0,,-92037120356.0,-13872476202356.0
Khác,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024 > Khác,Khác,-,-,-,-,-,(15.916.167.058),-,(4.134.554.522),(20.050.721.580),,,,,,-15916167058.0,,-4134554522.0,-20050721580.0
Tại ngày 31 tháng 12 năm 2024,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024 > Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,23.426.729.190.000,246.727.266,300.272.460.670,-,26.967.513.791.091,(647.086.478.241),10.200.106.193.663,1.323.213.381.181,61.570.995.265.630,23426729190000.0,246727266.0,300272460670.0,,26967513791091.0,-647086478241.0,10200106193663.0,1323213381181.0,61570995265630.0
Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2025,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2025,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2025,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2025,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2025,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2025,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2025,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2025,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2025,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2025,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2025,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2025,,,,,,,,,
Tại ngày 01 tháng 01 năm 2025,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2025 > Tại ngày 01 tháng 01 năm 2025,Tại ngày 01 tháng 01 năm 2025,23.426.729.190.000,246.727.266,300.272.460.670,-,26.967.513.791.091,(647.086.478.241),10.200.106.193.663,1.323.213.381.181,61.570.995.265.630,23426729190000.0,246727266.0,300272460670.0,,26967513791091.0,-647086478241.0,10200106193663.0,1323213381181.0,61570995265630.0
Kết chuyển lợi nhuận sau thuế chưa phân phối,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2025 > Kết chuyển lợi nhuận sau thuế chưa phân phối,Kết chuyển lợi nhuận sau thuế chưa phân phối,-,-,-,-,-,10.200.106.193.663,(10.200.106.193.663),-,-,,,,,,10200106193663.0,-10200106193663.0,,
Lợi nhuận trong năm,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2025 > Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,-,-,-,11.414.339.911.686,157.291.314.322,11.571.631.226.008,,,,,,,11414339911686.0,157291314322.0,11571631226008.0
Tăng vốn trong năm (i),Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2025 > Tăng vốn trong năm (i),Tăng vốn trong năm (i),702.768.370.000,-,-,-,(702.768.370.000),-,-,-,-,702768370000.0,,,,-702768370000.0,,,,
"Trích Quỹ khen thưởng, phúc lợi từ lợi nhuận sau thuế năm 2024 (ii)","Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2025 > Trích Quỹ khen thưởng, phúc lợi từ lợi nhuận sau thuế năm 2024 (ii)","Trích Quỹ khen thưởng, phúc lợi từ lợi nhuận sau thuế năm 2024 (ii)",-,-,-,-,-,(206.761.622.535),-,(12.821.349.734),(219.582.972.269),,,,,,-206761622535.0,,-12821349734.0,-219582972269.0
Trích Quỹ thưởng Ban điều hành từ lợi nhuận sau thuế năm 2024 (ii),Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2025 > Trích Quỹ thưởng Ban điều hành từ lợi nhuận sau thuế năm 2024 (ii),Trích Quỹ thưởng Ban điều hành từ lợi nhuận sau thuế năm 2024 (ii),-,-,-,-,-,(3.014.011.139),-,(146.081.251),(3.160.092.390),,,,,,-3014011139.0,,-146081251.0,-3160092390.0
"Tạm trích Quỹ khen thưởng, phúc lợi từ lợi nhuận sau thuế năm 2025 (iii)","Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2025 > Tạm trích Quỹ khen thưởng, phúc lợi từ lợi nhuận sau thuế năm 2025 (iii)","Tạm trích Quỹ khen thưởng, phúc lợi từ lợi nhuận sau thuế năm 2025 (iii)",-,-,-,-,-,-,(201.887.859.493),(12.284.348.922),(214.172.208.415),,,,,,,-201887859493.0,-12284348922.0,-214172208415.0
Trích Quỹ đầu tư phát triển (ii),Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2025 > Trích Quỹ đầu tư phát triển (ii),Trích Quỹ đầu tư phát triển (ii),-,-,-,-,3.115.858.970.075,(3.115.858.970.075),-,-,-,,,,,3115858970075.0,-3115858970075.0,,,
Chia cổ tức (ii),Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2025 > Chia cổ tức (ii),Chia cổ tức (ii),-,-,-,-,-,(4.919.613.129.900),-,(92.037.120.356),(5.011.650.250.256),,,,,,-4919613129900.0,,-92037120356.0,-5011650250256.0
Khác,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2025 > Khác,Khác,-,-,-,247.477.295,-,(36.113.971.240),-,(4.805.356.426),(40.671.850.371),,,,247477295.0,,-36113971240.0,,-4805356426.0,-40671850371.0
Tại ngày 31 tháng 12 năm 2025,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2025 > Tại ngày 31 tháng 12 năm 2025,Tại ngày 31 tháng 12 năm 2025,24.129.497.560.000,246.727.266,300.272.460.670,247.477.295,29.380.604.391.166,1.271.658.010.533,11.212.452.052.193,1.358.410.438.814,67.653.389.117.937,24129497560000.0,246727266.0,300272460670.0,247477295.0,29380604391166.0,1271658010533.0,11212452052193.0,1358410438814.0,67653389117937.0
