row_label_raw,row_label_full,col_0,Quyền sử dụng đất,Phần mềm máy tính,Khác,Tổng,numeric__Quyền sử dụng đất,numeric__Phần mềm máy tính,numeric__Khác,numeric__Tổng
,,,VND,VND,VND,VND,,,,
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,
Số dư đầu năm,NGUYÊN GIÁ > Số dư đầu năm,Số dư đầu năm,348.669.597.008,304.168.809.292,2.734.286.747,655.572.693.047,348669597008.0,304168809292.0,2734286747.0,655572693047.0
Mua trong năm,NGUYÊN GIÁ > Mua trong năm,Mua trong năm,-,25.214.317.500,1.783.936.740,26.998.254.240,,25214317500.0,1783936740.0,26998254240.0
"Thanh lý, nhượng bán","NGUYÊN GIÁ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(950.796.910),-,(950.796.910),,-950796910.0,,-950796910.0
Số dư cuối năm,NGUYÊN GIÁ > Số dư cuối năm,Số dư cuối năm,348.669.597.008,328.432.329.882,4.518.223.487,681.620.150.377,348669597008.0,328432329882.0,4518223487.0,681620150377.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,,
Số dư đầu năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư đầu năm,Số dư đầu năm,12.363.440.824,271.924.833.233,2.272.066.077,286.560.340.134,12363440824.0,271924833233.0,2272066077.0,286560340134.0
Khấu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Khấu hao trong năm,Khấu hao trong năm,1.300.331.783,19.287.249.067,22.457.541,20.610.038.391,1300331783.0,19287249067.0,22457541.0,20610038391.0
"Thanh lý, nhượng bán","GIÁ TRỊ HAO MÒN LỦY KẾ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(950.796.910),-,(950.796.910),,-950796910.0,,-950796910.0
Tăng/(Giảm) khác,GIÁ TRỊ HAO MÒN LỦY KẾ > Tăng/(Giảm) khác,Tăng/(Giảm) khác,-,(1.250.154.952),-,(1.250.154.952),,-1250154952.0,,-1250154952.0
Số dư cuối năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư cuối năm,Số dư cuối năm,13.663.772.607,289.011.130.438,2.294.523.618,304.969.426.663,13663772607.0,289011130438.0,2294523618.0,304969426663.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,
Tại ngày đầu năm,GIÁ TRỊ CÒN LẠI > Tại ngày đầu năm,Tại ngày đầu năm,336.306.156.184,32.243.976.059,462.220.670,369.012.352.913,336306156184.0,32243976059.0,462220670.0,369012352913.0
Tại ngày cuối năm,GIÁ TRỊ CÒN LẠI > Tại ngày cuối năm,Tại ngày cuối năm,335.005.824.401,39.421.199.444,2.223.699.869,376.650.723.714,335005824401.0,39421199444.0,2223699869.0,376650723714.0
