row_label_raw,row_label_full,Chỉ tiêu,Kinh doanh khí và các sản phẩm khí > VND,Hoạt động phụ trợ kinh doanh khí và các sản phẩm khí > VND,Loại trừ nội bộ > VND,Tổng > VND,numeric__Kinh doanh khí và các sản phẩm khí > VND,numeric__Hoạt động phụ trợ kinh doanh khí và các sản phẩm khí > VND,numeric__Loại trừ nội bộ > VND,numeric__Tổng > VND
Tài sản,Tài sản,Tài sản,,,,,,,,
Tiền và các khoản tương đương tiền,Tài sản > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,5.523.730.374.308,44.253.057.160,-,5.567.983.431.468,5523730374308.0,44253057160.0,,5567983431468.0
Đầu tư tài chính ngắn hạn,Tài sản > Đầu tư tài chính ngắn hạn,Đầu tư tài chính ngắn hạn,27.262.051.977.253,231.979.305.449,-,27.494.031.282.702,27262051977253.0,231979305449.0,,27494031282702.0
Các khoản phải thu ngắn hạn,Tài sản > Các khoản phải thu ngắn hạn,Các khoản phải thu ngắn hạn,22.326.105.242.132,278.846.349.389,(3.506.534.513.046),19.098.417.078.475,22326105242132.0,278846349389.0,-3506534513046.0,19098417078475.0
Hàng tồn kho,Tài sản > Hàng tồn kho,Hàng tồn kho,4.303.897.230.242,295.053.719.351,-,4.598.950.949.593,4303897230242.0,295053719351.0,,4598950949593.0
Tài sản ngắn hạn khác,Tài sản > Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,497.324.442.693,33.788.245.107,-,531.112.687.800,497324442693.0,33788245107.0,,531112687800.0
Các khoản phải thu dài hạn,Tài sản > Các khoản phải thu dài hạn,Các khoản phải thu dài hạn,526.799.348.496,6.111.712.173,(1.661.785.125),531.249.275.544,526799348496.0,6111712173.0,-1661785125.0,531249275544.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,17.360.700.708.583,1.120.162.766.023,(259.226.873.018),18.221.636.601.588,17360700708583.0,1120162766023.0,-259226873018.0,18221636601588.0
Bắt động sản đầu tư,Tài sản > Bắt động sản đầu tư,Bắt động sản đầu tư,30.370.446.725,-,-,30.370.446.725,30370446725.0,,,30370446725.0
Tài sản dở dang dài hạn,Tài sản > Tài sản dở dang dài hạn,Tài sản dở dang dài hạn,1.651.718.862.726,35.971.657.067,30.257.865.248,1.717.948.385.041,1651718862726.0,35971657067.0,30257865248.0,1717948385041.0
Đầu tư tài chính dài hạn,Tài sản > Đầu tư tài chính dài hạn,Đầu tư tài chính dài hạn,2.968.552.070.894,-,(2.568.836.712.370),399.715.358.524,2968552070894.0,,-2568836712370.0,399715358524.0
Tài sản dài hạn khác,Tài sản > Tài sản dài hạn khác,Tài sản dài hạn khác,3.545.513.631.663,89.649.504.624,28.302.774.411,3.663.465.910.698,3545513631663.0,89649504624.0,28302774411.0,3663465910698.0
Tổng tài sản hợp nhất,Tài sản > Tổng tài sản hợp nhất,Tổng tài sản hợp nhất,85.996.764.335.715,2.135.816.316.343,(6.277.699.243.900),81.854.881.408.158,85996764335715.0,2135816316343.0,-6277699243900.0,81854881408158.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,
Nợ phải trả ngắn hạn,Nợ phải trả > Nợ phải trả ngắn hạn,Nợ phải trả ngắn hạn,17.496.903.821.793,560.019.752.654,(3.481.434.514.839),14.575.489.059.608,17496903821793.0,560019752654.0,-3481434514839.0,14575489059608.0
Nợ phải trả dài hạn,Nợ phải trả > Nợ phải trả dài hạn,Nợ phải trả dài hạn,5.412.879.531.125,400.524.003.015,(105.006.451.220),5.708.397.082.920,5412879531125.0,400524003015.0,-105006451220.0,5708397082920.0
Tổng nợ phải trả hợp nhất,Nợ phải trả > Tổng nợ phải trả hợp nhất,Tổng nợ phải trả hợp nhất,22.909.783.352.918,960.543.755.669,(3.586.440.966.059),20.283.886.142.528,22909783352918.0,960543755669.0,-3586440966059.0,20283886142528.0
