row_label_raw,row_label_full,Chỉ tiêu,Hoạt động kinh doanh tại Việt Nam > VND,Hoạt động kinh doanh tại Singapore > VND,Loại trừ nội bộ > VND,Tổng > VND,numeric__Hoạt động kinh doanh tại Việt Nam > VND,numeric__Hoạt động kinh doanh tại Singapore > VND,numeric__Loại trừ nội bộ > VND,numeric__Tổng > VND
Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,,,,
Tiền và các khoản tương đương tiền,Tài sản > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,6.861.114.690.016,15.353.592.069,-,6.876.468.282.085,6861114690016.0,15353592069.0,,6876468282085.0
Đầu tư tài chính ngắn hạn,Tài sản > Đầu tư tài chính ngắn hạn,Đầu tư tài chính ngắn hạn,32.890.551.400.598,-,-,32.890.551.400.598,32890551400598.0,,,32890551400598.0
Các khoản phải thu ngắn hạn,Tài sản > Các khoản phải thu ngắn hạn,Các khoản phải thu ngắn hạn,25.869.282.916.253,1.728.662.488.198,(2.716.663.818.394),24.881.281.586.057,25869282916253.0,1728662488198.0,-2716663818394.0,24881281586057.0
Hàng tồn kho,Tài sản > Hàng tồn kho,Hàng tồn kho,4.398.771.281.185,-,-,4.398.771.281.185,4398771281185.0,,,4398771281185.0
Tài sản ngắn hạn khác,Tài sản > Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,879.112.518.125,-,(23.719.432.724),855.393.085.401,879112518125.0,,-23719432724.0,855393085401.0
Các khoản phải thu dài hạn,Tài sản > Các khoản phải thu dài hạn,Các khoản phải thu dài hạn,1.125.372.778.705,-,(1.661.785.125),1.123.710.993.580,1125372778705.0,,-1661785125.0,1123710993580.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,16.102.093.920.052,-,(151.302.910.897),15.950.791.009.155,16102093920052.0,,-151302910897.0,15950791009155.0
Bất động sản đầu tư,Tài sản > Bất động sản đầu tư,Bất động sản đầu tư,29.014.253.893,-,-,29.014.253.893,29014253893.0,,,29014253893.0
Tài sản dở dang dài hạn,Tài sản > Tài sản dở dang dài hạn,Tài sản dở dang dài hạn,2.876.892.162.239,-,-,2.876.892.162.239,2876892162239.0,,,2876892162239.0
Đầu tư tài chính dài hạn,Tài sản > Đầu tư tài chính dài hạn,Đầu tư tài chính dài hạn,3.022.855.728.451,-,(2.616.823.472.327),406.032.256.124,3022855728451.0,,-2616823472327.0,406032256124.0
Tài sản dài hạn khác,Tài sản > Tài sản dài hạn khác,Tài sản dài hạn khác,3.254.138.000.132,-,25.153.799.341,3.279.291.799.473,3254138000132.0,,25153799341.0,3279291799473.0
Tổng tài sản hợp nhất,Tài sản > Tổng tài sản hợp nhất,Tổng tài sản hợp nhất,97.309.199.649.649,1.744.016.080.267,(5.485.017.620.126),93.568.198.109.790,97309199649649.0,1744016080267.0,-5485017620126.0,93568198109790.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,
Nợ phải trả ngắn hạn,Nợ phải trả > Nợ phải trả ngắn hạn,Nợ phải trả ngắn hạn,21.588.622.764.282,1.728.940.655.989,(2.743.844.030.853),20.573.719.389.418,21588622764282.0,1728940655989.0,-2743844030853.0,20573719389418.0
Nợ phải trả dài hạn,Nợ phải trả > Nợ phải trả dài hạn,Nợ phải trả dài hạn,5.449.222.959.171,-,(108.133.356.736),5.341.089.602.435,5449222959171.0,,-108133356736.0,5341089602435.0
Tổng nợ phải trả hợp nhất,Nợ phải trả > Tổng nợ phải trả hợp nhất,Tổng nợ phải trả hợp nhất,27.037.845.723.453,1.728.940.655.989,(2.851.977.387.589),25.914.808.991.853,27037845723453.0,1728940655989.0,-2851977387589.0,25914808991853.0
