row_label_raw,row_label_full,TSCĐ,TSCĐ_1,TSCĐ_2,TSCĐ_3,TSCĐ_4,TSCĐ_5,numeric__TSCĐ_1,numeric__TSCĐ_2,numeric__TSCĐ_3,numeric__TSCĐ_4,numeric__TSCĐ_5
,,,"Nhà cửa,vật kiến trúcVND",Máy mócthiết bịVND,Phương tiệnvận tảiVND,Thiết bịquản lýVND,Tổng cộngVND,,,,,
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Tại ngày 1 tháng 1 năm 2019,Nguyên giá > Tại ngày 1 tháng 1 năm 2019,Tại ngày 1 tháng 1 năm 2019,138.832.225.224,222.250.195.475,31.354.518.807,61.741.484.434,454.178.423.940,138832225224.0,222250195475.0,31354518807.0,61741484434.0,454178423940.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,-,29.194.705.266,4.367.010.900,16.740.388.556,50.302.104.722,,29194705266.0,4367010900.0,16740388556.0,50302104722.0
Chuyển từ chi phí xây dựng cơ bản dở dang(Thuyết minh 10),Nguyên giá > Chuyển từ chi phí xây dựng cơ bản dở dang(Thuyết minh 10),Chuyển từ chi phí xây dựng cơ bản dở dang(Thuyết minh 10),9.504.055.967,-,-,26.642.569.496,36.146.625.463,9504055967.0,,,26642569496.0,36146625463.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(4.664.948.397),-,(1.143.506.386),(5.808.454.783),,-4664948397.0,,-1143506386.0,-5808454783.0
Tại ngày 31 tháng 12 năm 2019,Nguyên giá > Tại ngày 31 tháng 12 năm 2019,Tại ngày 31 tháng 12 năm 2019,148.336.281.191,246.779.952.344,35.721.529.707,103.980.936.100,534.818.699.342,148336281191.0,246779952344.0,35721529707.0,103980936100.0,534818699342.0
Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,,,,,
Tại ngày 1 tháng 1 năm 2019,Giá trị khấu hao lũy kế > Tại ngày 1 tháng 1 năm 2019,Tại ngày 1 tháng 1 năm 2019,37.447.624.901,141.306.977.817,15.235.556.831,34.227.694.545,228.217.854.094,37447624901.0,141306977817.0,15235556831.0,34227694545.0,228217854094.0
Khấu hao trong năm,Giá trị khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,6.561.830.172,27.300.895.916,3.991.890.322,10.245.454.266,48.100.070.676,6561830172.0,27300895916.0,3991890322.0,10245454266.0,48100070676.0
"Thanh lý, nhượng bán","Giá trị khấu hao lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(4.552.099.722),-,(774.360.059),(5.326.459.781),,-4552099722.0,,-774360059.0,-5326459781.0
Tại ngày 31 tháng 12 năm 2019,Giá trị khấu hao lũy kế > Tại ngày 31 tháng 12 năm 2019,Tại ngày 31 tháng 12 năm 2019,44.009.455.073,164.055.774.011,19.227.447.153,43.698.788.752,270.991.464.989,44009455073.0,164055774011.0,19227447153.0,43698788752.0,270991464989.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Tại ngày 1 tháng 1 năm 2019,Giá trị còn lại > Tại ngày 1 tháng 1 năm 2019,Tại ngày 1 tháng 1 năm 2019,101.384.600.323,80.943.217.658,16.118.961.976,27.513.789.889,225.960.569.846,101384600323.0,80943217658.0,16118961976.0,27513789889.0,225960569846.0
Tại ngày 31 tháng 12 năm 2019,Giá trị còn lại > Tại ngày 31 tháng 12 năm 2019,Tại ngày 31 tháng 12 năm 2019,104.326.826.118,82.724.178.333,16.494.082.554,60.282.147.348,263.827.234.353,104326826118.0,82724178333.0,16494082554.0,60282147348.0,263827234353.0
