row_label_raw,row_label_full,col_0,31/12/2019 > Giá trị,31/12/2019 > Dự phòng,01/01/2019 (Đã điều chỉnh) > Giá trị,01/01/2019 (Đã điều chỉnh) > Dự phòng,numeric__31/12/2019 > Giá trị,numeric__31/12/2019 > Dự phòng,numeric__01/01/2019 (Đã điều chỉnh) > Giá trị,numeric__01/01/2019 (Đã điều chỉnh) > Dự phòng
,,,VND,VND,VND,VND,,,,
a) Phải thu của khách hàng chi tiết theo khách hàng có số dư lớn,a) Phải thu của khách hàng chi tiết theo khách hàng có số dư lớn,a) Phải thu của khách hàng chi tiết theo khách hàng có số dư lớn,a) Phải thu của khách hàng chi tiết theo khách hàng có số dư lớn,a) Phải thu của khách hàng chi tiết theo khách hàng có số dư lớn,a) Phải thu của khách hàng chi tiết theo khách hàng có số dư lớn,a) Phải thu của khách hàng chi tiết theo khách hàng có số dư lớn,,,,
- Ông Phan Thanh Nam,a) Phải thu của khách hàng chi tiết theo khách hàng có số dư lớn > - Ông Phan Thanh Nam,- Ông Phan Thanh Nam,-,-,1.643.850.000,(1.643.850.000),,,1643850000.0,-1643850000.0
- Công Ty CP An Bình (*)(**),a) Phải thu của khách hàng chi tiết theo khách hàng có số dư lớn > - Công Ty CP An Bình (*)(**),- Công Ty CP An Bình (*)(**),65.000.000.000,-,65.000.000.000,-,65000000000.0,,65000000000.0,
- Công Ty CP Bất Động Sản U&I (*),a) Phải thu của khách hàng chi tiết theo khách hàng có số dư lớn > - Công Ty CP Bất Động Sản U&I (*),- Công Ty CP Bất Động Sản U&I (*),204.512.681.143,-,204.512.681.143,-,204512681143.0,,204512681143.0,
- Các khoản phải thu khách hàng khác,a) Phải thu của khách hàng chi tiết theo khách hàng có số dư lớn > - Các khoản phải thu khách hàng khác,- Các khoản phải thu khách hàng khác,2.879.478.750,-,3.079.871.460,-,2879478750.0,,3079871460.0,
,,,272.392.159.893,-,274.236.402.603,(1.643.850.000),272392159893.0,,274236402603.0,-1643850000.0
b) Phải thu của khách hàng phân loại theo kỳ hạn thanh toán,b) Phải thu của khách hàng phân loại theo kỳ hạn thanh toán,b) Phải thu của khách hàng phân loại theo kỳ hạn thanh toán,b) Phải thu của khách hàng phân loại theo kỳ hạn thanh toán,b) Phải thu của khách hàng phân loại theo kỳ hạn thanh toán,b) Phải thu của khách hàng phân loại theo kỳ hạn thanh toán,b) Phải thu của khách hàng phân loại theo kỳ hạn thanh toán,,,,
- Phải thu ngắn hạn,b) Phải thu của khách hàng phân loại theo kỳ hạn thanh toán > - Phải thu ngắn hạn,- Phải thu ngắn hạn,2.879.478.750,-,4.723.721.460,(1.643.850.000),2879478750.0,,4723721460.0,-1643850000.0
- Phải thu dài hạn,b) Phải thu của khách hàng phân loại theo kỳ hạn thanh toán > - Phải thu dài hạn,- Phải thu dài hạn,269.512.681.143,-,269.512.681.143,-,269512681143.0,,269512681143.0,
,,,272.392.159.893,-,274.236.402.603,(1.643.850.000),272392159893.0,,274236402603.0,-1643850000.0
c) Phải thu khách hàng là các bên liên quan,b) Phải thu của khách hàng phân loại theo kỳ hạn thanh toán > c) Phải thu khách hàng là các bên liên quan,c) Phải thu khách hàng là các bên liên quan,204.512.681.143,-,204.512.681.143,-,204512681143.0,,204512681143.0,
(Xem thông tin chi tiết tại Thuyết minh số 38),(Xem thông tin chi tiết tại Thuyết minh số 38),(Xem thông tin chi tiết tại Thuyết minh số 38),(Xem thông tin chi tiết tại Thuyết minh số 38),(Xem thông tin chi tiết tại Thuyết minh số 38),(Xem thông tin chi tiết tại Thuyết minh số 38),(Xem thông tin chi tiết tại Thuyết minh số 38),,,,
