row_label_raw,row_label_full,Đầu tư vào Công ty conThông tin chỉ tiết về các công ty con của Tổng Công ty vào ngày 31/12/2019 như sau:,Đầu tư vào Công ty conThông tin chỉ tiết về các công ty con của Tổng Công ty vào ngày 31/12/2019 như sau:_1,Đầu tư vào Công ty conThông tin chỉ tiết về các công ty con của Tổng Công ty vào ngày 31/12/2019 như sau:_2,Đầu tư vào Công ty conThông tin chỉ tiết về các công ty con của Tổng Công ty vào ngày 31/12/2019 như sau:_3,Đầu tư vào Công ty conThông tin chỉ tiết về các công ty con của Tổng Công ty vào ngày 31/12/2019 như sau:_4,numeric__Đầu tư vào Công ty conThông tin chỉ tiết về các công ty con của Tổng Công ty vào ngày 31/12/2019 như sau:_1,numeric__Đầu tư vào Công ty conThông tin chỉ tiết về các công ty con của Tổng Công ty vào ngày 31/12/2019 như sau:_2,numeric__Đầu tư vào Công ty conThông tin chỉ tiết về các công ty con của Tổng Công ty vào ngày 31/12/2019 như sau:_3,numeric__Đầu tư vào Công ty conThông tin chỉ tiết về các công ty con của Tổng Công ty vào ngày 31/12/2019 như sau:_4
Tên Công ty,Tên Công ty,Tên Công ty,Nơi thành lập và hoạt động,Tỷ lệ lợi ích,Tỷ lệ biểu quyết,Hoạt động kinh doanh chính,,,,
"- KP Apparel Manufacturing Co.,Ltd","Tên Công ty > - KP Apparel Manufacturing Co.,Ltd","- KP Apparel Manufacturing Co.,Ltd",Vương quốc Campuchia,"100,00%","100,00%","Sản xuất hàng sợi, vải, may mặc",,1.0,1.0,
- Công ty TNHH MTV Giấy Vĩnh Phú,Tên Công ty > - Công ty TNHH MTV Giấy Vĩnh Phú,- Công ty TNHH MTV Giấy Vĩnh Phú,Tinh Bình Dương,"100,00%","100,00%","Sản xuất, kinh doanh sản phẩm từ giấy",,1.0,1.0,
- Công ty CP Thương mại Tổng hợp Thuận An,Tên Công ty > - Công ty CP Thương mại Tổng hợp Thuận An,- Công ty CP Thương mại Tổng hợp Thuận An,Tinh Bình Dương,"62,68%","62,68%",Kinh doanh thương mại,,0.6268,0.6268,
- Công ty TNHH MTV Quốc Tế Protrade,Tên Công ty > - Công ty TNHH MTV Quốc Tế Protrade,- Công ty TNHH MTV Quốc Tế Protrade,Tinh Bình Dương,"100,00%","100,00%",Kinh doanh hạ tầng khu công nghiệp,,1.0,1.0,
- Công ty TNHH Sân golf Palm Sông Bé,Tên Công ty > - Công ty TNHH Sân golf Palm Sông Bé,- Công ty TNHH Sân golf Palm Sông Bé,Tinh Bình Dương,"100,00%","100,00%",Kinh doanh dịch vụ golf,,1.0,1.0,
Đầu tư vào Công ty liên kếtThông tin chỉ tiết về các công ty liên kết của Tổng Công ty vào ngày 31/12/2019 như sau:,Đầu tư vào Công ty liên kếtThông tin chỉ tiết về các công ty liên kết của Tổng Công ty vào ngày 31/12/2019 như sau:,Đầu tư vào Công ty liên kếtThông tin chỉ tiết về các công ty liên kết của Tổng Công ty vào ngày 31/12/2019 như sau:,Đầu tư vào Công ty liên kếtThông tin chỉ tiết về các công ty liên kết của Tổng Công ty vào ngày 31/12/2019 như sau:,Đầu tư vào Công ty liên kếtThông tin chỉ tiết về các công ty liên kết của Tổng Công ty vào ngày 31/12/2019 như sau:,Đầu tư vào Công ty liên kếtThông tin chỉ tiết về các công ty liên kết của Tổng Công ty vào ngày 31/12/2019 như sau:,Đầu tư vào Công ty liên kếtThông tin chỉ tiết về các công ty liên kết của Tổng Công ty vào ngày 31/12/2019 như sau:,,,,
Tên Công ty,Tên Công ty,Tên Công ty,Nơi thành lập và hoạt động,Tỷ lệ lợi ích,Tỷ lệ biểu quyết,Hoạt động kinh doanh chính,,,,
- Công ty CP Cao su Dầu Tiếng Việt Lào,Tên Công ty > - Công ty CP Cao su Dầu Tiếng Việt Lào,- Công ty CP Cao su Dầu Tiếng Việt Lào,Tinh Bình Dương,"40,00%","40,00%","Trồng, khai thác, chế biến mũ cao su",,0.4,0.4,
- Công ty CP Phát triển Phú Mỹ,Tên Công ty > - Công ty CP Phát triển Phú Mỹ,- Công ty CP Phát triển Phú Mỹ,Tinh Bình Dương,"35,00%","35,00%","Kinh doanh bất động sản, dịch vụ golf",,0.35,0.35,
