row_label_raw,row_label_full,col_0,31/12/2019,31/12/2019_1,01/01/2019 (Đã điều chỉnh),01/01/2019 (Đã điều chỉnh)_1,numeric__31/12/2019,numeric__31/12/2019_1,numeric__01/01/2019 (Đã điều chỉnh),numeric__01/01/2019 (Đã điều chỉnh)_1
,,,Giá gốc,Dự phòng,Giá gốc,Dự phòng,,,,
,,,VND,VND,VND,VND,,,,
Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,,,,
Tiền và các khoản tương đương tiền,Tài sản tài chính > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,38.738.403.096,-,176.439.220.988,-,38738403096.0,,176439220988.0,
"Phải thu khách hàng,phải thu khác","Tài sản tài chính > Phải thu khách hàng,phải thu khác","Phải thu khách hàng,phải thu khác",1.768.887.058.300,(6.600.000.000),1.181.683.479.163,(13.337.229.471),1768887058300.0,-6600000000.0,1181683479163.0,-13337229471.0
Các khoản cho vay,Tài sản tài chính > Các khoản cho vay,Các khoản cho vay,155.540.540.461,-,147.795.272.701,(525.651.020),155540540461.0,,147795272701.0,-525651020.0
,,,1.963.166.001.857,(6.600.000.000),1.505.917.972.852,(13.862.880.491),1963166001857.0,-6600000000.0,1505917972852.0,-13862880491.0
,,,,,Giá trị ghi số kế toán,Giá trị ghi số kế toán,,,,
,,,,,31/12/2019,01/01/2019 (Đã điều chỉnh),,,,
,,,,,VND,VND,,,,
Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,,,,
Vay và nợ,Nợ phải trả tài chính > Vay và nợ,Vay và nợ,,,858.891.374.507,1.285.840.000.000,,,858891374507.0,1285840000000.0
"Phải trả người bán, phải trả khác","Nợ phải trả tài chính > Phải trả người bán, phải trả khác","Phải trả người bán, phải trả khác",,,1.247.606.293.057,1.322.914.666.542,,,1247606293057.0,1322914666542.0
Chi phí phải trả,Nợ phải trả tài chính > Chi phí phải trả,Chi phí phải trả,,,126.689.763.321,128.484.266.250,,,126689763321.0,128484266250.0
,,,,,2.233.187.430.885,2.737.238.932.792,,,2233187430885.0,2737238932792.0
