row_label_raw,row_label_full,Mã số,CHỈ TIÊU,Thuyết minh,Năm 2019 > VND,Từ ngày 01/11/2018 đến 31/12/2018 > VND,numeric__CHỈ TIÊU,numeric__Thuyết minh,numeric__Năm 2019 > VND,numeric__Từ ngày 01/11/2018 đến 31/12/2018 > VND
I. LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,I. LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,I. LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,I. LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,I. LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,I. LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,I. LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,,,,
01,I. LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 01,01,Lợi nhuận trước thuế,,66.195.988.148,(24.294.747.417),,,66195988148.0,-24294747417.0
2. Điều chỉnh cho các khoản,2. Điều chỉnh cho các khoản,2. Điều chỉnh cho các khoản,2. Điều chỉnh cho các khoản,2. Điều chỉnh cho các khoản,2. Điều chỉnh cho các khoản,2. Điều chỉnh cho các khoản,,,,
02,2. Điều chỉnh cho các khoản > 02,02,Khấu hao tài sản cố định và bắt động sản đầu tư,,3.588.358.250,613.133.489,,,3588358250.0,613133489.0
03,2. Điều chỉnh cho các khoản > 03,03,Các khoản dự phòng,,338.110.656.711,14.177.880.491,,,338110656711.0,14177880491.0
04,2. Điều chỉnh cho các khoản > 04,04,"Lãi, lỗ chênh lệch tỷ giá hồi doái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ",,353.664.975,917.180.299,,,353664975.0,917180299.0
05,2. Điều chỉnh cho các khoản > 05,05,"Lãi, lỗ từ hoạt động đầu tư",,(590.291.674.801),(6.550.068.842),,,-590291674801.0,-6550068842.0
06,2. Điều chỉnh cho các khoản > 06,06,Chi phí lãi vay,,116.195.958.048,11.007.393.982,,,116195958048.0,11007393982.0
08,2. Điều chỉnh cho các khoản > 08,08,Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,,(65.847.048.669),(4.129.227.998),,,-65847048669.0,-4129227998.0
09,2. Điều chỉnh cho các khoản > 09,09,"Tăng, giảm các khoản phải thu",,(330.503.312.427),(381.057.885.744),,,-330503312427.0,-381057885744.0
10,2. Điều chỉnh cho các khoản > 10,10,"Tăng, giảm hàng tồn kho",,925.112.149,66.127.434,,,925112149.0,66127434.0
11,2. Điều chỉnh cho các khoản > 11,11,"Tăng, giảm các khoản phải trả (không kể lãi vay phải trả, thuế thu nhập doanh nghiệp phải nộp)",,(88.490.129.112),6.359.674.739,,,-88490129112.0,6359674739.0
12,2. Điều chỉnh cho các khoản > 12,12,"Tăng, giảm chi phí trả trước",,18.817.658.943,3.463.461.747,,,18817658943.0,3463461747.0
14,2. Điều chỉnh cho các khoản > 14,14,Tiền lãi vay đã trả,,(117.283.658.107),(5.787.081.639),,,-117283658107.0,-5787081639.0
