row_label_raw,row_label_full,col_0,Mối quan hệ,Năm 2019,Từ ngày 01/11/2018đến 31/12/2018,numeric__Mối quan hệ,numeric__Năm 2019,numeric__Từ ngày 01/11/2018đến 31/12/2018
,,,,,VND,,,
Góp vốn,Góp vốn,Góp vốn,,761.306.400.000,203.015.040.000,,761306400000.0,203015040000.0
- Công ty CP Đầu tư và Phát triển Tân Thành,- Công ty CP Đầu tư và Phát triển Tân Thành,- Công ty CP Đầu tư và Phát triển Tân Thành,Công ty liên kết,761.306.400.000,203.015.040.000,,761306400000.0,203015040000.0
Giảm vốn,Giảm vốn,Giảm vốn,,964.321.000.000,-,,964321000000.0,
- Công ty CP Đầu tư và Phát triển Tân Thành,- Công ty CP Đầu tư và Phát triển Tân Thành,- Công ty CP Đầu tư và Phát triển Tân Thành,Công ty liên kết,964.321.000.000,-,,964321000000.0,
Cho vay,Cho vay,Cho vay,,30.000.000.000,-,,30000000000.0,
- Công ty CP Đầu tư và Phát triển Tân Thành,- Công ty CP Đầu tư và Phát triển Tân Thành,- Công ty CP Đầu tư và Phát triển Tân Thành,Công ty liên kết,30.000.000.000,-,,30000000000.0,
"Mua hàng hóa, dịch vụ","Mua hàng hóa, dịch vụ","Mua hàng hóa, dịch vụ",,3.750.236.701,-,,3750236701.0,
- Công ty CP Thương mại Tổng hợp Thuận An,- Công ty CP Thương mại Tổng hợp Thuận An,- Công ty CP Thương mại Tổng hợp Thuận An,Công ty con,779.708.451,-,,779708451.0,
- Công ty Cổ phần Phát triển Phú Mỹ,- Công ty Cổ phần Phát triển Phú Mỹ,- Công ty Cổ phần Phát triển Phú Mỹ,Công ty liên kết,635.730.073,-,,635730073.0,
- Công ty TNHH MTV Đầu tư và Quản lý Dự án Bình Dương,- Công ty TNHH MTV Đầu tư và Quản lý Dự án Bình Dương,- Công ty TNHH MTV Đầu tư và Quản lý Dự án Bình Dương,Đại diện vốn của cổ đông Nhà nước,2.334.798.177,-,,2334798177.0,
"Nhận cổ tức, lợi nhuận được chia","Nhận cổ tức, lợi nhuận được chia","Nhận cổ tức, lợi nhuận được chia",,557.239.863.000,3.708.144.000,,557239863000.0,3708144000.0
- Công ty CP Thương mại Tổng hợp Thuận An,- Công ty CP Thương mại Tổng hợp Thuận An,- Công ty CP Thương mại Tổng hợp Thuận An,Công ty con,2.219.360.000,-,,2219360000.0,
- Công ty TNHH MTV Quốc tế Protrade,- Công ty TNHH MTV Quốc tế Protrade,- Công ty TNHH MTV Quốc tế Protrade,Công ty con,270.000.000.000,-,,270000000000.0,
- Công ty TNHH FrieslandCampina VN,- Công ty TNHH FrieslandCampina VN,- Công ty TNHH FrieslandCampina VN,Công ty liên kết,237.000.000.000,-,,237000000000.0,
- Công ty CP Hưng Vượng,- Công ty CP Hưng Vượng,- Công ty CP Hưng Vượng,Công ty liên kết,6.952.770.000,3.708.144.000,,6952770000.0,3708144000.0
- Công ty CP May mặc Bình Dương,- Công ty CP May mặc Bình Dương,- Công ty CP May mặc Bình Dương,Công ty liên kết,41.067.733.000,-,,41067733000.0,
