row_label_raw,row_label_full,col_0,Từ 1 nămtrở xuống,Trên 1 nămđến 5 năm,Trên 5 năm,Cộng,numeric__Từ 1 nămtrở xuống,numeric__Trên 1 nămđến 5 năm,numeric__Trên 5 năm,numeric__Cộng
,,,VND,VND,VND,VND,,,,
Tại ngày 31/12/2019,Tại ngày 31/12/2019,Tại ngày 31/12/2019,Tại ngày 31/12/2019,Tại ngày 31/12/2019,Tại ngày 31/12/2019,Tại ngày 31/12/2019,,,,
Vay và nợ,Tại ngày 31/12/2019 > Vay và nợ,Vay và nợ,418.891.374.507,440.000.000.000,-,858.891.374.507,418891374507.0,440000000000.0,,858891374507.0
"Phải trả người bán, phải trả khác","Tại ngày 31/12/2019 > Phải trả người bán, phải trả khác","Phải trả người bán, phải trả khác",1.190.939.626.390,56.666.666.667,-,1.247.606.293.057,1190939626390.0,56666666667.0,,1247606293057.0
Chi phí phải trả,Tại ngày 31/12/2019 > Chi phí phải trả,Chi phí phải trả,126.689.763.321,-,-,126.689.763.321,126689763321.0,,,126689763321.0
,,,1.736.520.764.218,496.666.666.667,-,2.233.187.430.885,1736520764218.0,496666666667.0,,2233187430885.0
Tại ngày 01/01/2019,Tại ngày 01/01/2019,Tại ngày 01/01/2019,Tại ngày 01/01/2019,Tại ngày 01/01/2019,Tại ngày 01/01/2019,Tại ngày 01/01/2019,,,,
Vay và nợ,Tại ngày 01/01/2019 > Vay và nợ,Vay và nợ,1.285.840.000.000,-,-,1.285.840.000.000,1285840000000.0,,,1285840000000.0
"Phải trả người bán, phải trả khác","Tại ngày 01/01/2019 > Phải trả người bán, phải trả khác","Phải trả người bán, phải trả khác",1.189.108.446.201,133.806.220.341,-,1.322.914.666.542,1189108446201.0,133806220341.0,,1322914666542.0
Chi phí phải trả,Tại ngày 01/01/2019 > Chi phí phải trả,Chi phí phải trả,128.484.266.250,-,-,128.484.266.250,128484266250.0,,,128484266250.0
,,,2.603.432.712.451,133.806.220.341,-,2.737.238.932.792,2603432712451.0,133806220341.0,,2737238932792.0
