row_label_raw,row_label_full,col_0,Từ 1 nămtrở xuống,Trên 1 nămđến 5 năm,Trên 5 năm,Cộng,numeric__Từ 1 nămtrở xuống,numeric__Trên 1 nămđến 5 năm,numeric__Trên 5 năm,numeric__Cộng
,,,VND,VND,VND,VND,,,,
Tại ngày 31/12/2019,Tại ngày 31/12/2019,Tại ngày 31/12/2019,Tại ngày 31/12/2019,Tại ngày 31/12/2019,Tại ngày 31/12/2019,Tại ngày 31/12/2019,,,,
Tiền và các khoản tương đương tiền,Tại ngày 31/12/2019 > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,38.738.403.096,-,-,38.738.403.096,38738403096.0,,,38738403096.0
"Phải thu khách hàng, phải thu khác","Tại ngày 31/12/2019 > Phải thu khách hàng, phải thu khác","Phải thu khách hàng, phải thu khác",1.364.081.795.651,398.205.262.649,-,1.762.287.058.300,1364081795651.0,398205262649.0,,1762287058300.0
Các khoản cho vay,Tại ngày 31/12/2019 > Các khoản cho vay,Các khoản cho vay,38.297.388.748,117.243.151.713,-,155.540.540.461,38297388748.0,117243151713.0,,155540540461.0
,,,1.441.117.587.495,515.448.414.362,-,1.956.566.001.857,1441117587495.0,515448414362.0,,1956566001857.0
Tại ngày 01/01/2019,Tại ngày 01/01/2019,Tại ngày 01/01/2019,Tại ngày 01/01/2019,Tại ngày 01/01/2019,Tại ngày 01/01/2019,Tại ngày 01/01/2019,,,,
Tiền và các khoản tương đương tiền,Tại ngày 01/01/2019 > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,176.439.220.988,-,-,176.439.220.988,176439220988.0,,,176439220988.0
"Phải thu khách hàng, phải thu khác","Tại ngày 01/01/2019 > Phải thu khách hàng, phải thu khác","Phải thu khách hàng, phải thu khác",495.625.296.893,672.720.952.799,-,1.168.346.249.692,495625296893.0,672720952799.0,,1168346249692.0
Các khoản cho vay,Tại ngày 01/01/2019 > Các khoản cho vay,Các khoản cho vay,137.373.572.029,9.896.049.652,-,147.269.621.681,137373572029.0,9896049652.0,,147269621681.0
,,,809.438.089.910,682.617.002.451,-,1.492.055.092.361,809438089910.0,682617002451.0,,1492055092361.0
