row_label_raw,row_label_full,col_0,Năm 2019,Từ ngày 01/11/2018đến 31/12/2018,numeric__Năm 2019,numeric__Từ ngày 01/11/2018đến 31/12/2018
,,,VND,VND,,
Thuế TNDN từ hoạt động kinh doanh chính,Thuế TNDN từ hoạt động kinh doanh chính,Thuế TNDN từ hoạt động kinh doanh chính,Thuế TNDN từ hoạt động kinh doanh chính,Thuế TNDN từ hoạt động kinh doanh chính,,
Tổng lợi nhuận kế toán trước thuế TNDN,Thuế TNDN từ hoạt động kinh doanh chính > Tổng lợi nhuận kế toán trước thuế TNDN,Tổng lợi nhuận kế toán trước thuế TNDN,66.195.988.148,(24.294.747.417),66195988148.0,-24294747417.0
Các khoản điều chỉnh tăng,Thuế TNDN từ hoạt động kinh doanh chính > Các khoản điều chỉnh tăng,Các khoản điều chỉnh tăng,385.109.378.780,1.171.653.700,385109378780.0,1171653700.0
Các khoản điều chỉnh giảm,Thuế TNDN từ hoạt động kinh doanh chính > Các khoản điều chỉnh giảm,Các khoản điều chỉnh giảm,(557.290.363.000),(3.708.144.000),-557290363000.0,-3708144000.0
Thu nhập chịu thuế thu nhập doanh nghiệp,Thuế TNDN từ hoạt động kinh doanh chính > Thu nhập chịu thuế thu nhập doanh nghiệp,Thu nhập chịu thuế thu nhập doanh nghiệp,(105.984.996.072),(26.831.237.717),-105984996072.0,-26831237717.0
Chi phí thuế TNDN hiện hành (thuế suất 20%),Chi phí thuế TNDN hiện hành (thuế suất 20%),Chi phí thuế TNDN hiện hành (thuế suất 20%),-,-,,
Các khoản điều chỉnh chi phí thuế TNDN của các năm trước vào chi phí thuế TNDN hiện hành năm nay,Chi phí thuế TNDN hiện hành (thuế suất 20%) > Các khoản điều chỉnh chi phí thuế TNDN của các năm trước vào chi phí thuế TNDN hiện hành năm nay,Các khoản điều chỉnh chi phí thuế TNDN của các năm trước vào chi phí thuế TNDN hiện hành năm nay,-,(17.729.895.143),,-17729895143.0
Thuế TNDN phải nộp đầu năm,Chi phí thuế TNDN hiện hành (thuế suất 20%) > Thuế TNDN phải nộp đầu năm,Thuế TNDN phải nộp đầu năm,(17.729.895.143),-,-17729895143.0,
Thuế TNDN đã nộp trong năm,Thuế TNDN đã nộp trong năm,Thuế TNDN đã nộp trong năm,-,-,,
Thuế TNDN phải nộp cuối năm từ hoạt động kinh doanh chính,Thuế TNDN đã nộp trong năm > Thuế TNDN phải nộp cuối năm từ hoạt động kinh doanh chính,Thuế TNDN phải nộp cuối năm từ hoạt động kinh doanh chính,(17.729.895.143),(17.729.895.143),-17729895143.0,-17729895143.0
Thuế TNDN từ hoạt động kinh doanh bất động sản,Thuế TNDN từ hoạt động kinh doanh bất động sản,Thuế TNDN từ hoạt động kinh doanh bất động sản,Thuế TNDN từ hoạt động kinh doanh bất động sản,Thuế TNDN từ hoạt động kinh doanh bất động sản,,
Tổng lợi nhuận kế toán từ hoạt động kinh doanh bất động sản,Tổng lợi nhuận kế toán từ hoạt động kinh doanh bất động sản,Tổng lợi nhuận kế toán từ hoạt động kinh doanh bất động sản,-,-,,
Thu nhập chịu thuế thu nhập doanh nghiệp,Thu nhập chịu thuế thu nhập doanh nghiệp,Thu nhập chịu thuế thu nhập doanh nghiệp,-,-,,
Chi phí thuế TNDN hiện hành (thuế suất 20%),Chi phí thuế TNDN hiện hành (thuế suất 20%),Chi phí thuế TNDN hiện hành (thuế suất 20%),-,-,,
Thuế TNDN phải nộp đầu năm của HĐKD bất động sản,Chi phí thuế TNDN hiện hành (thuế suất 20%) > Thuế TNDN phải nộp đầu năm của HĐKD bất động sản,Thuế TNDN phải nộp đầu năm của HĐKD bất động sản,28.144.743.461,28.144.743.461,28144743461.0,28144743461.0
Thuế TNDN đã nộp trong năm của HĐKD bất động sản,Chi phí thuế TNDN hiện hành (thuế suất 20%) > Thuế TNDN đã nộp trong năm của HĐKD bất động sản,Thuế TNDN đã nộp trong năm của HĐKD bất động sản,(28.144.743.461),-,-28144743461.0,
Thuế TNDN phải nộp cuối năm của HĐKD bất động sản,Chi phí thuế TNDN hiện hành (thuế suất 20%) > Thuế TNDN phải nộp cuối năm của HĐKD bất động sản,Thuế TNDN phải nộp cuối năm của HĐKD bất động sản,-,28.144.743.461,,28144743461.0
Tổng chi phí thuế TNDN hiện hành,Tổng chi phí thuế TNDN hiện hành,Tổng chi phí thuế TNDN hiện hành,-,-,,
Tổng thuế TNDN phải nộp cuối năm,Tổng chi phí thuế TNDN hiện hành > Tổng thuế TNDN phải nộp cuối năm,Tổng thuế TNDN phải nộp cuối năm,(17.729.895.143),10.414.848.318,-17729895143.0,10414848318.0
