row_label_raw,row_label_full,col_0,31/12/2019 > Giá trịVND,31/12/2019 > Dự phòngVND,01/01/2019 (Đã điều chỉnh) > Giá trịVND,01/01/2019 (Đã điều chỉnh) > Dự phòngVND,numeric__31/12/2019 > Giá trịVND,numeric__31/12/2019 > Dự phòngVND,numeric__01/01/2019 (Đã điều chỉnh) > Giá trịVND,numeric__01/01/2019 (Đã điều chỉnh) > Dự phòngVND
a) Ngắn hạn,a) Ngắn hạn,a) Ngắn hạn,a) Ngắn hạn,a) Ngắn hạn,a) Ngắn hạn,a) Ngắn hạn,,,,
- Phải thu về cổ phần hóa,a) Ngắn hạn > - Phải thu về cổ phần hóa,- Phải thu về cổ phần hóa,-,-,4.087.245.620,-,,,4087245620.0,
- Phải thu về tạm ứng,a) Ngắn hạn > - Phải thu về tạm ứng,- Phải thu về tạm ứng,13.623.104.901,-,213.346.430.521,(3.631.479.471),13623104901.0,,213346430521.0,-3631479471.0
- Phải thu Bà Nguyễn Thị Minh Châu tiền chuyển nhượng khoản đầu tư,a) Ngắn hạn > - Phải thu Bà Nguyễn Thị Minh Châu tiền chuyển nhượng khoản đầu tư,- Phải thu Bà Nguyễn Thị Minh Châu tiền chuyển nhượng khoản đầu tư,6.600.000.000,(6.600.000.000),6.600.000.000,(6.600.000.000),6600000000.0,-6600000000.0,6600000000.0,-6600000000.0
- Phải thu Ông Huỳnh Văn,a) Ngắn hạn > - Phải thu Ông Huỳnh Văn,- Phải thu Ông Huỳnh Văn,-,-,1.200.000.000,(1.200.000.000),,,1200000000.0,-1200000000.0
- Phải thu tiền nhận chuyển nhượng cổ phần đã thực hiện do hủy hợp đồng\( ^{(1)} \),a) Ngắn hạn > - Phải thu tiền nhận chuyển nhượng cổ phần đã thực hiện do hủy hợp đồng\( ^{(1)} \),- Phải thu tiền nhận chuyển nhượng cổ phần đã thực hiện do hủy hợp đồng\( ^{(1)} \),867.713.536.000,-,-,-,867713536000.0,,,
- Phải thu lãi cho vay,a) Ngắn hạn > - Phải thu lãi cho vay,- Phải thu lãi cho vay,68.424.658,-,10.198.143.083,-,68424658.0,,10198143083.0,
- Phải thu hộ Công Ty TNHH MTV Giấy Vĩnh Phú tiền lợi nhuận nộp về ngân sách,a) Ngắn hạn > - Phải thu hộ Công Ty TNHH MTV Giấy Vĩnh Phú tiền lợi nhuận nộp về ngân sách,- Phải thu hộ Công Ty TNHH MTV Giấy Vĩnh Phú tiền lợi nhuận nộp về ngân sách,11.000.000.000,-,27.086.694.457,-,11000000000.0,,27086694457.0,
- Phải thu cổ tức và lợi nhuận được chia,a) Ngắn hạn > - Phải thu cổ tức và lợi nhuận được chia,- Phải thu cổ tức và lợi nhuận được chia,90.000.000.000,-,240.255.332.690,-,90000000000.0,,240255332690.0,
- Phải thu Công ty TNHH Đầu tư - Xây dựng Tân Phú tiền chênh lệch giá chuyển nhượng khu đất 43 ha\( ^{(2)} \),a) Ngắn hạn > - Phải thu Công ty TNHH Đầu tư - Xây dựng Tân Phú tiền chênh lệch giá chuyển nhượng khu đất 43 ha\( ^{(2)} \),- Phải thu Công ty TNHH Đầu tư - Xây dựng Tân Phú tiền chênh lệch giá chuyển nhượng khu đất 43 ha\( ^{(2)} \),87.986.422.597,-,-,-,87986422597.0,,,
- Phải thu Công Ty Cổ phần Phát triển Thời Trang tiền chi hộ,a) Ngắn hạn > - Phải thu Công Ty Cổ phần Phát triển Thời Trang tiền chi hộ,- Phải thu Công Ty Cổ phần Phát triển Thời Trang tiền chi hộ,2.221.169.231,-,-,-,2221169231.0,,,
- Phải thu Công ty Cổ phần Hưng Vương\( ^{(3)} \),a) Ngắn hạn > - Phải thu Công ty Cổ phần Hưng Vương\( ^{(3)} \),- Phải thu Công ty Cổ phần Hưng Vương\( ^{(3)} \),285.539.076.815,-,-,-,285539076815.0,,,
- Phải thu khác,a) Ngắn hạn > - Phải thu khác,- Phải thu khác,3.050.582.699,-,1.464.958.533,(261.900.000),3050582699.0,,1464958533.0,-261900000.0
,,,1.367.802.316.901,(6.600.000.000),504.238.804.904,(11.693.379.471),1367802316901.0,-6600000000.0,504238804904.0,-11693379471.0
b) Dài hạn,b) Dài hạn,b) Dài hạn,b) Dài hạn,b) Dài hạn,b) Dài hạn,b) Dài hạn,,,,
"- Ký cược, ký quỹ","b) Dài hạn > - Ký cược, ký quỹ","- Ký cược, ký quỹ",23.000.000,-,3.000.000,-,23000000.0,,3000000.0,
- Phải thu Công ty Cổ phần Hưng Vương\( ^{(3)} \),b) Dài hạn > - Phải thu Công ty Cổ phần Hưng Vương\( ^{(3)} \),- Phải thu Công ty Cổ phần Hưng Vương\( ^{(3)} \),-,-,286.527.528.834,-,,,286527528834.0,
- Phải thu Công ty Cổ phần Đầu tư Phát triển Tân Thành tiền lãi cho vay,b) Dài hạn > - Phải thu Công ty Cổ phần Đầu tư Phát triển Tân Thành tiền lãi cho vay,- Phải thu Công ty Cổ phần Đầu tư Phát triển Tân Thành tiền lãi cho vay,12.785.400.684,-,-,-,12785400684.0,,,
- Phải thu Công Ty CP Đầu tư Phát triển Tân Thành tiền lãi bổ sung theo thỏa thuận\( ^{(4)} \),b) Dài hạn > - Phải thu Công Ty CP Đầu tư Phát triển Tân Thành tiền lãi bổ sung theo thỏa thuận\( ^{(4)} \),- Phải thu Công Ty CP Đầu tư Phát triển Tân Thành tiền lãi bổ sung theo thỏa thuận\( ^{(4)} \),115.884.180.822,-,115.884.180.822,-,115884180822.0,,115884180822.0,
- Ông Trương Hồng Phong,b) Dài hạn > - Ông Trương Hồng Phong,- Ông Trương Hồng Phong,-,-,793.562.000,-,,,793562000.0,
,,,128.692.581.506,-,403.208.271.656,-,128692581506.0,,403208271656.0,
c) Phải thu khác là các bên liên quan,b) Dài hạn > c) Phải thu khác là các bên liên quan,c) Phải thu khác là các bên liên quan,582.439.017.950,-,564.454.085.366,-,582439017950.0,,564454085366.0,
