row_label_raw,row_label_full,Mã số,CHỈ TIÊU,Thuyết minh,Năm 2019 > VND,Từ ngày 01/11/2018 đến 31/12/2018 > VND,numeric__CHỈ TIÊU,numeric__Thuyết minh,numeric__Năm 2019 > VND,numeric__Từ ngày 01/11/2018 đến 31/12/2018 > VND
01,01,01,1. Doanh thu bán hàng và cung cấp dịch vụ,23,17.911.080.352,3.362.337.910,,23.0,17911080352.0,3362337910.0
02,02,02,2. Các khoản giảm trừ doanh thu,,-,-,,,,
10,02 > 10,10,3. Doanh thu thuần bán hàng và cung cấp dịch vụ,,17.911.080.352,3.362.337.910,,,17911080352.0,3362337910.0
11,02 > 11,11,4. Giá vốn hàng bán,24,38.836.459.257,2.840.605.824,,24.0,38836459257.0,2840605824.0
20,02 > 20,20,5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,,(20.925.378.905),521.732.086,,,-20925378905.0,521732086.0
21,02 > 21,21,6. Doanh thu hoạt động tài chính,25,592.472.752.766,13.584.790.454,,25.0,592472752766.0,13584790454.0
22,02 > 22,22,7. Chi phí tài chính,26,443.505.042.512,11.924.574.281,,26.0,443505042512.0,11924574281.0
23,02 > 23,23,Trong đó: Chi phí lãi vay,,116.195.958.048,11.007.393.982,,,116195958048.0,11007393982.0
25,02 > 25,25,8. Chi phí bán hàng,,21.060.000,90.001.650,,,21060000.0,90001650.0
26,02 > 26,26,9. Chi phí quản lý doanh nghiệp,27,60.251.278.124,25.996.944.692,,27.0,60251278124.0,25996944692.0
30,02 > 30,30,10. Lợi nhuận thuần từ hoạt động kinh doanh,,67.769.993.225,(23.904.998.083),,,67769993225.0,-23904998083.0
31,02 > 31,31,11. Thu nhập khác,28,115.440.595,433,,28.0,115440595.0,433.0
32,02 > 32,32,12. Chi phí khác,29,1.689.445.672,389.749.767,,29.0,1689445672.0,389749767.0
40,02 > 40,40,13. Lợi nhuận khác,,(1.574.005.077),(389.749.334),,,-1574005077.0,-389749334.0
50,02 > 50,50,14. Tổng lợi nhuận kế toán trước thuế,,66.195.988.148,(24.294.747.417),,,66195988148.0,-24294747417.0
51,02 > 51,51,15. Chi phí thuế thu nhập doanh nghiệp hiện hành,30,-,-,,30.0,,
60,02 > 60,60,17. Lợi nhuận sau thuế thu nhập doanh nghiệp,,66.195.988.148,(24.294.747.417),,,66195988148.0,-24294747417.0
