row_label_raw,row_label_full,col_0,Chi phí đấttrả trướcVND,Công cụvà dụng cụVND,Chi phítrả trước khácVND,TổngVND,numeric__Chi phí đấttrả trướcVND,numeric__Công cụvà dụng cụVND,numeric__Chi phítrả trước khácVND,numeric__TổngVND
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,515.641.068.797,280.566.041.046,75.378.433.494,871.585.543.337,515641068797.0,280566041046.0,75378433494.0,871585543337.0
Tăng trong năm,Tăng trong năm,Tăng trong năm,-,87.755.802.397,55.794.473.118,143.550.275.515,,87755802397.0,55794473118.0,143550275515.0
Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,-,528.378.607,5.668.673.298,6.197.051.905,,528378607.0,5668673298.0,6197051905.0
Phân bổ trong năm,Phân bổ trong năm,Phân bổ trong năm,(14.972.410.079),(166.505.564.329),(54.696.776.864),(236.174.751.272),-14972410079.0,-166505564329.0,-54696776864.0,-236174751272.0
Tăng/(giảm) khác,Tăng/(giảm) khác,Tăng/(giảm) khác,29.870.559,(230.828.342),(193.963.472),(394.921.255),29870559.0,-230828342.0,-193963472.0,-394921255.0
Phân loại lại,Phân loại lại,Phân loại lại,(1.216.270.338),11.911.051.714,(10.694.781.376),-,-1216270338.0,11911051714.0,-10694781376.0,
Chênh lệch quy đổi tiền tệ,Chênh lệch quy đổi tiền tệ,Chênh lệch quy đổi tiền tệ,6.907.779.483,92.151.628,712.886.150,7.712.817.261,6907779483.0,92151628.0,712886150.0,7712817261.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,506.390.038.422,214.117.032.721,71.968.944.348,792.476.015.491,506390038422.0,214117032721.0,71968944348.0,792476015491.0
