row_label_raw,row_label_full,col_0,Quyền sử dụng đất VND,Thương hiệu VND,Vùng nguyên liệu VND,Phần mềm máy vi tính VND,Tài sản cố định vô hình khác VND,Tổng VND,numeric__Quyền sử dụng đất VND,numeric__Thương hiệu VND,numeric__Vùng nguyên liệu VND,numeric__Phần mềm máy vi tính VND,numeric__Tài sản cố định vô hình khác VND,numeric__Tổng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,724.803.485.185,276.413.594.392,164.964.058.635,146.708.685.977,53.516.079.270,1.366.405.903.459,724803485185.0,276413594392.0,164964058635.0,146708685977.0,53516079270.0,1366405903459.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,-,-,-,3.071.998.588,-,3.071.998.588,,,,3071998588.0,,3071998588.0
Chuyển từ xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,-,-,-,72.552.941.596,-,72.552.941.596,,,,72552941596.0,,72552941596.0
Chuyển từ tài sản cố định hữu hình,Nguyên giá > Chuyển từ tài sản cố định hữu hình,Chuyển từ tài sản cố định hữu hình,-,-,-,9.157.356.824,-,9.157.356.824,,,,9157356824.0,,9157356824.0
Chênh lệch quy đổi tiền tệ,Nguyên giá > Chênh lệch quy đổi tiền tệ,Chênh lệch quy đổi tiền tệ,10.421.840.437,-,-,2.127.747.034,2.454.263.578,15.003.851.049,10421840437.0,,,2127747034.0,2454263578.0,15003851049.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,735.225.325.622,276.413.594.392,164.964.058.635,233.618.730.019,55.970.342.848,1.466.192.051.516,735225325622.0,276413594392.0,164964058635.0,233618730019.0,55970342848.0,1466192051516.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,84.168.207.750,65.038.492.797,43.990.415.636,136.146.637.384,35.930.077.426,365.273.830.993,84168207750.0,65038492797.0,43990415636.0,136146637384.0,35930077426.0,365273830993.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,16.493.994.638,16.259.623.199,10.997.603.909,22.018.457.749,113.539.056,65.883.218.551,16493994638.0,16259623199.0,10997603909.0,22018457749.0,113539056.0,65883218551.0
Chuyển từ tài sản cố định hữu hình,Giá trị hao mòn lũy kế > Chuyển từ tài sản cố định hữu hình,Chuyển từ tài sản cố định hữu hình,-,-,-,2.598.475.647,-,2.598.475.647,,,,2598475647.0,,2598475647.0
Chênh lệch quy đổi tiền tệ,Giá trị hao mòn lũy kế > Chênh lệch quy đổi tiền tệ,Chênh lệch quy đổi tiền tệ,-,-,-,410.125.882,1.662.568.721,2.072.694.603,,,,410125882.0,1662568721.0,2072694603.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,100.662.202.388,81.298.115.996,54.988.019.545,161.173.696.662,37.706.185.203,435.828.219.794,100662202388.0,81298115996.0,54988019545.0,161173696662.0,37706185203.0,435828219794.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,640.635.277.435,211.375.101.595,120.973.642.999,10.562.048.593,17.586.001.844,1.001.132.072.466,640635277435.0,211375101595.0,120973642999.0,10562048593.0,17586001844.0,1001132072466.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,634.563.123.234,195.115.478.396,109.976.039.090,72.445.033.357,18.264.157.645,1.030.363.831.722,634563123234.0,195115478396.0,109976039090.0,72445033357.0,18264157645.0,1030363831722.0
