row_label_raw,row_label_full,col_0,Nhà cửa và vật kiến trúc VND,Máy móc và thiết bị VND,Phương tiện vận chuyển VND,Thiết bị văn phòng VND,Gia súc VND,Tài sản khác VND,Tổng VND,numeric__Nhà cửa và vật kiến trúc VND,numeric__Máy móc và thiết bị VND,numeric__Phương tiện vận chuyển VND,numeric__Thiết bị văn phòng VND,numeric__Gia súc VND,numeric__Tài sản khác VND,numeric__Tổng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,6.885.253.179.358,20.649.169.172.434,1.376.539.141.817,767.611.184.915,1.430.186.558.214,415.132.955,31.109.174.369.693,6885253179358.0,20649169172434.0,1376539141817.0,767611184915.0,1430186558214.0,415132955.0,31109174369693.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,108.613.534.883,321.904.561.919,44.941.931.547,24.778.672.588,5.585.475.000,244.364.250,506.068.540.187,108613534883.0,321904561919.0,44941931547.0,24778672588.0,5585475000.0,244364250.0,506068540187.0
Chuyển từ xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,486.858.609.176,480.351.264.973,11.324.817.147,4.572.752.938,9.308.775.000,-,992.416.219.234,486858609176.0,480351264973.0,11324817147.0,4572752938.0,9308775000.0,,992416219234.0
Chuyển từ hàng tồn kho,Nguyên giá > Chuyển từ hàng tồn kho,Chuyển từ hàng tồn kho,-,-,-,-,512.054.322.313,-,512.054.322.313,,,,,512054322313.0,,512054322313.0
Chuyển sang tài sản cố định vô hình,Nguyên giá > Chuyển sang tài sản cố định vô hình,Chuyển sang tài sản cố định vô hình,-,-,-,(9.157.356.824),-,-,(9.157.356.824),,,,-9157356824.0,,,-9157356824.0
Thanh lý/xóa số,Nguyên giá > Thanh lý/xóa số,Thanh lý/xóa số,(15.914.033.531),(43.044.444.431),(18.488.010.139),(35.992.379.190),(353.346.941.520),-,(466.785.808.811),-15914033531.0,-43044444431.0,-18488010139.0,-35992379190.0,-353346941520.0,,-466785808811.0
Phân loại lại,Nguyên giá > Phân loại lại,Phân loại lại,1.028.440.675,(1.174.529.765),-,146.089.090,-,-,-,1028440675.0,-1174529765.0,,146089090.0,,,
Tăng/(giảm) khác,Nguyên giá > Tăng/(giảm) khác,Tăng/(giảm) khác,-,-,489.195.187,-,(57.571.814.766),-,(57.082.619.579),,,489195187.0,,-57571814766.0,,-57082619579.0
Chênh lệch quy đổi tiền tệ,Nguyên giá > Chênh lệch quy đổi tiền tệ,Chênh lệch quy đổi tiền tệ,42.968.266.746,69.381.021.067,4.931.204.654,1.448.801.386,7.610.965.572,24.007.361,126.364.266.786,42968266746.0,69381021067.0,4931204654.0,1448801386.0,7610965572.0,24007361.0,126364266786.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,7.508.807.997.307,21.476.587.046.197,1.419.738.280.213,753.407.764.903,1.553.827.339.813,683.504.566,32.713.051.932.999,7508807997307.0,21476587046197.0,1419738280213.0,753407764903.0,1553827339813.0,683504566.0,32713051932999.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,2.962.982.489.716,14.331.347.884.981,1.025.436.739.101,625.104.683.511,475.551.590.899,230.676.440,19.420.654.064.648,2962982489716.0,14331347884981.0,1025436739101.0,625104683511.0,475551590899.0,230676440.0,19420654064648.0
Khẩu hao trong năm,Giá trị hao mòn lũy kế > Khẩu hao trong năm,Khẩu hao trong năm,323.237.481.515,1.328.482.506.192,83.757.819.356,48.892.719.746,242.869.189.704,60.348.652,2.027.300.065.165,323237481515.0,1328482506192.0,83757819356.0,48892719746.0,242869189704.0,60348652.0,2027300065165.0
Chuyển sang tài sản cố định vô hình,Giá trị hao mòn lũy kế > Chuyển sang tài sản cố định vô hình,Chuyển sang tài sản cố định vô hình,-,-,-,(2.598.475.647),-,-,(2.598.475.647),,,,-2598475647.0,,,-2598475647.0
Thanh lý/xóa số,Giá trị hao mòn lũy kế > Thanh lý/xóa số,Thanh lý/xóa số,(13.146.603.407),(38.984.738.161),(18.238.557.016),(35.957.105.189),(167.678.982.183),-,(274.005.985.956),-13146603407.0,-38984738161.0,-18238557016.0,-35957105189.0,-167678982183.0,,-274005985956.0
Phân loại lại,Giá trị hao mòn lũy kế > Phân loại lại,Phân loại lại,795.621.412,(822.298.124),(80.484),26.757.196,-,-,-,795621412.0,-822298124.0,-80484.0,26757196.0,,,
Tăng/(giảm) khác,Giá trị hao mòn lũy kế > Tăng/(giảm) khác,Tăng/(giảm) khác,-,3.004.438.130,(1.079.580.131),(418.683.999),(29.283.548.554),-,(27.777.374.554),,3004438130.0,-1079580131.0,-418683999.0,-29283548554.0,,-27777374554.0
Chênh lệch quy đổi tiền tệ,Giá trị hao mòn lũy kế > Chênh lệch quy đổi tiền tệ,Chênh lệch quy đổi tiền tệ,6.568.176.369,36.999.368.574,3.546.191.512,1.168.537.174,984.962.476,11.435.739,49.278.671.844,6568176369.0,36999368574.0,3546191512.0,1168537174.0,984962476.0,11435739.0,49278671844.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,3.280.437.165.605,15.660.027.161.592,1.093.422.532.338,636.218.432.792,522.443.212.342,302.460.831,21.192.850.965.500,3280437165605.0,15660027161592.0,1093422532338.0,636218432792.0,522443212342.0,302460831.0,21192850965500.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,3.922.270.689.642,6.317.821.287.453,351.102.402.716,142.506.501.404,954.634.967.315,184.456.515,11.688.520.305.045,3922270689642.0,6317821287453.0,351102402716.0,142506501404.0,954634967315.0,184456515.0,11688520305045.0
