row_label_raw,row_label_full,col_0,31/12/2024 > % vốnsử hữuvà quyềnbiểu quyết,31/12/2024 > Giá trị ghi nhậntheo phươngpháp vốn chủ sở hữu/giá gốcVND,31/12/2024 > Giá trịhợp lýVND,31/12/2024 > Dự phònggiảm giáVND,1/1/2024 > % vốn sở hữu vàquyềnbiểu quyết,1/1/2024 > Giá trị ghi nhậntheo phươngpháp vốn chủ sở hữu/giá gốcVND,1/1/2024 > Giá trịhợp lýVND,1/1/2024 > Dự phònggiảm giáVND,numeric__31/12/2024 > % vốnsử hữuvà quyềnbiểu quyết,numeric__31/12/2024 > Giá trị ghi nhậntheo phươngpháp vốn chủ sở hữu/giá gốcVND,numeric__31/12/2024 > Giá trịhợp lýVND,numeric__31/12/2024 > Dự phònggiảm giáVND,numeric__1/1/2024 > % vốn sở hữu vàquyềnbiểu quyết,numeric__1/1/2024 > Giá trị ghi nhậntheo phươngpháp vốn chủ sở hữu/giá gốcVND,numeric__1/1/2024 > Giá trịhợp lýVND,numeric__1/1/2024 > Dự phònggiảm giáVND
"Đầu tư vào các công ty liên doanh, liên kết","Đầu tư vào các công ty liên doanh, liên kết","Đầu tư vào các công ty liên doanh, liên kết","Đầu tư vào các công ty liên doanh, liên kết","Đầu tư vào các công ty liên doanh, liên kết","Đầu tư vào các công ty liên doanh, liên kết","Đầu tư vào các công ty liên doanh, liên kết","Đầu tư vào các công ty liên doanh, liên kết","Đầu tư vào các công ty liên doanh, liên kết","Đầu tư vào các công ty liên doanh, liên kết","Đầu tư vào các công ty liên doanh, liên kết",,,,,,,,
▪ Miraka Holdings Limited,"Đầu tư vào các công ty liên doanh, liên kết > ▪ Miraka Holdings Limited",▪ Miraka Holdings Limited,"13,55%",221.404.591.006,(*),-,"13,55%",219.850.964.979,(*),-,0.1355,221404591006.0,,,0.1355,219850964979.0,,
▪ Công ty Cổ phần APIS,"Đầu tư vào các công ty liên doanh, liên kết > ▪ Công ty Cổ phần APIS",▪ Công ty Cổ phần APIS,"20,00%",56.176.599.876,(*),-,"20,00%",46.117.513.009,(*),-,0.2,56176599876.0,,,0.2,46117513009.0,,
▪ Công ty Cổ phần Chế biến Dừa Á Châu,"Đầu tư vào các công ty liên doanh, liên kết > ▪ Công ty Cổ phần Chế biến Dừa Á Châu",▪ Công ty Cổ phần Chế biến Dừa Á Châu,"24,96%",171.921.215.787,(*),-,"24,96%",163.183.742.194,(*),-,0.24960000000000002,171921215787.0,,,0.24960000000000002,163183742194.0,,
"▪ Del Monte – Vinamilk Dairy Philippines, Inc.","Đầu tư vào các công ty liên doanh, liên kết > ▪ Del Monte – Vinamilk Dairy Philippines, Inc.","▪ Del Monte – Vinamilk Dairy Philippines, Inc.","50,00%",317.355.090,(*),-,"50,00%",317.355.090,(*),-,0.5,317355090.0,,,0.5,317355090.0,,
▪ Các công ty liên kết sở hữu gián tiếp thôngqua Tổng Công ty Chăn nuôi Việt Nam –Công ty Cổ phần,"Đầu tư vào các công ty liên doanh, liên kết > ▪ Các công ty liên kết sở hữu gián tiếp thôngqua Tổng Công ty Chăn nuôi Việt Nam –Công ty Cổ phần",▪ Các công ty liên kết sở hữu gián tiếp thôngqua Tổng Công ty Chăn nuôi Việt Nam –Công ty Cổ phần,,172.403.931.021,(*),-,,173.121.453.660,(*),-,,172403931021.0,,,,173121453660.0,,
,,,,622.223.692.780,,-,,602.591.028.932,,-,,622223692780.0,,,,602591028932.0,,
Đầu tư góp vốn vào các đơn vị khác,Đầu tư góp vốn vào các đơn vị khác,Đầu tư góp vốn vào các đơn vị khác,Đầu tư góp vốn vào các đơn vị khác,Đầu tư góp vốn vào các đơn vị khác,Đầu tư góp vốn vào các đơn vị khác,Đầu tư góp vốn vào các đơn vị khác,Đầu tư góp vốn vào các đơn vị khác,Đầu tư góp vốn vào các đơn vị khác,Đầu tư góp vốn vào các đơn vị khác,Đầu tư góp vốn vào các đơn vị khác,,,,,,,,
▪ Công ty Cổ phần Nguyên liệu Thực phẩmÁ Châu Sài Gòn,Đầu tư góp vốn vào các đơn vị khác > ▪ Công ty Cổ phần Nguyên liệu Thực phẩmÁ Châu Sài Gòn,▪ Công ty Cổ phần Nguyên liệu Thực phẩmÁ Châu Sài Gòn,"14,71%",69.261.607.154,(*),-,"14,71%",69.261.607.154,(*),-,0.1471,69261607154.0,,,0.1471,69261607154.0,,
▪ Nhà thuốc – Phòng khám đa khoa An Khang,Đầu tư góp vốn vào các đơn vị khác > ▪ Nhà thuốc – Phòng khám đa khoa An Khang,▪ Nhà thuốc – Phòng khám đa khoa An Khang,,300.000.000,(*),-,,300.000.000,(*),-,,300000000.0,,,,300000000.0,,
▪ Các đơn vị khác,Đầu tư góp vốn vào các đơn vị khác > ▪ Các đơn vị khác,▪ Các đơn vị khác,,24.987.067.927,(*),(23.582.690.668),,32.413.451.927,(*),(23.582.690.668),,24987067927.0,,-23582690668.0,,32413451927.0,,-23582690668.0
,,,,94.548.675.081,,(23.582.690.668),,101.975.059.081,,(23.582.690.668),,94548675081.0,,-23582690668.0,,101975059081.0,,-23582690668.0
,,,,716.772.367.861,,(23.582.690.668),,704.566.088.013,,(23.582.690.668),,716772367861.0,,-23582690668.0,,704566088013.0,,-23582690668.0
