row_label_raw,row_label_full,"Bên cho vay > Ngân hàng Thương mại Cổ phần Ngoại thương Việt Nam, Chi nhánh Thành phố Hồ Chí Minh",Thuyết minh > (i),Loại tiền tệ > VND,31/12/2024 VND > 7.900.182.004.250,1/1/2024 VND > 4.899.840.000.000,numeric__Thuyết minh > (i),numeric__Loại tiền tệ > VND,numeric__31/12/2024 VND > 7.900.182.004.250,numeric__1/1/2024 VND > 4.899.840.000.000
"Ngân hàng Sumitomo Mitsui Banking Corporation, Chi nhánh Thành phố Hồ Chí Minh","Ngân hàng Sumitomo Mitsui Banking Corporation, Chi nhánh Thành phố Hồ Chí Minh","Ngân hàng Sumitomo Mitsui Banking Corporation, Chi nhánh Thành phố Hồ Chí Minh",(i),USD,-,1.716.480.000.000,,,,1716480000000.0
Ngân hàng Thương mại Cổ phần Công thương Việt Nam,Ngân hàng Thương mại Cổ phần Công thương Việt Nam,Ngân hàng Thương mại Cổ phần Công thương Việt Nam,(i),VND,800.000.000.000,750.000.000.000,,,800000000000.0,750000000000.0
Ngân hàng DBS Singapore,Ngân hàng DBS Singapore,Ngân hàng DBS Singapore,(i),USD,-,476.800.000.000,,,,476800000000.0
Ngân hàng HSBC Hoa Kỳ,Ngân hàng HSBC Hoa Kỳ,Ngân hàng HSBC Hoa Kỳ,(ii),USD,45.864.045.000,123.900.797.467,,,45864045000.0,123900797467.0
"Ngân hàng TNHH Một Thành viên HSBC Việt Nam, Chi nhánh Thành phố Hồ Chí Minh","Ngân hàng TNHH Một Thành viên HSBC Việt Nam, Chi nhánh Thành phố Hồ Chí Minh","Ngân hàng TNHH Một Thành viên HSBC Việt Nam, Chi nhánh Thành phố Hồ Chí Minh",(i),VND,306.533.598.000,98.279.506.500,,,306533598000.0,98279506500.0
"Ngân hàng Liên doanh Lào - Việt, Chi nhánh Xiêng Khoảng","Ngân hàng Liên doanh Lào - Việt, Chi nhánh Xiêng Khoảng","Ngân hàng Liên doanh Lào - Việt, Chi nhánh Xiêng Khoảng",(i),USD,39.859.560.000,12.210.000.000,,,39859560000.0,12210000000.0
Ngân hàng TNHH Công thương Việt Nam tại Lào,Ngân hàng TNHH Công thương Việt Nam tại Lào,Ngân hàng TNHH Công thương Việt Nam tại Lào,(i),USD,22.995.900.000,-,,,22995900000.0,
Ngân hàng ANZ Lào,Ngân hàng ANZ Lào,Ngân hàng ANZ Lào,(i),USD,-,140.246.868.300,,,,140246868300.0
,,,,,9.115.435.107.250,8.217.757.172.267,,,9115435107250.0,8217757172267.0
