row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu VND,Thặng dư vốn cổ phần VND,Chênh lệch tỷ giá VND,Quỹ đầu tư phát triển VND,Lợi nhuận sau thuế chưa phân phối VND,Lợi ích cổ đông không kiểm soát VND,Cộng VND,numeric__Vốn góp của chủ sở hữu VND,numeric__Thặng dư vốn cổ phần VND,numeric__Chênh lệch tỷ giá VND,numeric__Quỹ đầu tư phát triển VND,numeric__Lợi nhuận sau thuế chưa phân phối VND,numeric__Lợi ích cổ đông không kiểm soát VND,numeric__Cộng VND
Số dư tại 01/01/2023,Số dư tại 01/01/2023,Số dư tại 01/01/2023,2.741.332.700.000,458.969.112.981,56.445.099,96.836.842.472,(2.128.479.367.200),22.654.400.465,1.191.370.133.817,2741332700000.0,458969112981.0,56445099.0,96836842472.0,-2128479367200.0,22654400465.0,1191370133817.0
Lỗ trong năm,Lỗ trong năm,Lỗ trong năm,-,-,-,-,(1.110.747.492.552),(4.590.029.716),(1.115.337.522.268),,,,,-1110747492552.0,-4590029716.0,-1115337522268.0
Công ty con chia cổ tức,Công ty con chia cổ tức,Công ty con chia cổ tức,-,-,-,-,-,(4.201.838.112),(4.201.838.112),,,,,,-4201838112.0,-4201838112.0
Do công ty con tăng vốn,Do công ty con tăng vốn,Do công ty con tăng vốn,-,-,-,-,-,23.000.000.000,23.000.000.000,,,,,,23000000000.0,23000000000.0
Do thoái vốn tại công ty con Giảm khác,Do thoái vốn tại công ty con Giảm khác,Do thoái vốn tại công ty con Giảm khác,-,-,-,-,-,(350.000.000),(350.000.000),,,,,,-350000000.0,-350000000.0
Số dư tại 31/12/2023,Số dư tại 31/12/2023,Số dư tại 31/12/2023,2.741.332.700.000,458.969.112.981,56.445.099,96.836.842.472,(3.240.326.644.959),36.512.532.637,93.380.988.230,2741332700000.0,458969112981.0,56445099.0,96836842472.0,-3240326644959.0,36512532637.0,93380988230.0
Số dư tại 01/01/2024,Số dư tại 01/01/2024,Số dư tại 01/01/2024,2.741.332.700.000,458.969.112.981,56.445.099,96.836.842.472,(3.240.326.644.959),36.512.532.637,93.380.988.230,2741332700000.0,458969112981.0,56445099.0,96836842472.0,-3240326644959.0,36512532637.0,93380988230.0
Tăng vốn từ phát hành cổ phiếu hoán đổi nợ,Tăng vốn từ phát hành cổ phiếu hoán đổi nợ,Tăng vốn từ phát hành cổ phiếu hoán đổi nợ,730.800.000.000,-,-,-,-,-,730.800.000.000,730800000000.0,,,,,,730800000000.0
Lãi trong năm,Lãi trong năm,Lãi trong năm,-,-,-,-,959.786.100.623,3.176.381.983,962.962.482.606,,,,,959786100623.0,3176381983.0,962962482606.0
Tăng/(Giảm) khác,Tăng/(Giảm) khác,Tăng/(Giảm) khác,-,(400.000.000),-,(127.250.747),(18.773.331.388),(19.942.891.371),(39.243.473.506),,-400000000.0,,-127250747.0,-18773331388.0,-19942891371.0,-39243473506.0
Số dư tại 31/12/2024,Số dư tại 31/12/2024,Số dư tại 31/12/2024,3.472.132.700.000,458.569.112.981,56.445.099,96.709.591.725,(2.299.313.875.724),19.746.023.249,1.747.899.997.330,3472132700000.0,458569112981.0,56445099.0,96709591725.0,-2299313875724.0,19746023249.0,1747899997330.0
