row_label_raw,row_label_full,Trong vòng một năm > Trong năm thứ hai > Từ năm thứ ba đến năm thứ năm,31/12/2024VND > 3.818.308.058.953 > 156.399.666.668 > 376.021.485.997,01/01/2024VND > 3.995.332.055.693 > 345.212.929.700 > 377.463.392.206,numeric__31/12/2024VND > 3.818.308.058.953 > 156.399.666.668 > 376.021.485.997,numeric__01/01/2024VND > 3.995.332.055.693 > 345.212.929.700 > 377.463.392.206
,,,4.350.729.211.618,4.718.008.377.599,4350729211618.0,4718008377599.0
Số phải trả trong vòng 12 tháng,Số phải trả trong vòng 12 tháng,Số phải trả trong vòng 12 tháng,3.818.308.058.953,3.995.332.055.693,3818308058953.0,3995332055693.0
Số phải trả sau 12 tháng,Số phải trả sau 12 tháng,Số phải trả sau 12 tháng,532.421.152.665,722.676.321.906,532421152665.0,722676321906.0
