row_label_raw,row_label_full,6.10,Tài sản thuế thu nhập hoãn lại > Thuế suất Thuế TNDN sử dụng để xác định giá trị tài sảnThuế thu nhập hoãn lại,31/12/2024VND > 20%,01/01/2024VND > 20%,numeric__Tài sản thuế thu nhập hoãn lại > Thuế suất Thuế TNDN sử dụng để xác định giá trị tài sảnThuế thu nhập hoãn lại,numeric__31/12/2024VND > 20%,numeric__01/01/2024VND > 20%
6.10,6.10,6.10,Tài sản thuế thu nhập hoãn lại liên quan đến khoản chênh lệch lệch tạm thời được khấu trừ,46.142.434.714,48.669.271.041,,46142434714.0,48669271041.0
6.10,6.10,6.10,Tài sản thuế thu nhập hoãn lại liên quan đến khoản chênh lệch lệch tạm thời được khấu trừ,46.142.434.714,48.669.271.041,,46142434714.0,48669271041.0
,,,,31/12/2024VND,01/01/2024VND,,,
6.11,6.11,6.11,Thuế thu nhập hoãn lại phải trả,31/12/2024VND,01/01/2024VND,,,
6.11,6.11 > 6.11,6.11,Thuế suất Thuế TNDN sử dụng để xác định giá trị Thuế thu nhập hoãn lại phải trả,20%,20%,,0.2,0.2
6.11,6.11 > 6.11,6.11,Thuế thu nhập hoãn lại phải trả phát sinh từ các khoản chênh lệch lệch tạm thời chịu thuế,523.055.312.412,491.505.757.177,,523055312412.0,491505757177.0
6.11,6.11 > 6.11,6.11,Thuế thu nhập hoãn lại phải trả phát sinh từ các khoản chênh lệch lệch tạm thời chịu thuế,523.055.312.412,491.505.757.177,,523055312412.0,491505757177.0
,,,,31/12/2024VND,01/01/2024VND,,,
6.12,6.11 > 6.12,6.12,Chi phí thuế thu nhập doanh nghiệp hoãn lại- Chi phí thuế TNDN hoãn lại phát sinh từ các khoản chênh lệch tạm thời phải chịu thuế,38.700.213.277,31.687.684.887,,38700213277.0,31687684887.0
6.12,6.11 > 6.12,6.12,- Chi phí thuế TNDN hoãn lại phát sinh từ việc hoàn nhập tài sản thuế thu nhập hoãn lại,4.000.459.277,-,,4000459277.0,
6.12,6.11 > 6.12,6.12,- Thủ nhập thuế TNDN hoãn lại phát sinh từ các khoản chênh lệch tạm thời được khấu trừ,(10.056.766.272),(3.712.396.366),,-10056766272.0,-3712396366.0
6.12,6.11 > 6.12,6.12,Tổng chi phí thuế thu nhập doanh nghiệp hoãn lại,32.643.906.282,27.975.288.521,,32643906282.0,27975288521.0
,,,,Năm 2024VND,Năm 2023VND,,,
6.13,6.11 > 6.13,6.13,Lãi trên cổ phiếuLợi nhuận kế toán sau thuế thu nhập doanh nghiệpCác khoản điều chỉnh tăng hoặc giảm- Các khoản điều chỉnh tăng- Các khoản điều chỉnh giảm,959.786.100.623,(1.110.747.492.552),,959786100623.0,-1110747492552.0
6.13,6.13,6.13,Lãi trên cổ phiếuLợi nhuận kế toán sau thuế thu nhập doanh nghiệpCác khoản điều chỉnh tăng hoặc giảm- Các khoản điều chỉnh tăng- Các khoản điều chỉnh giảm,-,-,,,
6.13,6.13,6.13,Lãi trên cổ phiếuLợi nhuận kế toán sau thuế thu nhập doanh nghiệpCác khoản điều chỉnh tăng hoặc giảm- Các khoản điều chỉnh tăng- Các khoản điều chỉnh giảm,-,-,,,
6.13,6.13 > 6.13,6.13,Lợi nhuận hoặc lỗ phân bổ cho cổ đông sở hữu cổ phiếu phổ thông,959.786.100.623,(1.110.747.492.552),,959786100623.0,-1110747492552.0
6.13,6.13 > 6.13,6.13,Cổ phiếu phổ thông đang lưu hành bình quân trong kỳ,310.673.270,274.133.270,,310673270.0,274133270.0
6.13,6.13 > 6.13,6.13,Lãi cơ bản trên cổ phiếu,3.089,(4.052),,3089.0,-4052.0
6.13,6.13 > 6.13,6.13,Lãi suy giảm trên cổ phiếu (*),3.089,(4.052),,3089.0,-4052.0
