row_label_raw,row_label_full,Các khoản vay bonliên quan,31/12/2024,31/12/2024_1,01/01/2024,01/01/2024_1,numeric__31/12/2024,numeric__31/12/2024_1,numeric__01/01/2024,numeric__01/01/2024_1
Các khoản vay bonliên quan,Các khoản vay bonliên quan,Các khoản vay bonliên quan,GócVND,LãiVND,GócVND,LãiVND,,,,
Ông Lê Viết Hà,Các khoản vay bonliên quan > Ông Lê Viết Hà,Ông Lê Viết Hà,15.400.000.000,308.000.000,,,15400000000.0,308000000.0,,
Ông Lê Viết Hòa,Các khoản vay bonliên quan > Ông Lê Viết Hòa,Ông Lê Viết Hòa,12.087.357.561,1.361.549.347,12.000.000.000,73.972.603,12087357561.0,1361549347.0,12000000000.0,73972603.0
,,,27.487.357.561,1.669.549.347,12.000.000.000,73.972.603,27487357561.0,1669549347.0,12000000000.0,73972603.0
,,,,,31/12/2024VND,01/01/2024VND,,,,
Dự phòng phải trả,Dự phòng phải trả,Dự phòng phải trả,,,,,,,,
Ngắn hạn,Ngắn hạn,Ngắn hạn,,,,,,,,
Dự phòng bảo hành công trình xây dựng,Ngắn hạn > Dự phòng bảo hành công trình xây dựng,Dự phòng bảo hành công trình xây dựng,,,72.821.913.432,49.119.084.490,,,72821913432.0,49119084490.0
,,,,,72.821.913.432,49.119.084.490,,,72821913432.0,49119084490.0
Dài hạn,Dài hạn,Dài hạn,,,,,,,,
Dự phòng bảo hành công trình xây dựng,Dài hạn > Dự phòng bảo hành công trình xây dựng,Dự phòng bảo hành công trình xây dựng,,,148.059.767.442,182.113.365.171,,,148059767442.0,182113365171.0
Dự phòng trợ cấp thời việc,Dài hạn > Dự phòng trợ cấp thời việc,Dự phòng trợ cấp thời việc,,,19.116.445.596,19.257.285.834,,,19116445596.0,19257285834.0
,,,,,167.176.213.038,201.370.651.005,,,167176213038.0,201370651005.0
