row_label_raw,row_label_full,Tên Công ty,Hoạt động kinh doanh chính,Tỷ lệ lợi ích,Tỷ lệ quyền biểu quyết,Tình trạng hoạt động,numeric__Hoạt động kinh doanh chính,numeric__Tỷ lệ lợi ích,numeric__Tỷ lệ quyền biểu quyết,numeric__Tình trạng hoạt động
Công ty TNHH Quy hoạch và Kiến trúc Hòa Bình,Công ty TNHH Quy hoạch và Kiến trúc Hòa Bình,Công ty TNHH Quy hoạch và Kiến trúc Hòa Bình,"Tư vấn xây dựng, khảo sát công trình, thiết kế kiến trúc công trình","51,00%","51,00%",Đang hoạt động,,0.51,0.51,
Đầu tư vốn vào Công ty Cổ Phần Thương Mại Và Đầu Tư Pax,Đầu tư vốn vào Công ty Cổ Phần Thương Mại Và Đầu Tư Pax,Đầu tư vốn vào Công ty Cổ Phần Thương Mại Và Đầu Tư Pax,"Cho thuê, quản lý tòa nhà văn phòng","98,59%","98,59%",Đang hoạt động,,0.9859,0.9859,
"Tại ngày 31 tháng 12 năm 2024, Tập đoàn có 14 Công ty con sở hữu gián tiếp như sau.","Tại ngày 31 tháng 12 năm 2024, Tập đoàn có 14 Công ty con sở hữu gián tiếp như sau.","Tại ngày 31 tháng 12 năm 2024, Tập đoàn có 14 Công ty con sở hữu gián tiếp như sau.","Tại ngày 31 tháng 12 năm 2024, Tập đoàn có 14 Công ty con sở hữu gián tiếp như sau.","Tại ngày 31 tháng 12 năm 2024, Tập đoàn có 14 Công ty con sở hữu gián tiếp như sau.","Tại ngày 31 tháng 12 năm 2024, Tập đoàn có 14 Công ty con sở hữu gián tiếp như sau.","Tại ngày 31 tháng 12 năm 2024, Tập đoàn có 14 Công ty con sở hữu gián tiếp như sau.",,,,
Tên Công ty,Tên Công ty,Tên Công ty,Hoạt động kinh doanh chính,Tỷ lệ lợi ích,Tỷ lệ quyền biểu quyết,Tình trạng hoạt động,,,,
Công ty CP Bất động sản Okamura Sanyo,Tên Công ty > Công ty CP Bất động sản Okamura Sanyo,Công ty CP Bất động sản Okamura Sanyo,"Tư vấn, quản lý và môi giới bất động sản","50,55%","50,57%",Đang hoạt động,,0.5055,0.5057,
Công ty TNHH MTV Pax Sky Sài Gòn,Tên Công ty > Công ty TNHH MTV Pax Sky Sài Gòn,Công ty TNHH MTV Pax Sky Sài Gòn,"Tư vấn, quản lý và môi giới bất động sản","99,96%","100,00%",Đang hoạt động,,0.9995999999999999,1.0,
Công ty CP Đầu tư Địa ốc Tiến Phát,Tên Công ty > Công ty CP Đầu tư Địa ốc Tiến Phát,Công ty CP Đầu tư Địa ốc Tiến Phát,Kinh doanh bất động sản và quyền sử dụng đất và xây dựng nhà các loại Kinh doanh bất động sản và quyền sử dụng đất,"99,74%","99,79%",Đang hoạt động,,0.9974,0.9979,
Công ty CP Tiến Phát Sanyo Homes,Tên Công ty > Công ty CP Tiến Phát Sanyo Homes,Công ty CP Tiến Phát Sanyo Homes,Kinh doanh bất động sản và quyền sử dụng đất và xây dựng nhà các loại Kinh doanh bất động sản và quyền sử dụng đất,"99,32%","99,58%",Đang hoạt động,,0.9932,0.9958,
Công ty TNHH Sài Gòn Ngày mới,Tên Công ty > Công ty TNHH Sài Gòn Ngày mới,Công ty TNHH Sài Gòn Ngày mới,Kinh doanh phát triển các dự án bất động sản,"99,74%","100,00%",Đang hoạt động,,0.9974,1.0,
Công ty CP Tiến Phát Tân Thuận,Tên Công ty > Công ty CP Tiến Phát Tân Thuận,Công ty CP Tiến Phát Tân Thuận,Kinh doanh bất động sản và quyền sử dụng đất,"99,24%","99,49%",Đang hoạt động,,0.9924,0.9948999999999999,
Công ty TNHH Tiến Phát Đông Bắc,Tên Công ty > Công ty TNHH Tiến Phát Đông Bắc,Công ty TNHH Tiến Phát Đông Bắc,Kinh doanh bất động sản,"99,74%","100,00%",Đang hoạt động,,0.9974,1.0,
Công ty CP Interhouse LA,Tên Công ty > Công ty CP Interhouse LA,Công ty CP Interhouse LA,"Sản xuất, mua bán, gia công và lắp đặt hàng một gia dụng, hàng trang trí nội thất","97,59%","99,62%",Đang hoạt động,,0.9759,0.9962000000000001,
