row_label_raw,row_label_full,5.21,Chi phí phải trả ngắn hạn,31/12/2024VND,01/01/2024VND,numeric__Chi phí phải trả ngắn hạn,numeric__31/12/2024VND,numeric__01/01/2024VND
5.21,5.21,5.21,Chi phí lãi vay,15.877.538.306,26.748.403.168,,15877538306.0,26748403168.0
5.21,5.21,5.21,Chi phí xây dựng phải trả thầu phụ,767.517.965.608,774.723.250.458,,767517965608.0,774723250458.0
5.21,5.21,5.21,Chi phí phát triển dự án bất động sản và hạ tầng khu công nghiệp,89.422.053.288,79.570.342.951,,89422053288.0,79570342951.0
5.21,5.21,5.21,Chỉ phí khác,45.784.631.107,35.007.828.898,,45784631107.0,35007828898.0
,,,,918.602.188.309,916.049.825.475,,918602188309.0,916049825475.0
Trong đó: Bên liên quan,Trong đó: Bên liên quan,Trong đó: Bên liên quan,Trong đó: Bên liên quan,Trong đó: Bên liên quan,Trong đó: Bên liên quan,,,
Ông Lê Việt Hòa,Trong đó: Bên liên quan > Ông Lê Việt Hòa,Ông Lê Việt Hòa,Ông Lê Việt Hòa,-,73.972.603,,,73972603.0
Công ty CP Đầu tư Kỹ thuật Jesco Hòa Bình,Trong đó: Bên liên quan > Công ty CP Đầu tư Kỹ thuật Jesco Hòa Bình,Công ty CP Đầu tư Kỹ thuật Jesco Hòa Bình,Công ty CP Đầu tư Kỹ thuật Jesco Hòa Bình,-,61.612.175.180,,,61612175180.0
Công ty CP Cơ khí Nhôm kinh Anh Việt,Trong đó: Bên liên quan > Công ty CP Cơ khí Nhôm kinh Anh Việt,Công ty CP Cơ khí Nhôm kinh Anh Việt,Công ty CP Cơ khí Nhôm kinh Anh Việt,-,7.828.078.464,,,7828078464.0
Công ty CP Trang trí nội thất Onwa Tech,Trong đó: Bên liên quan > Công ty CP Trang trí nội thất Onwa Tech,Công ty CP Trang trí nội thất Onwa Tech,Công ty CP Trang trí nội thất Onwa Tech,4.647.789.975,3.728.650.195,,4647789975.0,3728650195.0
,,,,4.647.789.975,73.242.876.442,,4647789975.0,73242876442.0
