row_label_raw,row_label_full,Khoản mục,"Nhà cửa, vật kiến trúc VND",Máy móc thiết bị VND,Phương tiện vận tải VND,Thiết bị dụng cụ quản lý VND,Tổng cộng VND,"numeric__Nhà cửa, vật kiến trúc VND",numeric__Máy móc thiết bị VND,numeric__Phương tiện vận tải VND,numeric__Thiết bị dụng cụ quản lý VND,numeric__Tổng cộng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,58.580.037.991,1.902.293.633.630,74.919.951.709,21.041.107.767,2.056.834.731.097,58580037991.0,1902293633630.0,74919951709.0,21041107767.0,2056834731097.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,184.500.000,191.068.410.680,2.608.800.000,-,193.861.710.680,184500000.0,191068410680.0,2608800000.0,,193861710680.0
Tăng khác,Nguyên giá > Tăng khác,Tăng khác,-,58.000.000,-,-,58.000.000,,58000000.0,,,58000000.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(582.863.398.081),(1.705.549.940),(2.735.408.059),(587.304.356.080),,-582863398081.0,-1705549940.0,-2735408059.0,-587304356080.0
Giảm khác,Nguyên giá > Giảm khác,Giảm khác,(27.978.350.440),(2.158.177.274),(367.920.000),(34.910.000),(30.539.357.714),-27978350440.0,-2158177274.0,-367920000.0,-34910000.0,-30539357714.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,30.786.187.551,1.508.398.468.955,75.455.281.769,18.270.789.708,1.632.910.727.983,30786187551.0,1508398468955.0,75455281769.0,18270789708.0,1632910727983.0
Giá trị hao món lũy kế,Giá trị hao món lũy kế,Giá trị hao món lũy kế,Giá trị hao món lũy kế,Giá trị hao món lũy kế,Giá trị hao món lũy kế,Giá trị hao món lũy kế,Giá trị hao món lũy kế,,,,,
Số dư đầu năm,Giá trị hao món lũy kế > Số dư đầu năm,Số dư đầu năm,21.970.822.369,1.296.340.745.231,64.599.663.834,19.724.705.857,1.402.635.937.290,21970822369.0,1296340745231.0,64599663834.0,19724705857.0,1402635937290.0
Khấu hao trong năm,Giá trị hao món lũy kế > Khấu hao trong năm,Khấu hao trong năm,1.134.574.233,147.055.117.060,10.862.932.105,700.512.370,159.753.135.768,1134574233.0,147055117060.0,10862932105.0,700512370.0,159753135768.0
"Thanh lý, nhượng bán","Giá trị hao món lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(518.956.409.607),(1.051.449.103),(2.735.408.059),(522.743.266.769),,-518956409607.0,-1051449103.0,-2735408059.0,-522743266769.0
Giảm khác,Giá trị hao món lũy kế > Giảm khác,Giảm khác,(10.605.201.848),(1.023.603.355),(363.701.250),(34.910.000),(12.027.416.453),-10605201848.0,-1023603355.0,-363701250.0,-34910000.0,-12027416453.0
Số dư cuối năm,Giá trị hao món lũy kế > Số dư cuối năm,Số dư cuối năm,12.500.194.754,923.415.849.329,74.047.445.586,17.654.900.168,1.027.618.389.836,12500194754.0,923415849329.0,74047445586.0,17654900168.0,1027618389836.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,36.609.215.622,605.952.888.399,10.320.287.876,1.316.401.911,654.198.793.807,36609215622.0,605952888399.0,10320287876.0,1316401911.0,654198793807.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,18.285.992.797,584.982.619.626,1.407.836.184,615.889.541,605.292.338.147,18285992797.0,584982619626.0,1407836184.0,615889541.0,605292338147.0
