row_label_raw,row_label_full,- Đầu tư vào đơn vị khác > Công ty CP Du lịch Hòa Bình Việt Nam,31/12/2024 > Giá gốcVND > - Đầu tư vào đơn vị khác > 21.405.000.000,31/12/2024 > Dự phòngVND > - Đầu tư vào đơn vị khác > -,31/12/2024 > Giá trị hợp lý (*)VND > - Đầu tư vào đơn vị khác > Chưa xác định,01/01/2024 > Giá gốcVND > - Đầu tư vào đơn vị khác > 21.405.000.000,01/01/2024 > Dự phòngVND > - Đầu tư vào đơn vị khác > (5.312.299.420),01/01/2024 > Giá trị hợp lý (*)VND > - Đầu tư vào đơn vị khác > Chưa xác định,numeric__31/12/2024 > Giá gốcVND > - Đầu tư vào đơn vị khác > 21.405.000.000,numeric__31/12/2024 > Dự phòngVND > - Đầu tư vào đơn vị khác > -,numeric__31/12/2024 > Giá trị hợp lý (*)VND > - Đầu tư vào đơn vị khác > Chưa xác định,numeric__01/01/2024 > Giá gốcVND > - Đầu tư vào đơn vị khác > 21.405.000.000,numeric__01/01/2024 > Dự phòngVND > - Đầu tư vào đơn vị khác > (5.312.299.420),numeric__01/01/2024 > Giá trị hợp lý (*)VND > - Đầu tư vào đơn vị khác > Chưa xác định
Công ty CP Sài Gòn - Rạch Giá,Công ty CP Sài Gòn - Rạch Giá,Công ty CP Sài Gòn - Rạch Giá,13.637.400.000,(13.635.758.080),Chưa xác định,13.637.400.000,(12.750.844.499),Chưa xác định,13637400000.0,-13635758080.0,,13637400000.0,-12750844499.0,
Công ty CP Jesco Asia,Công ty CP Jesco Asia,Công ty CP Jesco Asia,4.185.000.000,(454.614.718),Chưa xác định,4.185.000.000,-,Chưa xác định,4185000000.0,-454614718.0,,4185000000.0,,
Công ty CP Tập đoàn Đầu tư TRV Holding,Công ty CP Tập đoàn Đầu tư TRV Holding,Công ty CP Tập đoàn Đầu tư TRV Holding,1.200.000.000,-,Chưa xác định,1.200.000.000,-,Chưa xác định,1200000000.0,,,1200000000.0,,
,,,40.427.400.000,(14.090.372.798),-,40.427.400.000,(18.063.143.919),-,40427400000.0,-14090372798.0,,40427400000.0,-18063143919.0,
