row_label_raw,row_label_full,5.24 Các khoản vay,01/01/2024 > Giá trị VND,01/01/2024 > Số có khả năng trả nợ VND,Trong năm > Tăng VND,Trong năm > Giảm VND,31/12/2024 > Giá trị VND,31/12/2024 > Số có khả năng trả nợ VND,numeric__01/01/2024 > Giá trị VND,numeric__01/01/2024 > Số có khả năng trả nợ VND,numeric__Trong năm > Tăng VND,numeric__Trong năm > Giảm VND,numeric__31/12/2024 > Giá trị VND,numeric__31/12/2024 > Số có khả năng trả nợ VND
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,3.995.332.055.693,3.995.332.055.693,5.293.790.836.174,5.470.814.832.914,3.818.308.058.953,3.818.308.058.953,3995332055693.0,3995332055693.0,5293790836174.0,5470814832914.0,3818308058953.0,3818308058953.0
Vay ngắn hạn (5.24.1),Vay ngắn hạn (5.24.1),Vay ngắn hạn (5.24.1),3.981.518.792.661,3.981.518.792.661,5.130.202.389.422,5.466.526.832.918,3.645.194.349.165,3.645.194.349.165,3981518792661.0,3981518792661.0,5130202389422.0,5466526832918.0,3645194349165.0,3645194349165.0
Vay dài hạn đến hạn trả (5.24.3),Vay dài hạn đến hạn trả (5.24.3),Vay dài hạn đến hạn trả (5.24.3),13.813.263.032,13.813.263.032,38.988.446.752,-,52.801.709.784,52.801.709.784,13813263032.0,13813263032.0,38988446752.0,,52801709784.0,52801709784.0
Trái phiếu thường đến hạn trả,Trái phiếu thường đến hạn trả,Trái phiếu thường đến hạn trả,-,-,124.600.000.000,4.287.999.996,120.312.000.004,120.312.000.004,,,124600000000.0,4287999996.0,120312000004.0,120312000004.0
- Quỹ Đầu Tư Cơ Hội PVI (5.24.2),- Quỹ Đầu Tư Cơ Hội PVI (5.24.2),- Quỹ Đầu Tư Cơ Hội PVI (5.24.2),-,-,86.000.000.000,-,86.000.000.000,86.000.000.000,,,86000000000.0,,86000000000.0,86000000000.0
- Quỹ Đầu Tư Hạ Tàng PVI (5.24.2),- Quỹ Đầu Tư Hạ Tàng PVI (5.24.2),- Quỹ Đầu Tư Hạ Tàng PVI (5.24.2),,,14.000.000.000,-,14.000.000.000,14.000.000.000,,,14000000000.0,,14000000000.0,14000000000.0
- Công ty CP Chứng khoán Ngân hàng TMCP Công Thương Việt Nam (5.24.2),- Công ty CP Chứng khoán Ngân hàng TMCP Công Thương Việt Nam (5.24.2),- Công ty CP Chứng khoán Ngân hàng TMCP Công Thương Việt Nam (5.24.2),-,-,24.600.000.000,-,24.600.000.000,24.600.000.000,,,24600000000.0,,24600000000.0,24600000000.0
- Chi phí phát hành trái phiếu,- Chi phí phát hành trái phiếu,- Chi phí phát hành trái phiếu,-,-,-,4.287.999.996,(4.287.999.996),(4.287.999.996),,,,4287999996.0,-4287999996.0,-4287999996.0
Vay dài hạn,Vay dài hạn,Vay dài hạn,722.676.321.906,722.676.321.906,159.899.260.375,350.154.429.616,532.421.152.665,532.421.152.665,722676321906.0,722676321906.0,159899260375.0,350154429616.0,532421152665.0,532421152665.0
Vay dài hạn (5.24.3),Vay dài hạn (5.24.3),Vay dài hạn (5.24.3),49.709.765.434,49.709.765.434,157.581.927.043,142.880.000,207.148.812.477,207.148.812.477,49709765434.0,49709765434.0,157581927043.0,142880000.0,207148812477.0,207148812477.0
Trái phiếu thường (5.24.2),Trái phiếu thường (5.24.2),Trái phiếu thường (5.24.2),683.994.666.668,683.994.666.668,2.317.333.332,190.000.000.000,496.312.000.000,496.312.000.000,683994666668.0,683994666668.0,2317333332.0,190000000000.0,496312000000.0,496312000000.0
Nợ thuê tài chính dài hạn (5.24.4),Nợ thuê tài chính dài hạn (5.24.4),Nợ thuê tài chính dài hạn (5.24.4),2.785.152.836,2.785.152.836,-,711.102.864,2.074.049.972,2.074.049.972,2785152836.0,2785152836.0,,711102864.0,2074049972.0,2074049972.0
Khoản vay và nợ dài hạn đến hạn trả trong 12 tháng,Khoản vay và nợ dài hạn đến hạn trả trong 12 tháng,Khoản vay và nợ dài hạn đến hạn trả trong 12 tháng,(13.813.263.032),(13.813.263.032),-,38.988.446.752,(52.801.709.784),(52.801.709.784),-13813263032.0,-13813263032.0,,38988446752.0,-52801709784.0,-52801709784.0
Khoản trái phiếu thường đến hạn trả trong 12 tháng,Khoản trái phiếu thường đến hạn trả trong 12 tháng,Khoản trái phiếu thường đến hạn trả trong 12 tháng,-,-,-,120.312.000.000,(120.312.000.000),(120.312.000.000),,,,120312000000.0,-120312000000.0,-120312000000.0
,,,4.718.008.377.599,4.718.008.377.599,5.453.690.096.549,5.820.969.262.530,4.350.729.211.618,4.350.729.211.618,4718008377599.0,4718008377599.0,5453690096549.0,5820969262530.0,4350729211618.0,4350729211618.0
