row_label_raw,row_label_full,CHỈ TIỀU,Mã số,Năm 2024VND,Năm 2023VND,numeric__Mã số,numeric__Năm 2024VND,numeric__Năm 2023VND
II. LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,II. LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,II. LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,II. LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,II. LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,II. LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,,,
"1. Tiền chỉ để mua sắm, xây dựng TSCĐ và các TSDH khác","II. LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ > 1. Tiền chỉ để mua sắm, xây dựng TSCĐ và các TSDH khác","1. Tiền chỉ để mua sắm, xây dựng TSCĐ và các TSDH khác",21,(193.584.210.680),(8.098.003.941),21.0,-193584210680.0,-8098003941.0
"2. Tiền thu từ thanh lý, nhượng bán TSCĐ và các TSDH khác","II. LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ > 2. Tiền thu từ thanh lý, nhượng bán TSCĐ và các TSDH khác","2. Tiền thu từ thanh lý, nhượng bán TSCĐ và các TSDH khác",22,204.258.591.380,43.366.034.888,22.0,204258591380.0,43366034888.0
"3. Tiền chỉ cho vay, mua các công cụ nợ của đơn vị khác","II. LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ > 3. Tiền chỉ cho vay, mua các công cụ nợ của đơn vị khác","3. Tiền chỉ cho vay, mua các công cụ nợ của đơn vị khác",23,(126.513.060.985),(51.170.419.344),23.0,-126513060985.0,-51170419344.0
"4. Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác","II. LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ > 4. Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác","4. Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác",24,,,24.0,,
5. Tiền chỉ đầu tư góp vốn vào đơn vị khác,II. LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ > 5. Tiền chỉ đầu tư góp vốn vào đơn vị khác,5. Tiền chỉ đầu tư góp vốn vào đơn vị khác,25,58.228.160.616,154.736.111.733,25.0,58228160616.0,154736111733.0
6. Tiền thu hồi đầu tư góp vốn vào đơn vị khác,II. LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ > 6. Tiền thu hồi đầu tư góp vốn vào đơn vị khác,6. Tiền thu hồi đầu tư góp vốn vào đơn vị khác,26,(2.153.907.732),,26.0,-2153907732.0,
"7. Tiền thu từ lãi cho vay, cổ tức và lợi nhuận được chia","II. LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ > 7. Tiền thu từ lãi cho vay, cổ tức và lợi nhuận được chia","7. Tiền thu từ lãi cho vay, cổ tức và lợi nhuận được chia",27,74.402.520.000,33.170.497.349,27.0,74402520000.0,33170497349.0
Lưu chuyển tiền thuần từ hoạt động đầu tư,II. LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ > Lưu chuyển tiền thuần từ hoạt động đầu tư,Lưu chuyển tiền thuần từ hoạt động đầu tư,30,14.029.487.178,3.561.206.568,30.0,14029487178.0,3561206568.0
,,,,28.667.579.777,175.505.427.253,,28667579777.0,175505427253.0
