row_label_raw,row_label_full,Vay dài hạn > Ngân hàng TMCP Kiên Long - Chi nhánh Nhà Bè > Ngân hàng TMCP Phát triển TP Hồ Chí Minh > Ngân hàng TMCP Quân đội,Số dư cuối năm VND > 1.142.800.000 > 53.146.406.102 > 10.513.693.624,Mục đích vay > Bổ sung vốn lưu động. > Thanh toán chí phí thi công hoàn thiện Dư án Khu II- Cao óc thương mại và căn hộ Lakeside Tower > Bổ sung vốn phục vụ đầu tư xây dựng hệ thống điện mặt trời mái nhà.,"Lãi suất (%/năm) > 7,9%/năm > Theo từng lần giải ngân",Thời hạn vay > 84 tháng > 36 tháng > 07 năm,"Hình thức đảm bảo > 01 xe Volkswagen 7 chỗ, số tự động, biển số 51L-100.35 thuộc sở hữu của Công ty với giá trị 2.188.000.000 VND. > Toàn bộ tài sản hình thành từ vốn vay",numeric__Số dư cuối năm VND > 1.142.800.000 > 53.146.406.102 > 10.513.693.624,numeric__Mục đích vay > Bổ sung vốn lưu động. > Thanh toán chí phí thi công hoàn thiện Dư án Khu II- Cao óc thương mại và căn hộ Lakeside Tower > Bổ sung vốn phục vụ đầu tư xây dựng hệ thống điện mặt trời mái nhà.,"numeric__Lãi suất (%/năm) > 7,9%/năm > Theo từng lần giải ngân",numeric__Thời hạn vay > 84 tháng > 36 tháng > 07 năm,"numeric__Hình thức đảm bảo > 01 xe Volkswagen 7 chỗ, số tự động, biển số 51L-100.35 thuộc sở hữu của Công ty với giá trị 2.188.000.000 VND. > Toàn bộ tài sản hình thành từ vốn vay"
Nợ dài hạn đến hạn trả từ các Ngân hàng,Nợ dài hạn đến hạn trả từ các Ngân hàng,Nợ dài hạn đến hạn trả từ các Ngân hàng,(52.801.709.784),,,,,-52801709784.0,,,,
Cộng,Cộng,Cộng,154.347.102.693,,,,,154347102693.0,,,,
