row_label_raw,row_label_full,CHÍ TIÊU,Mã số,Thuyếtmlnh,31/12/2024VND,01/01/2024VND,numeric__Mã số,numeric__Thuyếtmlnh,numeric__31/12/2024VND,numeric__01/01/2024VND
TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,,,,
A - TÀI SẢN NGĂN HẠN,TÀI SẢN > A - TÀI SẢN NGĂN HẠN,A - TÀI SẢN NGĂN HẠN,100,,13.734.790.530.380,13.449.275.190.035,100.0,,13734790530380.0,13449275190035.0
I. Tiền và các khoản tương đương tiền,TÀI SẢN > I. Tiền và các khoản tương đương tiền,I. Tiền và các khoản tương đương tiền,110,5.1,268.157.396.740,388.531.074.373,110.0,51.0,268157396740.0,388531074373.0
1. Tiền,TÀI SẢN > 1. Tiền,1. Tiền,111,,261.657.396.740,299.713.103.677,111.0,,261657396740.0,299713103677.0
2. Các khoản tương đương tiền,TÀI SẢN > 2. Các khoản tương đương tiền,2. Các khoản tương đương tiền,112,,6.500.000.000,88.817.970.696,112.0,,6500000000.0,88817970696.0
II. Các khoản đầu tư tài chính ngắn hạn,TÀI SẢN > II. Các khoản đầu tư tài chính ngắn hạn,II. Các khoản đầu tư tài chính ngắn hạn,120,,14.116.633.715,15.705.823.005,120.0,,14116633715.0,15705823005.0
1. Chứng khoán kinh doanh,TÀI SẢN > 1. Chứng khoán kinh doanh,1. Chứng khoán kinh doanh,121,,-,-,121.0,,,
2. Dự phòng giảm giá chứng khoán kinh doanh,TÀI SẢN > 2. Dự phòng giảm giá chứng khoán kinh doanh,2. Dự phòng giảm giá chứng khoán kinh doanh,122,,-,-,122.0,,,
3. Đầu tư nằm giữ đến ngày đáo hạn,TÀI SẢN > 3. Đầu tư nằm giữ đến ngày đáo hạn,3. Đầu tư nằm giữ đến ngày đáo hạn,123,5.17,14.116.633.715,15.705.823.005,123.0,517.0,14116633715.0,15705823005.0
II. Các khoản phải thu ngắn hạn,TÀI SẢN > II. Các khoản phải thu ngắn hạn,II. Các khoản phải thu ngắn hạn,130,,11.012.402.255.152,10.669.825.106.321,130.0,,11012402255152.0,10669825106321.0
1. Phải thu ngắn hạn của khách hàng,TÀI SẢN > 1. Phải thu ngắn hạn của khách hàng,1. Phải thu ngắn hạn của khách hàng,131,5.2,6.851.546.665.935,7.232.690.258.971,131.0,52.0,6851546665935.0,7232690258971.0
