row_label_raw,row_label_full,CHÍ TIÊU,Mã số,Thuyết minh,Năm 2024 VND,Năm 2023 VND,numeric__Mã số,numeric__Thuyết minh,numeric__Năm 2024 VND,numeric__Năm 2023 VND
1. Doanh thu bán hàng và cung cấp dịch vụ,1. Doanh thu bán hàng và cung cấp dịch vụ,1. Doanh thu bán hàng và cung cấp dịch vụ,01,6.1.1,6.425.200.748.471,7.542.214.414.041,1.0,611.0,6425200748471.0,7542214414041.0
2. Các khoản giảm trừ doanh thu,2. Các khoản giảm trừ doanh thu,2. Các khoản giảm trừ doanh thu,02,6.1.2,4.355.826.317,5.117.833.195,2.0,612.0,4355826317.0,5117833195.0
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,10,6.1.3,6.420.844.922.154,7.537.096.580.846,10.0,613.0,6420844922154.0,7537096580846.0
4. Giá vốn hàng bản,4. Giá vốn hàng bản,4. Giá vốn hàng bản,11,6.2,6.063.289.790.982,7.293.009.825.276,11.0,62.0,6063289790982.0,7293009825276.0
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,20,,357.555.131.172,244.086.755.570,20.0,,357555131172.0,244086755570.0
6. Doanh thu hoạt động tài chính,6. Doanh thu hoạt động tài chính,6. Doanh thu hoạt động tài chính,21,6.3,244.659.048.005,74.274.693.895,21.0,63.0,244659048005.0,74274693895.0
7. Chi phí tài chính,7. Chi phí tài chính,7. Chi phí tài chính,22,6.4,407.663.872.217,559.457.321.904,22.0,64.0,407663872217.0,559457321904.0
Trong đó: Chi phí lãi vay,Trong đó: Chi phí lãi vay,Trong đó: Chi phí lãi vay,23,,404.156.249.744,557.095.371.780,23.0,,404156249744.0,557095371780.0
"8. Phân lãi hoặc lỗ trong công ty liên doanh, liên kết","8. Phân lãi hoặc lỗ trong công ty liên doanh, liên kết","8. Phân lãi hoặc lỗ trong công ty liên doanh, liên kết",24,6.5,(26.447.830.409),(37.876.217.593),24.0,65.0,-26447830409.0,-37876217593.0
9. Chi phí bán hàng,9. Chi phí bán hàng,9. Chi phí bán hàng,25,6.6.1,36.187.206.813,38.746.415.801,25.0,661.0,36187206813.0,38746415801.0
10. Chi phí quản lý doanh nghiệp,10. Chi phí quản lý doanh nghiệp,10. Chi phí quản lý doanh nghiệp,26,6.6.2,(266.891.075.289),757.700.729.472,26.0,662.0,-266891075289.0,757700729472.0
11. Lợi nhuận thuần từ hoạt động kinh doanh,11. Lợi nhuận thuần từ hoạt động kinh doanh,11. Lợi nhuận thuần từ hoạt động kinh doanh,30,,398.806.345.027,(1.075.419.235.305),30.0,,398806345027.0,-1075419235305.0
12. Thu nhập khác,12. Thu nhập khác,12. Thu nhập khác,31,6.7,635.840.175.276,53.027.033.303,31.0,67.0,635840175276.0,53027033303.0
13. Chi phí khác,13. Chi phí khác,13. Chi phí khác,32,6.8,25.294.997.286,57.424.590.224,32.0,68.0,25294997286.0,57424590224.0
14. Lợi nhuận khác,14. Lợi nhuận khác,14. Lợi nhuận khác,40,,610.545.177.990,(4.397.556.921),40.0,,610545177990.0,-4397556921.0
15. Tổng lợi nhuận kế toán trước thuế,15. Tổng lợi nhuận kế toán trước thuế,15. Tổng lợi nhuận kế toán trước thuế,50,,1.009.351.523.017,(1.079.816.792.226),50.0,,1009351523017.0,-1079816792226.0
16. Chi phí thuế TNDN hiện hành,16. Chi phí thuế TNDN hiện hành,16. Chi phí thuế TNDN hiện hành,51,6.9.1,13.745.134.129,7.545.441.521,51.0,691.0,13745134129.0,7545441521.0
17. Chi phí thuế TNDN hoãn lại,17. Chi phí thuế TNDN hoãn lại,17. Chi phí thuế TNDN hoãn lại,52,6.12,32.643.906.282,27.975.288.521,52.0,612.0,32643906282.0,27975288521.0
18. Lợi nhuận sau thuế thu nhập doanh nghiệp,18. Lợi nhuận sau thuế thu nhập doanh nghiệp,18. Lợi nhuận sau thuế thu nhập doanh nghiệp,60,,962.962.482.606,(1.115.337.522.268),60.0,,962962482606.0,-1115337522268.0
Cổ đông của Công ty mẹ,Cổ đông của Công ty mẹ,Cổ đông của Công ty mẹ,61,,959.786.100.623,(1.110.747.492.552),61.0,,959786100623.0,-1110747492552.0
Cổ đông không kiểm soát,Cổ đông không kiểm soát,Cổ đông không kiểm soát,62,,3.176.381.983,(4.590.029.716),62.0,,3176381983.0,-4590029716.0
19. Lãi cơ bản trên cổ phiếu,19. Lãi cơ bản trên cổ phiếu,19. Lãi cơ bản trên cổ phiếu,70,6.13,3.089,(4.052),70.0,613.0,3089.0,-4052.0
20. Lãi suy giảm trên cổ phiếu,20. Lãi suy giảm trên cổ phiếu,20. Lãi suy giảm trên cổ phiếu,71,6.13,3.089,(4.052),71.0,613.0,3089.0,-4052.0
