row_label_raw,row_label_full,Vay ngắn hạn > Ngân hàng TMCP Phương Đông > Ngân hàng TMCP Phương Đông - Chi nhánh TP.HCM > Ngân hàng TMCP Phát triển TP.HCM – chi nhánh Gia Định > Ngân hàng Thương mại Cổ phần Quản đội > Ngân hàng TMCP Tiên Phong > Ngân hàng Quốc Dân - Chi nhánh Hà Nội,Số dư cuối năm VND > 4.215.652.350 > 19.937.437.564 > 14.465.468.025 > 125.902.396 > 1.598.081.531 > 22.641.683.071,Mục đích vay > Bổ sung vốn để thực hiện hoạt động kinh doanh.,Lãi suất (%/năm) > Theo từng lần giải ngân,Thời hạn vay > 12 tháng,Hình thức đảm bảo > Bất động sản > Quyền sử dụng đất > Bất động sản > Bảo lãnh từ công ty mẹ > Bảo bằng các khoản phải thu,numeric__Số dư cuối năm VND > 4.215.652.350 > 19.937.437.564 > 14.465.468.025 > 125.902.396 > 1.598.081.531 > 22.641.683.071,numeric__Mục đích vay > Bổ sung vốn để thực hiện hoạt động kinh doanh.,numeric__Lãi suất (%/năm) > Theo từng lần giải ngân,numeric__Thời hạn vay > 12 tháng,numeric__Hình thức đảm bảo > Bất động sản > Quyền sử dụng đất > Bất động sản > Bảo lãnh từ công ty mẹ > Bảo bằng các khoản phải thu
Nợ dài hạn đến hạn trả từ các Ngân hàng,Nợ dài hạn đến hạn trả từ các Ngân hàng,Nợ dài hạn đến hạn trả từ các Ngân hàng,52.801.709.784,,,,,52801709784.0,,,,
Cộng,Cộng,Cộng,3.697.996.058.949,,,,,3697996058949.0,,,,
