row_label_raw,row_label_full,Cá nhân/ Công ty,Địa điểm,Quan hệ,numeric__Địa điểm,numeric__Quan hệ
Công ty CP 479 Hòa Bình,Công ty CP 479 Hòa Bình,Công ty CP 479 Hòa Bình,Việt Nam,Công ty liên kết,,
Công ty CP Trang trí Nội thất Onwa Tech,Công ty CP Trang trí Nội thất Onwa Tech,Công ty CP Trang trí Nội thất Onwa Tech,Việt Nam,Công ty liên kết,,
Công ty CP Bất động sản Thành Ngân,Công ty CP Bất động sản Thành Ngân,Công ty CP Bất động sản Thành Ngân,Việt Nam,Công ty liên kết,,
Ông Lê Việt Hải,Ông Lê Việt Hải,Ông Lê Việt Hải,Việt Nam,Chủ tịch HĐQT,,
Bà Bùi Ngọc Mai,Bà Bùi Ngọc Mai,Bà Bùi Ngọc Mai,Việt Nam,Vợ Chủ tịch HĐQT,,
Ông Lê Việt Hòa,Ông Lê Việt Hòa,Ông Lê Việt Hòa,Việt Nam,Con Chủ tịch HĐQTPhó Chủ tịch HĐQTklêm Phó TổngGiám đốc thường trực,,
Ông Lê Việt Hiếu,Ông Lê Việt Hiếu,Ông Lê Việt Hiếu,Việt Nam,Con Chủ tịch HĐQTPhó Chủ tịch HĐQTklêm Phó TổngGiám đốc thường trực,,
